<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDP,20100131.0,8.65,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100132.0,12.975,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100133.0,15.1375,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100134.0,16.21875,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100135.0,16.759375,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100136.0,17.0296875,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100137.0,17.16484375,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100138.0,17.232421875,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100139.0,17.2662109375,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100140.0,17.2831054688,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100141.0,17.2915527344,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100142.0,17.2957763672,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100143.0,17.2978881836,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100144.0,17.2989440918,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100145.0,17.2994720459,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100146.0,17.2997360229,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100147.0,17.2998680115,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100148.0,17.2999340057,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100149.0,17.2999670029,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100150.0,17.2999835014,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100151.0,17.2999917507,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100152.0,17.2999958754,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100153.0,17.2999979377,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100154.0,17.2999989688,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100155.0,17.2999994844,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100156.0,17.2999997422,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100157.0,17.2999998711,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100158.0,17.2999999356,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100159.0,17.2999999678,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100160.0,17.2999999839,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDP,20100161.0,17.2999999919,9.005,8.65,8.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
