<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SHN,20100131.0,3.92,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100132.0,5.88,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100133.0,6.86,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100134.0,7.35,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100135.0,7.595,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100136.0,7.7175,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100137.0,7.77875,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100138.0,7.809375,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100139.0,7.8246875,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100140.0,7.83234375,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100141.0,7.836171875,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100142.0,7.8380859375,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100143.0,7.83904296875,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100144.0,7.83952148438,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100145.0,7.83976074219,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100146.0,7.83988037109,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100147.0,7.83994018555,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100148.0,7.83997009277,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100149.0,7.83998504639,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100150.0,7.83999252319,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100151.0,7.8399962616,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100152.0,7.8399981308,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100153.0,7.8399990654,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100154.0,7.8399995327,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100155.0,7.83999976635,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100156.0,7.83999988317,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100157.0,7.83999994159,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,20100158.0,7.83999997079,4.02,3.74,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
