<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SPM,20100131.0,34.99,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100132.0,52.485,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100133.0,61.2325,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100134.0,65.60625,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100135.0,67.793125,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100136.0,68.8865625,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100137.0,69.43328125,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100138.0,69.706640625,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100139.0,69.8433203125,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100140.0,69.9116601563,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100141.0,69.9458300781,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100142.0,69.9629150391,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100143.0,69.9714575195,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100144.0,69.9757287598,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100145.0,69.9778643799,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100146.0,69.9789321899,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100147.0,69.979466095,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100148.0,69.9797330475,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100149.0,69.9798665237,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100150.0,69.9799332619,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100151.0,69.9799666309,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100152.0,69.9799833155,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100153.0,69.9799916577,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100154.0,69.9799958289,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100155.0,69.9799979144,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100156.0,69.9799989572,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100157.0,69.9799994786,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100158.0,69.9799997393,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100159.0,69.9799998697,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100160.0,69.9799999348,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100161.0,69.9799999674,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100162.0,69.9799999837,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100163.0,69.9799999919,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100164.0,69.9799999959,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100165.0,69.979999998,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100166.0,69.979999999,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100167.0,69.9799999995,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100168.0,69.9799999997,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100169.0,69.9799999999,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100170.0,69.9799999999,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100171.0,69.98,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPM,20100172.0,69.98,34.99,29.96,32.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
