<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SRB,20100131.0,3.8,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100132.0,5.7,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100133.0,6.65,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100134.0,7.125,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100135.0,7.3625,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100136.0,7.48125,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100137.0,7.540625,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100138.0,7.5703125,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100139.0,7.58515625,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100140.0,7.592578125,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100141.0,7.5962890625,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100142.0,7.59814453125,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100143.0,7.59907226562,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100144.0,7.59953613281,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100145.0,7.59976806641,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100146.0,7.5998840332,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100147.0,7.5999420166,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100148.0,7.5999710083,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100149.0,7.59998550415,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100150.0,7.59999275208,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100151.0,7.59999637604,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100152.0,7.59999818802,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100153.0,7.59999909401,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100154.0,7.599999547,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100155.0,7.5999997735,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100156.0,7.59999988675,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,20100157.0,7.59999994338,3.8,3.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
