<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TDH,20100131.0,14.74,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100132.0,22.11,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100133.0,25.795,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100134.0,27.6375,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100135.0,28.55875,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100136.0,29.019375,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100137.0,29.2496875,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100138.0,29.36484375,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100139.0,29.422421875,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100140.0,29.4512109375,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100141.0,29.4656054687,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100142.0,29.4728027344,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100143.0,29.4764013672,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100144.0,29.4782006836,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100145.0,29.4791003418,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100146.0,29.4795501709,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100147.0,29.4797750854,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100148.0,29.4798875427,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100149.0,29.4799437714,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100150.0,29.4799718857,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100151.0,29.4799859428,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100152.0,29.4799929714,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100153.0,29.4799964857,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100154.0,29.4799982429,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100155.0,29.4799991214,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100156.0,29.4799995607,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDH,20100157.0,29.4799997804,14.99,14.615,14.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
