<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TIE,20100131.0,5.715,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100132.0,8.5725,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100133.0,10.00125,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100134.0,10.715625,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100135.0,11.0728125,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100136.0,11.25140625,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100137.0,11.340703125,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100138.0,11.3853515625,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100139.0,11.4076757812,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100140.0,11.4188378906,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100141.0,11.4244189453,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100142.0,11.4272094727,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100143.0,11.4286047363,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100144.0,11.4293023682,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100145.0,11.4296511841,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100146.0,11.429825592,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100147.0,11.429912796,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100148.0,11.429956398,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100149.0,11.429978199,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100150.0,11.4299890995,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100151.0,11.4299945498,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100152.0,11.4299972749,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100153.0,11.4299986374,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100154.0,11.4299993187,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100155.0,11.4299996594,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100156.0,11.4299998297,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100157.0,11.4299999148,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100158.0,11.4299999574,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100159.0,11.4299999787,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100160.0,11.4299999894,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100161.0,11.4299999947,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100162.0,11.4299999973,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100163.0,11.4299999987,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100164.0,11.4299999993,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100165.0,11.4299999997,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100166.0,11.4299999998,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100167.0,11.4299999999,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100168.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100169.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100170.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100171.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100172.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100173.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100174.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100175.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100176.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100177.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100178.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100179.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100180.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100181.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100182.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100183.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100184.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100185.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100186.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100187.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100188.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100189.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100190.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100191.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100192.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100193.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100194.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100195.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100196.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100197.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100198.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100199.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100200.0,11.43,5.955,5.715,5.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100201.0,11.43,11.91,11.43,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100202.0,12.17,12.17,11.54,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100203.0,11.96,11.96,11.54,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100204.0,11.59,11.91,11.54,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100205.0,12.01,12.01,11.33,11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100206.0,11.695,5.77,5.69,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100207.0,11.5375,5.77,5.69,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100208.0,11.38,11.54,11.38,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100209.0,11.8,11.8,11.07,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100210.0,11.44,11.91,11.44,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100211.0,11.91,11.91,11.54,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100212.0,11.81,11.81,11.55,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100213.0,11.675,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100214.0,11.6075,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100215.0,11.57375,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100216.0,11.556875,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100217.0,11.5484375,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100218.0,11.54421875,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100219.0,11.542109375,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100220.0,11.5410546875,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100221.0,11.5405273438,6.005,5.77,6.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100222.0,11.54,12.01,11.54,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100223.0,11.91,11.91,11.91,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100224.0,11.33,11.54,11.33,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100225.0,11.28,11.54,11.02,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100226.0,11.02,11.23,10.81,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100227.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100228.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100229.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100230.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100231.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100232.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100233.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100234.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100235.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100236.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100237.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100238.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100239.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100240.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100241.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100242.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100243.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100244.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100245.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100246.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100247.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100248.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100249.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100250.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100251.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100252.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100253.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100254.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100255.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100256.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100257.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100258.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100259.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100260.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100261.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100262.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100263.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE,20100264.0,11.02,5.615,5.51,5.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
