<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TLG,20100131.0,6.42,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100132.0,9.63,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100133.0,11.235,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100134.0,12.0375,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100135.0,12.43875,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100136.0,12.639375,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100137.0,12.7396875,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100138.0,12.78984375,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100139.0,12.814921875,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100140.0,12.8274609375,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100141.0,12.8337304687,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100142.0,12.8368652344,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100143.0,12.8384326172,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100144.0,12.8392163086,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100145.0,12.8396081543,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100146.0,12.8398040771,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100147.0,12.8399020386,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100148.0,12.8399510193,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100149.0,12.8399755096,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100150.0,12.8399877548,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100151.0,12.8399938774,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100152.0,12.8399969387,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100153.0,12.8399984694,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100154.0,12.8399992347,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100155.0,12.8399996173,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100156.0,12.8399998087,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100157.0,12.8399999043,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100158.0,12.8399999522,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100159.0,12.8399999761,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100160.0,12.839999988,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100161.0,12.839999994,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100162.0,12.839999997,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100163.0,12.8399999985,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100164.0,12.8399999993,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100165.0,12.8399999996,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100166.0,12.8399999998,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100167.0,12.8399999999,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100168.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100169.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100170.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100171.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100172.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100173.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100174.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100175.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100176.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100177.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100178.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100179.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100180.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100181.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100182.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100183.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100184.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100185.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100186.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100187.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100188.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100189.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100190.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100191.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100192.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100193.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100194.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100195.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100196.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100197.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100198.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100199.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100200.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100201.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100202.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100203.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100204.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100205.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100206.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100207.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100208.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLG,20100209.0,12.84,6.42,5.915,5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
