<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TMT,20100131.0,6.41,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100132.0,9.615,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100133.0,11.2175,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100134.0,12.01875,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100135.0,12.419375,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100136.0,12.6196875,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100137.0,12.71984375,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100138.0,12.769921875,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100139.0,12.7949609375,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100140.0,12.8074804688,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100141.0,12.8137402344,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100142.0,12.8168701172,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100143.0,12.8184350586,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100144.0,12.8192175293,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100145.0,12.8196087646,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100146.0,12.8198043823,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100147.0,12.8199021912,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100148.0,12.8199510956,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100149.0,12.8199755478,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100150.0,12.8199877739,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100151.0,12.8199938869,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100152.0,12.8199969435,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100153.0,12.8199984717,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100154.0,12.8199992359,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100155.0,12.8199996179,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100156.0,12.819999809,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100157.0,12.8199999045,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100158.0,12.8199999522,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100159.0,12.8199999761,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100160.0,12.8199999881,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100161.0,12.819999994,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100162.0,12.819999997,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100163.0,12.8199999985,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100164.0,12.8199999993,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100165.0,12.8199999996,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100166.0,12.8199999998,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100167.0,12.8199999999,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100168.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100169.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100170.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100171.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100172.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100173.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100174.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100175.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100176.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100177.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100178.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100179.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100180.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100181.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100182.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100183.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100184.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100185.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100186.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100187.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100188.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100189.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100190.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100191.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100192.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100193.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100194.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100195.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100196.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100197.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100198.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100199.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100200.0,12.82,6.41,6.225,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100201.0,12.82,12.82,12.45,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100202.0,13.2,13.45,13.2,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100203.0,13.95,13.95,13.57,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100204.0,14.07,14.2,13.95,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100205.0,14.08,14.2,13.58,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100206.0,14.015,7.285,6.915,7.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100207.0,13.9825,7.285,6.915,7.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100208.0,13.95,14.57,13.83,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100209.0,14.57,14.57,14.2,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100210.0,14.27,14.94,14.27,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100211.0,14.17,15.24,14.17,15.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100212.0,14.97,15.7,14.63,14.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMT,20100213.0,15.09,7.605,7.24,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
