<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TTF,20100131.0,6.535,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100132.0,9.8025,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100133.0,11.43625,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100134.0,12.253125,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100135.0,12.6615625,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100136.0,12.86578125,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100137.0,12.967890625,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100138.0,13.0189453125,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100139.0,13.0444726563,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100140.0,13.0572363281,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100141.0,13.0636181641,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100142.0,13.066809082,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100143.0,13.068404541,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100144.0,13.0692022705,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100145.0,13.0696011353,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100146.0,13.0698005676,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100147.0,13.0699002838,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100148.0,13.0699501419,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100149.0,13.069975071,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100150.0,13.0699875355,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100151.0,13.0699937677,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100152.0,13.0699968839,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100153.0,13.0699984419,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100154.0,13.069999221,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100155.0,13.0699996105,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100156.0,13.0699998052,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100157.0,13.0699999026,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100158.0,13.0699999513,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100159.0,13.0699999757,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100160.0,13.0699999878,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100161.0,13.0699999939,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100162.0,13.069999997,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100163.0,13.0699999985,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100164.0,13.0699999992,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100165.0,13.0699999996,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100166.0,13.0699999998,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100167.0,13.0699999999,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100168.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100169.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100170.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100171.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100172.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100173.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100174.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100175.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100176.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100177.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100178.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100179.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100180.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100181.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100182.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100183.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100184.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100185.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100186.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100187.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100188.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100189.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100190.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100191.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100192.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100193.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100194.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100195.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100196.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100197.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100198.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100199.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100200.0,13.07,6.71,6.535,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100201.0,13.07,13.42,13.07,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100202.0,13.62,13.62,13.37,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100203.0,13.42,13.67,13.32,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100204.0,13.52,14.12,13.42,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100205.0,13.81,14.11,13.51,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100206.0,13.615,6.835,6.685,6.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100207.0,13.5175,6.835,6.685,6.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100208.0,13.42,13.67,13.37,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100209.0,13.22,13.47,13.22,13.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100210.0,13.42,13.57,13.27,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100211.0,13.27,13.67,13.27,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100212.0,13.67,13.92,13.57,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100213.0,13.72,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100214.0,13.745,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100215.0,13.7575,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100216.0,13.76375,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100217.0,13.766875,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100218.0,13.7684375,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100219.0,13.76921875,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100220.0,13.769609375,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100221.0,13.7698046875,7.01,6.835,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100222.0,13.77,14.02,13.67,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100223.0,13.82,13.82,13.62,13.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100224.0,13.62,13.72,13.57,13.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100225.0,13.92,14.07,13.72,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100226.0,14.76,14.76,14.56,14.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100227.0,14.835,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100228.0,14.8725,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100229.0,14.89125,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100230.0,14.900625,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100231.0,14.9053125,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100232.0,14.90765625,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100233.0,14.908828125,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100234.0,14.9094140625,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100235.0,14.9097070313,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100236.0,14.9098535156,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100237.0,14.9099267578,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100238.0,14.9099633789,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100239.0,14.9099816895,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100240.0,14.9099908447,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100241.0,14.9099954224,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100242.0,14.9099977112,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100243.0,14.9099988556,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100244.0,14.9099994278,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100245.0,14.9099997139,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100246.0,14.9099998569,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100247.0,14.9099999285,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100248.0,14.9099999642,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100249.0,14.9099999821,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100250.0,14.9099999911,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100251.0,14.9099999955,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100252.0,14.9099999978,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100253.0,14.9099999989,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100254.0,14.9099999994,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100255.0,14.9099999997,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100256.0,14.9099999999,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100257.0,14.9099999999,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100258.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100259.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100260.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100261.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100262.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100263.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100264.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100265.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100266.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100267.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100268.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100269.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100270.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100271.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100272.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100273.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100274.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100275.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100276.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100277.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100278.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100279.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100280.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF,20100281.0,14.91,7.53,7.305,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
