<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCB,20100131.0,7.73,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100132.0,11.595,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100133.0,13.5275,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100134.0,14.49375,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100135.0,14.976875,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100136.0,15.2184375,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100137.0,15.33921875,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100138.0,15.399609375,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100139.0,15.4298046875,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100140.0,15.4449023438,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100141.0,15.4524511719,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100142.0,15.4562255859,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100143.0,15.458112793,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100144.0,15.4590563965,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100145.0,15.4595281982,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100146.0,15.4597640991,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,20100147.0,15.4598820496,7.805,7.695,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
