<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCS,20100131.0,7.385,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100132.0,11.0775,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100133.0,12.92375,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100134.0,13.846875,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100135.0,14.3084375,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100136.0,14.53921875,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100137.0,14.654609375,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100138.0,14.7123046875,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100139.0,14.7411523437,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100140.0,14.7555761719,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100141.0,14.7627880859,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100142.0,14.766394043,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100143.0,14.7681970215,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100144.0,14.7690985107,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100145.0,14.7695492554,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100146.0,14.7697746277,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100147.0,14.7698873138,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100148.0,14.7699436569,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100149.0,14.7699718285,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100150.0,14.7699859142,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100151.0,14.7699929571,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100152.0,14.7699964786,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100153.0,14.7699982393,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100154.0,14.7699991196,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100155.0,14.7699995598,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100156.0,14.7699997799,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100157.0,14.76999989,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100158.0,14.769999945,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100159.0,14.7699999725,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100160.0,14.7699999862,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100161.0,14.7699999931,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100162.0,14.7699999966,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100163.0,14.7699999983,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100164.0,14.7699999991,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100165.0,14.7699999996,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100166.0,14.7699999998,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100167.0,14.7699999999,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100168.0,14.7699999999,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100169.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100170.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100171.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100172.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100173.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100174.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100175.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100176.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100177.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100178.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100179.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100180.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100181.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100182.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100183.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100184.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100185.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100186.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100187.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100188.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCS,20100189.0,14.77,7.385,7.385,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
