<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VFR,20100131.0,5.475,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100132.0,8.2125,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100133.0,9.58125,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100134.0,10.265625,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100135.0,10.6078125,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100136.0,10.77890625,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100137.0,10.864453125,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100138.0,10.9072265625,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100139.0,10.9286132812,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100140.0,10.9393066406,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100141.0,10.9446533203,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100142.0,10.9473266602,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100143.0,10.9486633301,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100144.0,10.949331665,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100145.0,10.9496658325,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100146.0,10.9498329163,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100147.0,10.9499164581,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100148.0,10.9499582291,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100149.0,10.9499791145,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100150.0,10.9499895573,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100151.0,10.9499947786,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100152.0,10.9499973893,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100153.0,10.9499986947,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100154.0,10.9499993473,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100155.0,10.9499996737,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100156.0,10.9499998368,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100157.0,10.9499999184,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100158.0,10.9499999592,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100159.0,10.9499999796,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100160.0,10.9499999898,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100161.0,10.9499999949,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100162.0,10.9499999975,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100163.0,10.9499999987,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100164.0,10.9499999994,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100165.0,10.9499999997,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100166.0,10.9499999998,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100167.0,10.9499999999,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100168.0,10.95,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100169.0,10.95,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100170.0,10.95,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,20100171.0,10.95,5.685,5.475,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
