<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIG,20100131.0,6.51,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100132.0,9.765,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100133.0,11.3925,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100134.0,12.20625,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100135.0,12.613125,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100136.0,12.8165625,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100137.0,12.91828125,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100138.0,12.969140625,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100139.0,12.9945703125,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100140.0,13.0072851562,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100141.0,13.0136425781,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100142.0,13.0168212891,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100143.0,13.0184106445,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100144.0,13.0192053223,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100145.0,13.0196026611,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100146.0,13.0198013306,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100147.0,13.0199006653,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100148.0,13.0199503326,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100149.0,13.0199751663,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100150.0,13.0199875832,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100151.0,13.0199937916,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100152.0,13.0199968958,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100153.0,13.0199984479,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100154.0,13.0199992239,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100155.0,13.019999612,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100156.0,13.019999806,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100157.0,13.019999903,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100158.0,13.0199999515,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100159.0,13.0199999757,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100160.0,13.0199999879,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100161.0,13.0199999939,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100162.0,13.019999997,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100163.0,13.0199999985,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100164.0,13.0199999992,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100165.0,13.0199999996,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100166.0,13.0199999998,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100167.0,13.0199999999,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100168.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100169.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100170.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100171.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100172.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100173.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100174.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100175.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100176.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100177.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100178.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100179.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100180.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100181.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100182.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100183.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100184.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100185.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100186.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100187.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100188.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100189.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100190.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100191.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100192.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100193.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100194.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100195.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100196.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100197.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100198.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100199.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100200.0,13.02,6.585,6.435,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100201.0,13.02,13.17,12.87,13.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100202.0,13.63,13.63,12.87,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100203.0,12.94,13.17,12.79,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100204.0,12.94,13.24,12.86,13.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100205.0,12.94,13.1,12.72,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100206.0,13.015,6.545,6.355,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100207.0,13.0525,6.545,6.355,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100208.0,13.09,13.09,12.71,12.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100209.0,12.87,12.95,12.57,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100210.0,12.94,13.17,12.71,12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100211.0,12.94,13.09,12.87,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100212.0,13.25,13.25,13.02,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100213.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100214.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100215.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100216.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100217.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100218.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100219.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100220.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100221.0,13.25,6.665,6.475,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100222.0,13.25,13.33,12.95,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100223.0,12.8,12.95,12.57,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100224.0,12.86,13.02,12.64,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100225.0,12.94,13.17,12.79,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100226.0,13.02,13.09,12.64,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100227.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100228.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100229.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100230.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100231.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100232.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100233.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIG,20100234.0,13.02,6.59,6.4,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
