<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VMC,20100131.0,16.575,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100132.0,24.8625,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100133.0,29.00625,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100134.0,31.078125,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100135.0,32.1140625,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100136.0,32.63203125,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100137.0,32.891015625,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100138.0,33.0205078125,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100139.0,33.0852539063,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100140.0,33.1176269531,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100141.0,33.1338134766,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100142.0,33.1419067383,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100143.0,33.1459533691,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100144.0,33.1479766846,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100145.0,33.1489883423,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100146.0,33.1494941711,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100147.0,33.1497470856,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100148.0,33.1498735428,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100149.0,33.1499367714,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100150.0,33.1499683857,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100151.0,33.1499841928,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100152.0,33.1499920964,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100153.0,33.1499960482,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100154.0,33.1499980241,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100155.0,33.1499990121,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100156.0,33.149999506,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100157.0,33.149999753,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100158.0,33.1499998765,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100159.0,33.1499999383,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100160.0,33.1499999691,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100161.0,33.1499999846,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100162.0,33.1499999923,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100163.0,33.1499999961,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100164.0,33.1499999981,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100165.0,33.149999999,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100166.0,33.1499999995,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100167.0,33.1499999998,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100168.0,33.1499999999,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100169.0,33.1499999999,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100170.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100171.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100172.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100173.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100174.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100175.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100176.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100177.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100178.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100179.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100180.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100181.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100182.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100183.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100184.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100185.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100186.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100187.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100188.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100189.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100190.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100191.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100192.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100193.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100194.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100195.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100196.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100197.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100198.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100199.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100200.0,33.15,17.715,16.45,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100201.0,33.15,35.43,32.9,35.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100202.0,34.8,35.43,32.9,34.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100203.0,35.05,35.43,34.23,34.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100204.0,35.43,35.43,33.72,34.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100205.0,33.53,33.53,32.96,33.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMC,20100206.0,33.31,16.545,16.51,16.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
