<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VNR,20100131.0,3.065,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100132.0,4.5975,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100133.0,5.36375,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100134.0,5.746875,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100135.0,5.9384375,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100136.0,6.03421875,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100137.0,6.082109375,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100138.0,6.1060546875,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100139.0,6.11802734375,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100140.0,6.12401367187,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100141.0,6.12700683594,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100142.0,6.12850341797,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100143.0,6.12925170898,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100144.0,6.12962585449,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100145.0,6.12981292725,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100146.0,6.12990646362,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100147.0,6.12995323181,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100148.0,6.12997661591,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100149.0,6.12998830795,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100150.0,6.12999415398,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100151.0,6.12999707699,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100152.0,6.12999853849,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100153.0,6.12999926925,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100154.0,6.12999963462,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100155.0,6.12999981731,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100156.0,6.12999990866,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100157.0,6.12999995433,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100158.0,6.12999997716,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100159.0,6.12999998858,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100160.0,6.12999999429,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100161.0,6.12999999715,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100162.0,6.12999999857,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100163.0,6.12999999929,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100164.0,6.12999999964,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100165.0,6.12999999982,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100166.0,6.12999999991,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100167.0,6.12999999996,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100168.0,6.12999999998,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100169.0,6.12999999999,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100170.0,6.12999999999,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100171.0,6.13,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100172.0,6.13,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100173.0,6.13,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100174.0,6.13,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNR,20100175.0,6.13,3.28,3.065,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
