<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VNT,20100131.0,3.92,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100132.0,5.88,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100133.0,6.86,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100134.0,7.35,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100135.0,7.595,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100136.0,7.7175,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100137.0,7.77875,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100138.0,7.809375,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100139.0,7.8246875,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100140.0,7.83234375,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100141.0,7.836171875,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100142.0,7.8380859375,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100143.0,7.83904296875,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100144.0,7.83952148438,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100145.0,7.83976074219,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100146.0,7.83988037109,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100147.0,7.83994018555,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100148.0,7.83997009277,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100149.0,7.83998504639,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100150.0,7.83999252319,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100151.0,7.8399962616,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100152.0,7.8399981308,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100153.0,7.8399990654,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100154.0,7.8399995327,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100155.0,7.83999976635,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100156.0,7.83999988317,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100157.0,7.83999994159,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100158.0,7.83999997079,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100159.0,7.8399999854,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100160.0,7.8399999927,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100161.0,7.83999999635,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100162.0,7.83999999817,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100163.0,7.83999999909,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNT,20100164.0,7.83999999954,3.92,3.605,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
