<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VPH,20100131.0,13.635,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100132.0,20.4525,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100133.0,23.86125,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100134.0,25.565625,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100135.0,26.4178125,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100136.0,26.84390625,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100137.0,27.056953125,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100138.0,27.1634765625,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100139.0,27.2167382813,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100140.0,27.2433691406,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100141.0,27.2566845703,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100142.0,27.2633422852,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100143.0,27.2666711426,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100144.0,27.2683355713,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100145.0,27.2691677856,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100146.0,27.2695838928,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100147.0,27.2697919464,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100148.0,27.2698959732,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100149.0,27.2699479866,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100150.0,27.2699739933,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100151.0,27.2699869967,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100152.0,27.2699934983,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100153.0,27.2699967492,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100154.0,27.2699983746,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100155.0,27.2699991873,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100156.0,27.2699995936,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100157.0,27.2699997968,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100158.0,27.2699998984,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100159.0,27.2699999492,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100160.0,27.2699999746,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100161.0,27.2699999873,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100162.0,27.2699999937,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100163.0,27.2699999968,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100164.0,27.2699999984,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100165.0,27.2699999992,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100166.0,27.2699999996,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100167.0,27.2699999998,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100168.0,27.2699999999,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100169.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100170.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100171.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100172.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100173.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100174.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100175.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100176.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100177.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100178.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100179.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100180.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100181.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100182.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100183.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100184.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100185.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100186.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100187.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100188.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100189.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100190.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100191.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100192.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100193.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100194.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100195.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100196.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100197.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100198.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100199.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100200.0,27.27,13.635,13.31,13.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100201.0,27.27,27.27,26.62,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100202.0,27.27,27.49,27.05,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100203.0,27.27,27.27,26.61,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100204.0,27.05,27.92,27.05,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100205.0,27.7,27.7,26.61,26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100206.0,27.155,13.415,12.87,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100207.0,26.8825,13.415,12.87,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100208.0,26.61,26.83,25.74,25.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100209.0,25.96,25.96,25.09,25.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100210.0,26.83,26.83,26.18,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100211.0,26.62,26.62,26.4,26.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100212.0,26.61,27.05,26.61,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100213.0,27.155,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100214.0,27.4275,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100215.0,27.56375,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100216.0,27.631875,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100217.0,27.6659375,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100218.0,27.68296875,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100219.0,27.691484375,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100220.0,27.6957421875,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100221.0,27.6978710938,14.18,13.85,14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100222.0,27.7,28.36,27.7,28.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100223.0,28.36,28.36,27.71,27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100224.0,27.7,27.92,27.7,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100225.0,27.92,27.92,27.7,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100226.0,26.39,27.7,26.39,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100227.0,27.045,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100228.0,27.3725,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100229.0,27.53625,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100230.0,27.618125,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100231.0,27.6590625,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100232.0,27.67953125,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100233.0,27.689765625,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100234.0,27.6948828125,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100235.0,27.6974414063,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100236.0,27.6987207031,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100237.0,27.6993603516,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100238.0,27.6996801758,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100239.0,27.6998400879,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100240.0,27.6999200439,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100241.0,27.699960022,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100242.0,27.699980011,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100243.0,27.6999900055,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100244.0,27.6999950027,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100245.0,27.6999975014,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100246.0,27.6999987507,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100247.0,27.6999993753,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100248.0,27.6999996877,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100249.0,27.6999998438,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100250.0,27.6999999219,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPH,20100251.0,27.699999961,13.96,13.85,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
