<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VTC,20100131.0,4.375,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100132.0,6.5625,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100133.0,7.65625,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100134.0,8.203125,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100135.0,8.4765625,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100136.0,8.61328125,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100137.0,8.681640625,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100138.0,8.7158203125,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100139.0,8.73291015625,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100140.0,8.74145507812,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100141.0,8.74572753906,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100142.0,8.74786376953,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100143.0,8.74893188477,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100144.0,8.74946594238,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100145.0,8.74973297119,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100146.0,8.7498664856,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100147.0,8.7499332428,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100148.0,8.7499666214,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100149.0,8.7499833107,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTC,20100150.0,8.74999165535,4.495,4.29,4.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
