<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20120103,^PHANBON,353.2,354.52,344.43,345.88,217820.0,353.2,354.52,344.43,345.88,0.0,0.0,0.0
20120104,^PHANBON,340.04,342.85,338.3,339.72,97620.0,340.04,342.85,338.3,339.72,0.0,0.0,0.0
20120105,^PHANBON,339.7,339.72,333.77,333.76,192950.0,339.7,339.72,333.77,333.76,0.0,0.0,0.0
20120106,^PHANBON,336.43,336.75,330.5,330.59,170570.0,336.43,336.75,330.5,330.59,0.0,0.0,0.0
20120107,^PHANBON,337.62,337.85,331.125,334.745,,,,,,,,
20120108,^PHANBON,338.215,338.4,331.4375,336.8225,,,,,,,,
20120109,^PHANBON,338.81,338.95,331.75,338.9,168040.0,338.81,338.95,331.75,338.9,0.0,0.0,0.0
20120110,^PHANBON,336.0,350.25,336.0,346.17,204940.0,336.0,350.25,336.0,346.17,0.0,0.0,0.0
20120111,^PHANBON,351.84,354.7,347.6,351.81,215520.0,351.84,354.7,347.6,351.81,0.0,0.0,0.0
20120112,^PHANBON,348.57,351.67,344.13,348.96,96500.0,348.57,351.67,344.13,348.96,0.0,0.0,0.0
20120113,^PHANBON,350.41,352.0,347.64,347.42,142810.0,350.41,352.0,347.64,347.42,0.0,0.0,0.0
20120114,^PHANBON,349.595,351.245,346.765,348.285,,,,,,,,
20120115,^PHANBON,349.1875,350.8675,346.3275,348.7175,,,,,,,,
20120116,^PHANBON,348.78,350.49,345.89,349.15,198910.0,348.78,350.49,345.89,349.15,0.0,0.0,0.0
20120117,^PHANBON,352.21,352.21,345.87,345.86,142630.0,352.21,352.21,345.87,345.86,0.0,0.0,0.0
20120118,^PHANBON,351.58,358.45,350.28,355.69,127060.0,351.58,358.45,350.28,355.69,0.0,0.0,0.0
20120119,^PHANBON,355.77,372.22,355.76,372.22,243230.0,355.77,372.22,355.76,372.22,0.0,0.0,0.0
20120120,^PHANBON,376.57,386.02,373.37,379.15,236500.0,376.57,386.02,373.37,379.15,0.0,0.0,0.0
20120121,^PHANBON,377.895,391.455,376.235,388.14,,,,,,,,
20120122,^PHANBON,378.5575,394.1725,377.6675,392.635,,,,,,,,
20120123,^PHANBON,378.88875,395.53125,378.38375,394.8825,,,,,,,,
20120124,^PHANBON,379.054375,396.210625,378.741875,396.00625,,,,,,,,
20120125,^PHANBON,379.1371875,396.5503125,378.9209375,396.568125,,,,,,,,
20120126,^PHANBON,379.17859375,396.72015625,379.01046875,396.8490625,,,,,,,,
20120127,^PHANBON,379.199296875,396.805078125,379.055234375,396.98953125,,,,,,,,
20120128,^PHANBON,379.209648438,396.847539063,379.077617188,397.059765625,,,,,,,,
20120129,^PHANBON,379.214824219,396.868769531,379.088808594,397.094882813,,,,,,,,
20120130,^PHANBON,379.22,396.89,379.1,397.13,274650.0,379.22,396.89,379.1,397.13,0.0,0.0,0.0
20120131,^PHANBON,406.71,412.4,392.57,392.57,609170.0,406.71,412.4,392.57,392.57,0.0,0.0,0.0
20120132,^PHANBON,399.68,406.79,388.94,396.865,,,,,,,,
20120133,^PHANBON,396.165,403.985,387.125,399.0125,,,,,,,,
20120134,^PHANBON,394.4075,402.5825,386.2175,400.08625,,,,,,,,
20120135,^PHANBON,393.52875,401.88125,385.76375,400.623125,,,,,,,,
