<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100408,ADP,2.78,2.78,2.78,2.78,1000.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
20100409,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100410,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100411,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100412,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100413,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100414,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100415,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100416,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100417,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100418,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100419,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100420,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100421,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100422,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100423,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100424,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100425,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100426,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100427,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100428,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100429,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100430,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100431,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100432,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100433,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100434,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100435,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100436,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100437,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100438,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100439,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100440,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100441,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100442,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100443,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100444,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100445,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100446,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100447,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100448,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100449,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100450,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100451,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100452,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100453,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100454,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100455,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100456,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100457,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100458,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100459,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100460,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100461,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100462,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100463,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100464,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100465,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100466,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100467,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100468,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100469,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100470,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100471,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100472,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100473,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100474,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100475,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100476,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100477,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100478,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100479,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100480,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100481,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100482,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100483,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100484,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100485,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100486,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100487,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100488,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100489,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100490,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100491,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100492,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100493,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100494,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100495,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100496,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100497,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100498,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100499,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100500,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100501,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100502,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100503,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100504,ADP,2.78,2.78,2.78,2.78,,,,,,,,
20100505,ADP,2.78,2.78,2.78,2.78,,,,,,,,
