<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090105,AGC,20.0,20.0,15.2,17.1,14100.0,20.0,20.0,15.2,17.1,0.0,0.0,0.0
20090106,AGC,16.5,16.5,16.3,16.3,4700.0,16.5,16.5,16.3,16.3,0.0,0.0,0.0
20090107,AGC,15.3,16.4,15.3,15.4,22800.0,15.3,16.4,15.3,15.4,0.0,0.0,0.0
20090108,AGC,16.5,16.5,14.5,15.9,18700.0,16.5,16.5,14.5,15.9,0.0,0.0,0.0
20090109,AGC,15.9,15.9,15.0,15.9,2500.0,15.9,15.9,15.0,15.9,0.0,0.0,0.0
20090110,AGC,16.45,16.45,15.95,16.45,,,,,,,,
20090111,AGC,16.725,16.725,16.425,16.725,,,,,,,,
20090112,AGC,17.0,17.0,16.9,17.0,16500.0,17.0,17.0,16.9,17.0,0.0,0.0,0.0
20090113,AGC,18.0,18.1,16.2,17.3,16300.0,18.0,18.1,16.2,17.3,0.0,0.0,0.0
20090114,AGC,17.0,17.0,16.0,16.1,16500.0,17.0,17.0,16.0,16.1,0.0,0.0,0.0
20090115,AGC,16.0,16.0,15.1,15.1,22600.0,16.0,16.0,15.1,15.1,0.0,200.0,0.0
20090116,AGC,16.2,16.2,14.7,15.5,3700.0,16.2,16.2,14.7,15.5,0.0,0.0,0.0
20090117,AGC,16.15,16.15,14.4,14.9,,,,,,,,
20090118,AGC,16.125,16.125,14.25,14.6,,,,,,,,
20090119,AGC,16.1,16.1,14.1,14.3,19100.0,16.1,16.1,14.1,14.3,0.0,200.0,0.0
20090120,AGC,15.2,15.2,13.8,15.2,13400.0,15.2,15.2,13.8,15.2,0.0,0.0,0.0
20090121,AGC,14.4,14.5,14.3,14.3,5300.0,14.4,14.5,14.3,14.3,0.0,0.0,0.0
20090122,AGC,15.2,15.2,13.4,14.8,21500.0,15.2,15.2,13.4,14.8,0.0,0.0,0.0
20090123,AGC,14.4,14.5,13.6,14.5,4000.0,14.4,14.5,13.6,14.5,0.0,0.0,0.0
20090124,AGC,14.6,14.8,13.65,14.35,,,,,,,,
20090125,AGC,14.7,14.95,13.675,14.275,,,,,,,,
20090126,AGC,14.75,15.025,13.6875,14.2375,,,,,,,,
20090127,AGC,14.775,15.0625,13.69375,14.21875,,,,,,,,
20090128,AGC,14.7875,15.08125,13.696875,14.209375,,,,,,,,
20090129,AGC,14.79375,15.090625,13.6984375,14.2046875,,,,,,,,
20090130,AGC,14.796875,15.0953125,13.69921875,14.20234375,,,,,,,,
20090131,AGC,14.7984375,15.09765625,13.699609375,14.201171875,,,,,,,,
20090132,AGC,14.79921875,15.098828125,13.6998046875,14.2005859375,,,,,,,,
20090133,AGC,14.799609375,15.0994140625,13.6999023437,14.2002929687,,,,,,,,
20090134,AGC,14.7998046875,15.0997070312,13.6999511719,14.2001464844,,,,,,,,
20090135,AGC,14.7999023438,15.0998535156,13.6999755859,14.2000732422,,,,,,,,
20090136,AGC,14.7999511719,15.0999267578,13.699987793,14.2000366211,,,,,,,,
20090137,AGC,14.7999755859,15.0999633789,13.6999938965,14.2000183105,,,,,,,,
20090138,AGC,14.799987793,15.0999816895,13.6999969482,14.2000091553,,,,,,,,
20090139,AGC,14.7999938965,15.0999908447,13.6999984741,14.2000045776,,,,,,,,
20090140,AGC,14.7999969482,15.0999954224,13.6999992371,14.2000022888,,,,,,,,
20090141,AGC,14.7999984741,15.0999977112,13.6999996185,14.2000011444,,,,,,,,
20090142,AGC,14.7999992371,15.0999988556,13.6999998093,14.2000005722,,,,,,,,
20090143,AGC,14.7999996185,15.0999994278,13.6999999046,14.2000002861,,,,,,,,
20090144,AGC,14.7999998093,15.0999997139,13.6999999523,14.2000001431,,,,,,,,
20090145,AGC,14.7999999046,15.0999998569,13.6999999762,14.2000000715,,,,,,,,
20090146,AGC,14.7999999523,15.0999999285,13.6999999881,14.2000000358,,,,,,,,
20090147,AGC,14.7999999762,15.0999999642,13.699999994,14.2000000179,,,,,,,,
20090148,AGC,14.7999999881,15.0999999821,13.699999997,14.2000000089,,,,,,,,
20090149,AGC,14.799999994,15.0999999911,13.6999999985,14.2000000045,,,,,,,,
20090150,AGC,14.799999997,15.0999999955,13.6999999993,14.2000000022,,,,,,,,
20090151,AGC,14.7999999985,15.0999999978,13.6999999996,14.2000000011,,,,,,,,
20090152,AGC,14.7999999993,15.0999999989,13.6999999998,14.2000000006,,,,,,,,
20090153,AGC,14.7999999996,15.0999999994,13.6999999999,14.2000000003,,,,,,,,
20090154,AGC,14.7999999998,15.0999999997,13.7,14.2000000001,,,,,,,,
20090155,AGC,14.7999999999,15.0999999999,13.7,14.2000000001,,,,,,,,
20090156,AGC,14.8,15.0999999999,13.7,14.2,,,,,,,,
20090157,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090158,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090159,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090160,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090161,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090162,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090163,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090164,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090165,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090166,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090167,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090168,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090169,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090170,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090171,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090172,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090173,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090174,AGC,14.8,15.1,13.7,14.2,,,,,,,,
20090175,AGC,14.8,15.1,13.7,14.2,,,,,,,,
