<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20141027,ASD,14.0,14.0,14.0,14.0,400.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0
20141028,ASD,13.3,13.3,13.3,13.3,,,,,,,,
20141029,ASD,12.95,12.95,12.95,12.95,,,,,,,,
20141030,ASD,12.775,12.775,12.775,12.775,,,,,,,,
20141031,ASD,12.6875,12.6875,12.6875,12.6875,,,,,,,,
20141032,ASD,12.64375,12.64375,12.64375,12.64375,,,,,,,,
20141033,ASD,12.621875,12.621875,12.621875,12.621875,,,,,,,,
20141034,ASD,12.6109375,12.6109375,12.6109375,12.6109375,,,,,,,,
20141035,ASD,12.60546875,12.60546875,12.60546875,12.60546875,,,,,,,,
20141036,ASD,12.602734375,12.602734375,12.602734375,12.602734375,,,,,,,,
20141037,ASD,12.6013671875,12.6013671875,12.6013671875,12.6013671875,,,,,,,,
20141038,ASD,12.6006835937,12.6006835937,12.6006835937,12.6006835937,,,,,,,,
20141039,ASD,12.6003417969,12.6003417969,12.6003417969,12.6003417969,,,,,,,,
20141040,ASD,12.6001708984,12.6001708984,12.6001708984,12.6001708984,,,,,,,,
20141041,ASD,12.6000854492,12.6000854492,12.6000854492,12.6000854492,,,,,,,,
20141042,ASD,12.6000427246,12.6000427246,12.6000427246,12.6000427246,,,,,,,,
20141043,ASD,12.6000213623,12.6000213623,12.6000213623,12.6000213623,,,,,,,,
20141044,ASD,12.6000106812,12.6000106812,12.6000106812,12.6000106812,,,,,,,,
20141045,ASD,12.6000053406,12.6000053406,12.6000053406,12.6000053406,,,,,,,,
20141046,ASD,12.6000026703,12.6000026703,12.6000026703,12.6000026703,,,,,,,,
20141047,ASD,12.6000013351,12.6000013351,12.6000013351,12.6000013351,,,,,,,,
20141048,ASD,12.6000006676,12.6000006676,12.6000006676,12.6000006676,,,,,,,,
20141049,ASD,12.6000003338,12.6000003338,12.6000003338,12.6000003338,,,,,,,,
20141050,ASD,12.6000001669,12.6000001669,12.6000001669,12.6000001669,,,,,,,,
20141051,ASD,12.6000000834,12.6000000834,12.6000000834,12.6000000834,,,,,,,,
20141052,ASD,12.6000000417,12.6000000417,12.6000000417,12.6000000417,,,,,,,,
20141053,ASD,12.6000000209,12.6000000209,12.6000000209,12.6000000209,,,,,,,,
20141054,ASD,12.6000000104,12.6000000104,12.6000000104,12.6000000104,,,,,,,,
20141055,ASD,12.6000000052,12.6000000052,12.6000000052,12.6000000052,,,,,,,,
20141056,ASD,12.6000000026,12.6000000026,12.6000000026,12.6000000026,,,,,,,,
20141057,ASD,12.6000000013,12.6000000013,12.6000000013,12.6000000013,,,,,,,,
20141058,ASD,12.6000000007,12.6000000007,12.6000000007,12.6000000007,,,,,,,,
20141059,ASD,12.6000000003,12.6000000003,12.6000000003,12.6000000003,,,,,,,,
20141060,ASD,12.6000000002,12.6000000002,12.6000000002,12.6000000002,,,,,,,,
20141061,ASD,12.6000000001,12.6000000001,12.6000000001,12.6000000001,,,,,,,,
20141062,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141063,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141064,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141065,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141066,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141067,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141068,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141069,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141070,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141071,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141072,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141073,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141074,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141075,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141076,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141077,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141078,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141079,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141080,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141081,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141082,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141083,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141084,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141085,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141086,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141087,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141088,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141089,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141090,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141091,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141092,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141093,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141094,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141095,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141096,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141097,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141098,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141099,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141100,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141101,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141102,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141103,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141104,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141105,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141106,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141107,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141108,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141109,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141110,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141111,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141112,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141113,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141114,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141115,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141116,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141117,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141118,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141119,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141120,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141121,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141122,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141123,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141124,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141125,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141126,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141127,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141128,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141129,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141130,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141131,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141132,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141133,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141134,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141135,ASD,12.6,12.6,12.6,12.6,,,,,,,,
20141136,ASD,12.6,12.6,12.6,12.6,,,,,,,,
