<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100118,ASM,8.92,8.92,8.92,8.92,20.0,45.6,45.6,45.6,45.6,0.0,0.0,0.0
20100119,ASM,9.35,9.35,9.35,9.35,568020.0,47.8,47.8,47.8,47.8,0.0,0.0,400000.0
20100120,ASM,9.78,9.78,9.58,9.78,851420.0,50.0,50.0,49.0,50.0,20296.0,30086.0,188716.0
20100121,ASM,9.33,9.78,9.29,9.29,82850.0,47.7,50.0,47.5,47.5,0.0,10.0,7710.0
20100122,ASM,8.86,9.29,8.84,8.84,53790.0,45.3,47.5,45.2,45.2,0.0,200.0,10000.0
20100123,ASM,8.645,9.045,8.625,8.625,,,,,,,,
20100124,ASM,8.5375,8.9225,8.5175,8.5175,,,,,,,,
20100125,ASM,8.43,8.8,8.41,8.41,282170.0,43.1,45.0,43.0,43.0,0.0,4800.0,0.0
20100126,ASM,8.8,8.82,8.61,8.82,234520.0,45.0,45.1,44.0,45.1,0.0,0.0,7100.0
20100127,ASM,8.8,8.88,8.39,8.39,99920.0,45.0,45.4,42.9,42.9,30000.0,0.0,0.0
20100128,ASM,8.02,8.51,7.98,7.98,128550.0,41.0,43.5,40.8,40.8,0.0,0.0,2000.0
20100129,ASM,8.02,8.33,7.82,8.04,164580.0,41.0,42.6,40.0,41.1,0.0,0.0,0.0
20100130,ASM,8.205,8.38,7.97,8.235,,,,,,,,
20100131,ASM,8.2975,8.405,8.045,8.3325,,,,,,,,
20100132,ASM,8.34375,8.4175,8.0825,8.38125,,,,,,,,
20100133,ASM,8.366875,8.42375,8.10125,8.405625,,,,,,,,
20100134,ASM,8.3784375,8.426875,8.110625,8.4178125,,,,,,,,
20100135,ASM,8.38421875,8.4284375,8.1153125,8.42390625,,,,,,,,
20100136,ASM,8.387109375,8.42921875,8.11765625,8.426953125,,,,,,,,
20100137,ASM,8.3885546875,8.429609375,8.118828125,8.4284765625,,,,,,,,
20100138,ASM,8.38927734375,8.4298046875,8.1194140625,8.42923828125,,,,,,,,
20100139,ASM,8.38963867188,8.42990234375,8.11970703125,8.42961914063,,,,,,,,
20100140,ASM,8.38981933594,8.42995117188,8.11985351562,8.42980957031,,,,,,,,
20100141,ASM,8.38990966797,8.42997558594,8.11992675781,8.42990478516,,,,,,,,
20100142,ASM,8.38995483398,8.42998779297,8.11996337891,8.42995239258,,,,,,,,
20100143,ASM,8.38997741699,8.42999389648,8.11998168945,8.42997619629,,,,,,,,
20100144,ASM,8.3899887085,8.42999694824,8.11999084473,8.42998809814,,,,,,,,
20100145,ASM,8.38999435425,8.42999847412,8.11999542236,8.42999404907,,,,,,,,
20100146,ASM,8.38999717712,8.42999923706,8.11999771118,8.42999702454,,,,,,,,
20100147,ASM,8.38999858856,8.42999961853,8.11999885559,8.42999851227,,,,,,,,
20100148,ASM,8.38999929428,8.42999980927,8.1199994278,8.42999925613,,,,,,,,
20100149,ASM,8.38999964714,8.42999990463,8.1199997139,8.42999962807,,,,,,,,
20100150,ASM,8.38999982357,8.42999995232,8.11999985695,8.42999981403,,,,,,,,
20100151,ASM,8.38999991179,8.42999997616,8.11999992847,8.42999990702,,,,,,,,
20100152,ASM,8.38999995589,8.42999998808,8.11999996424,8.42999995351,,,,,,,,
20100153,ASM,8.38999997795,8.42999999404,8.11999998212,8.42999997675,,,,,,,,
20100154,ASM,8.38999998897,8.42999999702,8.11999999106,8.42999998838,,,,,,,,
20100155,ASM,8.38999999449,8.42999999851,8.11999999553,8.42999999419,,,,,,,,
20100156,ASM,8.38999999724,8.42999999925,8.11999999776,8.42999999709,,,,,,,,
20100157,ASM,8.38999999862,8.42999999963,8.11999999888,8.42999999855,,,,,,,,
20100158,ASM,8.38999999931,8.42999999981,8.11999999944,8.42999999927,,,,,,,,
20100159,ASM,8.38999999966,8.42999999991,8.11999999972,8.42999999964,,,,,,,,
20100160,ASM,8.38999999983,8.42999999995,8.11999999986,8.42999999982,,,,,,,,
20100161,ASM,8.38999999991,8.42999999998,8.11999999993,8.42999999991,,,,,,,,
20100162,ASM,8.38999999996,8.42999999999,8.11999999997,8.42999999995,,,,,,,,
20100163,ASM,8.38999999998,8.42999999999,8.11999999998,8.42999999998,,,,,,,,
20100164,ASM,8.38999999999,8.43,8.11999999999,8.42999999999,,,,,,,,
20100165,ASM,8.38999999999,8.43,8.12,8.42999999999,,,,,,,,
20100166,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100167,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100168,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100169,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100170,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100171,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100172,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100173,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100174,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100175,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100176,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100177,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100178,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100179,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100180,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100181,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100182,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100183,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100184,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100185,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100186,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100187,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100188,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100189,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100190,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100191,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100192,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100193,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100194,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100195,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100196,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100197,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100198,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100199,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100200,ASM,8.39,8.43,8.12,8.43,,,,,,,,
20100201,ASM,8.39,8.43,8.12,8.43,220350.0,42.9,43.1,41.5,43.1,80000.0,0.0,0.0
20100202,ASM,8.43,8.59,8.41,8.51,132820.0,43.1,43.9,43.0,43.5,0.0,0.0,0.0
20100203,ASM,8.71,8.71,8.2,8.59,97840.0,44.5,44.5,41.9,43.9,0.0,0.0,0.0
20100204,ASM,8.32,8.61,8.2,8.39,190520.0,42.5,44.0,41.9,42.9,0.0,0.0,5000.0
20100205,ASM,8.37,8.41,8.04,8.04,170490.0,42.8,43.0,41.1,41.1,0.0,1000.0,2000.0
20100206,ASM,8.145,8.295,7.98,8.05,,,,,,,,
20100207,ASM,8.0325,8.2375,7.95,8.055,,,,,,,,
20100208,ASM,7.92,8.18,7.92,8.06,59280.0,40.5,41.8,40.5,41.2,0.0,2100.0,0.0
20100209,ASM,8.08,8.08,7.83,7.82,92620.0,41.3,41.3,40.0,40.0,40000.0,0.0,0.0
20100210,ASM,7.82,8.11,7.82,7.92,114650.0,40.0,41.5,40.0,40.5,0.0,17310.0,0.0
20100211,ASM,8.23,8.25,8.06,8.22,112040.0,42.1,42.2,41.2,42.0,0.0,3710.0,0.0
20100212,ASM,8.38,8.38,8.12,8.22,32140.0,42.8,42.8,41.5,42.0,0.0,0.0,0.0
20100213,ASM,8.3,8.3,8.08,8.13,,,,,,,,
20100214,ASM,8.26,8.26,8.06,8.085,,,,,,,,
20100215,ASM,8.24,8.24,8.05,8.0625,,,,,,,,
20100216,ASM,8.23,8.23,8.045,8.05125,,,,,,,,
20100217,ASM,8.225,8.225,8.0425,8.045625,,,,,,,,
20100218,ASM,8.2225,8.2225,8.04125,8.0428125,,,,,,,,
20100219,ASM,8.22125,8.22125,8.040625,8.04140625,,,,,,,,
20100220,ASM,8.220625,8.220625,8.0403125,8.040703125,,,,,,,,
20100221,ASM,8.2203125,8.2203125,8.04015625,8.0403515625,,,,,,,,
20100222,ASM,8.22,8.22,8.04,8.04,19630.0,42.0,42.0,41.1,41.1,0.0,0.0,0.0
20100223,ASM,7.84,8.02,7.82,7.82,71860.0,40.1,41.0,40.0,40.0,0.0,0.0,0.0
20100224,ASM,7.82,7.82,7.7,7.8,75910.0,40.0,40.0,39.4,39.9,0.0,2010.0,1500.0
20100225,ASM,7.86,7.94,7.78,7.78,58350.0,40.2,40.6,39.8,39.8,0.0,0.0,0.0
20100226,ASM,7.68,8.05,7.68,7.92,68490.0,39.3,41.2,39.3,40.5,0.0,1040.0,0.0
20100227,ASM,7.84,8.18,7.84,8.115,,,,,,,,
20100228,ASM,7.92,8.245,7.92,8.2125,,,,,,,,
20100229,ASM,7.96,8.2775,7.96,8.26125,,,,,,,,
20100230,ASM,7.98,8.29375,7.98,8.285625,,,,,,,,
20100231,ASM,7.99,8.301875,7.99,8.2978125,,,,,,,,
20100232,ASM,7.995,8.3059375,7.995,8.30390625,,,,,,,,
20100233,ASM,7.9975,8.30796875,7.9975,8.306953125,,,,,,,,
20100234,ASM,7.99875,8.308984375,7.99875,8.3084765625,,,,,,,,
20100235,ASM,7.999375,8.3094921875,7.999375,8.30923828125,,,,,,,,
20100236,ASM,7.9996875,8.30974609375,7.9996875,8.30961914062,,,,,,,,
20100237,ASM,7.99984375,8.30987304688,7.99984375,8.30980957031,,,,,,,,
20100238,ASM,7.999921875,8.30993652344,7.999921875,8.30990478516,,,,,,,,
20100239,ASM,7.9999609375,8.30996826172,7.9999609375,8.30995239258,,,,,,,,
20100240,ASM,7.99998046875,8.30998413086,7.99998046875,8.30997619629,,,,,,,,
20100241,ASM,7.99999023437,8.30999206543,7.99999023437,8.30998809814,,,,,,,,
20100242,ASM,7.99999511719,8.30999603271,7.99999511719,8.30999404907,,,,,,,,
20100243,ASM,7.99999755859,8.30999801636,7.99999755859,8.30999702454,,,,,,,,
20100244,ASM,7.9999987793,8.30999900818,7.9999987793,8.30999851227,,,,,,,,
20100245,ASM,7.99999938965,8.30999950409,7.99999938965,8.30999925613,,,,,,,,
20100246,ASM,7.99999969482,8.30999975204,7.99999969482,8.30999962807,,,,,,,,
20100247,ASM,7.99999984741,8.30999987602,7.99999984741,8.30999981403,,,,,,,,
20100248,ASM,7.99999992371,8.30999993801,7.99999992371,8.30999990702,,,,,,,,
20100249,ASM,7.99999996185,8.30999996901,7.99999996185,8.30999995351,,,,,,,,
20100250,ASM,7.99999998093,8.3099999845,7.99999998093,8.30999997675,,,,,,,,
20100251,ASM,7.99999999046,8.30999999225,7.99999999046,8.30999998838,,,,,,,,
20100252,ASM,7.99999999523,8.30999999613,7.99999999523,8.30999999419,,,,,,,,
20100253,ASM,7.99999999762,8.30999999806,7.99999999762,8.30999999709,,,,,,,,
20100254,ASM,7.99999999881,8.30999999903,7.99999999881,8.30999999855,,,,,,,,
20100255,ASM,7.9999999994,8.30999999952,7.9999999994,8.30999999927,,,,,,,,
20100256,ASM,7.9999999997,8.30999999976,7.9999999997,8.30999999964,,,,,,,,
20100257,ASM,7.99999999985,8.30999999988,7.99999999985,8.30999999982,,,,,,,,
20100258,ASM,7.99999999993,8.30999999994,7.99999999993,8.30999999991,,,,,,,,
20100259,ASM,7.99999999996,8.30999999997,7.99999999996,8.30999999995,,,,,,,,
20100260,ASM,7.99999999998,8.30999999998,7.99999999998,8.30999999998,,,,,,,,
20100261,ASM,7.99999999999,8.30999999999,7.99999999999,8.30999999999,,,,,,,,
20100262,ASM,8.0,8.31,8.0,8.30999999999,,,,,,,,
20100263,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100264,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100265,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100266,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100267,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100268,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100269,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100270,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100271,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100272,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100273,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100274,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100275,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100276,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100277,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100278,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100279,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100280,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100281,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100282,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100283,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100284,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100285,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100286,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100287,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100288,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100289,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100290,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100291,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100292,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100293,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100294,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100295,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100296,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100297,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100298,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100299,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100300,ASM,8.0,8.31,8.0,8.31,,,,,,,,
20100301,ASM,8.0,8.31,8.0,8.31,215690.0,40.9,42.5,40.9,42.5,0.0,0.0,0.0
20100302,ASM,8.43,8.47,8.21,8.22,320050.0,43.1,43.3,42.0,42.0,0.0,0.0,0.0
20100303,ASM,8.22,8.22,8.12,8.22,120820.0,42.0,42.0,41.5,42.0,0.0,0.0,4000.0
20100304,ASM,8.45,8.51,8.24,8.23,74290.0,43.2,43.5,42.1,42.1,0.0,1000.0,5000.0
20100305,ASM,8.31,8.31,8.15,8.22,249300.0,42.5,42.5,41.7,42.0,0.0,0.0,78600.0
20100306,ASM,8.38,8.47,8.285,8.405,,,,,,,,
20100307,ASM,8.415,8.55,8.3525,8.4975,,,,,,,,
20100308,ASM,8.45,8.63,8.42,8.59,574210.0,43.2,44.1,43.0,43.9,41000.0,0.0,52400.0
20100309,ASM,8.59,8.88,8.59,8.86,473180.0,43.9,45.4,43.9,45.3,0.0,2500.0,0.0
20100310,ASM,8.9,9.29,8.8,9.29,553330.0,45.5,47.5,45.0,47.5,0.0,2980.0,0.0
20100311,ASM,9.21,9.29,9.06,9.06,326190.0,47.1,47.5,46.3,46.3,0.0,1500.0,0.0
20100312,ASM,9.04,9.2,8.88,9.1,335020.0,46.2,47.0,45.4,46.5,0.0,0.0,0.0
20100313,ASM,9.12,9.2,8.89,9.03,,,,,,,,
20100314,ASM,9.16,9.2,8.895,8.995,,,,,,,,
20100315,ASM,9.2,9.2,8.9,8.96,211350.0,47.0,47.0,45.5,45.8,0.0,0.0,0.0
20100316,ASM,8.96,9.19,8.71,8.7,471610.0,45.8,47.0,44.5,44.5,0.0,0.0,5470.0
20100317,ASM,8.95,8.95,8.7,8.8,359260.0,45.8,45.8,44.5,45.0,0.0,0.0,0.0
20100318,ASM,8.8,8.92,8.76,8.86,289230.0,45.0,45.6,44.8,45.3,0.0,0.0,0.0
20100319,ASM,9.0,9.0,8.8,8.88,200440.0,46.0,46.0,45.0,45.4,0.0,140.0,32020.0
20100320,ASM,8.95,8.99,8.705,8.89,,,,,,,,
20100321,ASM,8.925,8.985,8.6575,8.895,,,,,,,,
20100322,ASM,8.9,8.98,8.61,8.9,204900.0,45.5,45.9,44.0,45.5,0.0,0.0,0.0
20100323,ASM,8.88,8.9,8.65,8.65,119920.0,45.4,45.5,44.2,44.2,0.0,0.0,0.0
20100324,ASM,8.79,8.81,8.61,8.8,150090.0,44.9,45.0,44.0,45.0,0.0,0.0,0.0
20100325,ASM,8.6,8.74,8.41,8.43,173360.0,44.0,44.7,43.0,43.1,0.0,0.0,0.0
20100326,ASM,8.39,8.57,8.21,8.53,182010.0,42.9,43.8,42.0,43.6,0.0,0.0,0.0
20100327,ASM,8.47,8.57,8.31,8.48,,,,,,,,
20100328,ASM,8.51,8.57,8.36,8.455,,,,,,,,
20100329,ASM,8.55,8.57,8.41,8.43,123290.0,43.7,43.8,43.0,43.1,0.0,400.0,0.0
20100330,ASM,8.55,8.61,8.39,8.39,187620.0,43.7,44.0,42.9,42.9,0.0,0.0,7630.0
20100331,ASM,8.39,8.39,7.98,7.98,299060.0,42.9,42.9,40.8,40.8,0.0,0.0,0.0
20100332,ASM,8.295,8.38,7.98,8.175,,,,,,,,
20100333,ASM,8.2475,8.375,7.98,8.2725,,,,,,,,
20100334,ASM,8.22375,8.3725,7.98,8.32125,,,,,,,,
20100335,ASM,8.211875,8.37125,7.98,8.345625,,,,,,,,
20100336,ASM,8.2059375,8.370625,7.98,8.3578125,,,,,,,,
20100337,ASM,8.20296875,8.3703125,7.98,8.36390625,,,,,,,,
20100338,ASM,8.201484375,8.37015625,7.98,8.366953125,,,,,,,,
20100339,ASM,8.2007421875,8.370078125,7.98,8.3684765625,,,,,,,,
20100340,ASM,8.20037109375,8.3700390625,7.98,8.36923828125,,,,,,,,
20100341,ASM,8.20018554687,8.37001953125,7.98,8.36961914062,,,,,,,,
20100342,ASM,8.20009277344,8.37000976562,7.98,8.36980957031,,,,,,,,
20100343,ASM,8.20004638672,8.37000488281,7.98,8.36990478516,,,,,,,,
20100344,ASM,8.20002319336,8.37000244141,7.98,8.36995239258,,,,,,,,
