<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20140124,BID,15.39,15.8,14.99,15.23,8417060.0,19.0,19.5,18.5,18.8,0.0,280910.0,0.0
20140125,BID,15.27,15.515,14.825,15.07,,,,,,,,
20140126,BID,15.21,15.3725,14.7425,14.99,,,,,,,,
20140127,BID,15.15,15.23,14.66,14.91,3240910.0,18.7,18.8,18.1,18.4,0.0,33560.0,0.0
20140128,BID,14.95,15.03,14.46,14.585,,,,,,,,
20140129,BID,14.85,14.93,14.36,14.4225,,,,,,,,
20140130,BID,14.8,14.88,14.31,14.34125,,,,,,,,
20140131,BID,14.775,14.855,14.285,14.300625,,,,,,,,
20140132,BID,14.7625,14.8425,14.2725,14.2803125,,,,,,,,
20140133,BID,14.75625,14.83625,14.26625,14.27015625,,,,,,,,
20140134,BID,14.753125,14.833125,14.263125,14.265078125,,,,,,,,
20140135,BID,14.7515625,14.8315625,14.2615625,14.2625390625,,,,,,,,
20140136,BID,14.75078125,14.83078125,14.26078125,14.2612695313,,,,,,,,
20140137,BID,14.750390625,14.830390625,14.260390625,14.2606347656,,,,,,,,
20140138,BID,14.7501953125,14.8301953125,14.2601953125,14.2603173828,,,,,,,,
20140139,BID,14.7500976563,14.8300976563,14.2600976563,14.2601586914,,,,,,,,
20140140,BID,14.7500488281,14.8300488281,14.2600488281,14.2600793457,,,,,,,,
20140141,BID,14.7500244141,14.8300244141,14.2600244141,14.2600396729,,,,,,,,
20140142,BID,14.750012207,14.830012207,14.260012207,14.2600198364,,,,,,,,
20140143,BID,14.7500061035,14.8300061035,14.2600061035,14.2600099182,,,,,,,,
20140144,BID,14.7500030518,14.8300030518,14.2600030518,14.2600049591,,,,,,,,
20140145,BID,14.7500015259,14.8300015259,14.2600015259,14.2600024796,,,,,,,,
20140146,BID,14.7500007629,14.8300007629,14.2600007629,14.2600012398,,,,,,,,
20140147,BID,14.7500003815,14.8300003815,14.2600003815,14.2600006199,,,,,,,,
20140148,BID,14.7500001907,14.8300001907,14.2600001907,14.2600003099,,,,,,,,
20140149,BID,14.7500000954,14.8300000954,14.2600000954,14.260000155,,,,,,,,
20140150,BID,14.7500000477,14.8300000477,14.2600000477,14.2600000775,,,,,,,,
20140151,BID,14.7500000238,14.8300000238,14.2600000238,14.2600000387,,,,,,,,
20140152,BID,14.7500000119,14.8300000119,14.2600000119,14.2600000194,,,,,,,,
20140153,BID,14.750000006,14.830000006,14.260000006,14.2600000097,,,,,,,,
20140154,BID,14.750000003,14.830000003,14.260000003,14.2600000048,,,,,,,,
20140155,BID,14.7500000015,14.8300000015,14.2600000015,14.2600000024,,,,,,,,
20140156,BID,14.7500000007,14.8300000007,14.2600000007,14.2600000012,,,,,,,,
20140157,BID,14.7500000004,14.8300000004,14.2600000004,14.2600000006,,,,,,,,
