<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170307,BTV,34.3,34.3,34.3,34.3,2100.0,34.3,34.3,34.3,34.3,0.0,0.0,0.0
20170308,BTV,39.4,39.4,38.0,38.0,7910.0,39.4,39.4,38.0,38.0,0.0,0.0,0.0
20170309,BTV,38.7,38.7,33.5,33.5,3800.0,38.7,38.7,33.5,33.5,0.0,0.0,0.0
20170310,BTV,29.2,29.2,29.2,29.2,3400.0,29.2,29.2,29.2,29.2,0.0,0.0,0.0
20170311,BTV,27.1,27.1,27.1,27.1,,,,,,,,
20170312,BTV,26.05,26.05,26.05,26.05,,,,,,,,
20170313,BTV,25.0,25.0,25.0,25.0,4900.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
20170314,BTV,26.0,26.0,26.0,26.0,100.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0
20170315,BTV,27.0,27.0,27.0,27.0,400.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0
20170316,BTV,23.6,23.7,23.6,23.6,600.0,23.6,23.7,23.6,23.6,0.0,0.0,0.0
20170317,BTV,24.0,24.0,24.0,24.0,500.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0
20170318,BTV,24.0,24.0,23.05,23.25,,,,,,,,
20170319,BTV,24.0,24.0,22.575,22.875,,,,,,,,
20170320,BTV,24.0,24.0,22.1,22.5,1600.0,24.0,24.0,22.1,22.5,0.0,0.0,0.0
20170321,BTV,24.8,26.5,24.0,26.5,7000.0,24.8,26.5,24.0,26.5,0.0,0.0,0.0
20170322,BTV,26.0,26.0,26.0,26.0,100.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0
20170323,BTV,26.0,26.0,26.0,26.0,,,,,,,,
20170324,BTV,26.0,26.0,26.0,26.0,300.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0
20170325,BTV,24.05,24.05,24.05,24.05,,,,,,,,
20170326,BTV,23.075,23.075,23.075,23.075,,,,,,,,
20170327,BTV,22.5875,22.5875,22.5875,22.5875,,,,,,,,
20170328,BTV,22.34375,22.34375,22.34375,22.34375,,,,,,,,
20170329,BTV,22.221875,22.221875,22.221875,22.221875,,,,,,,,
20170330,BTV,22.1,22.1,22.1,22.1,200.0,22.1,22.1,22.1,22.1,0.0,0.0,0.0
20170331,BTV,23.55,23.55,23.55,23.55,,,,,,,,
20170332,BTV,24.275,24.275,24.275,24.275,,,,,,,,
20170333,BTV,24.6375,24.6375,24.6375,24.6375,,,,,,,,
20170334,BTV,24.81875,24.81875,24.81875,24.81875,,,,,,,,
20170335,BTV,24.909375,24.909375,24.909375,24.909375,,,,,,,,
20170336,BTV,24.9546875,24.9546875,24.9546875,24.9546875,,,,,,,,
20170337,BTV,24.97734375,24.97734375,24.97734375,24.97734375,,,,,,,,
20170338,BTV,24.988671875,24.988671875,24.988671875,24.988671875,,,,,,,,
20170339,BTV,24.9943359375,24.9943359375,24.9943359375,24.9943359375,,,,,,,,
20170340,BTV,24.9971679687,24.9971679687,24.9971679687,24.9971679687,,,,,,,,
20170341,BTV,24.9985839844,24.9985839844,24.9985839844,24.9985839844,,,,,,,,
20170342,BTV,24.9992919922,24.9992919922,24.9992919922,24.9992919922,,,,,,,,
20170343,BTV,24.9996459961,24.9996459961,24.9996459961,24.9996459961,,,,,,,,
20170344,BTV,24.999822998,24.999822998,24.999822998,24.999822998,,,,,,,,
20170345,BTV,24.999911499,24.999911499,24.999911499,24.999911499,,,,,,,,
20170346,BTV,24.9999557495,24.9999557495,24.9999557495,24.9999557495,,,,,,,,
20170347,BTV,24.9999778748,24.9999778748,24.9999778748,24.9999778748,,,,,,,,
20170348,BTV,24.9999889374,24.9999889374,24.9999889374,24.9999889374,,,,,,,,
20170349,BTV,24.9999944687,24.9999944687,24.9999944687,24.9999944687,,,,,,,,
20170350,BTV,24.9999972343,24.9999972343,24.9999972343,24.9999972343,,,,,,,,
20170351,BTV,24.9999986172,24.9999986172,24.9999986172,24.9999986172,,,,,,,,
20170352,BTV,24.9999993086,24.9999993086,24.9999993086,24.9999993086,,,,,,,,
20170353,BTV,24.9999996543,24.9999996543,24.9999996543,24.9999996543,,,,,,,,
20170354,BTV,24.9999998271,24.9999998271,24.9999998271,24.9999998271,,,,,,,,
20170355,BTV,24.9999999136,24.9999999136,24.9999999136,24.9999999136,,,,,,,,
20170356,BTV,24.9999999568,24.9999999568,24.9999999568,24.9999999568,,,,,,,,
20170357,BTV,24.9999999784,24.9999999784,24.9999999784,24.9999999784,,,,,,,,
20170358,BTV,24.9999999892,24.9999999892,24.9999999892,24.9999999892,,,,,,,,
20170359,BTV,24.9999999946,24.9999999946,24.9999999946,24.9999999946,,,,,,,,
20170360,BTV,24.9999999973,24.9999999973,24.9999999973,24.9999999973,,,,,,,,
20170361,BTV,24.9999999986,24.9999999986,24.9999999986,24.9999999986,,,,,,,,
20170362,BTV,24.9999999993,24.9999999993,24.9999999993,24.9999999993,,,,,,,,
20170363,BTV,24.9999999997,24.9999999997,24.9999999997,24.9999999997,,,,,,,,
20170364,BTV,24.9999999998,24.9999999998,24.9999999998,24.9999999998,,,,,,,,
20170365,BTV,24.9999999999,24.9999999999,24.9999999999,24.9999999999,,,,,,,,
20170366,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170367,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170368,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170369,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170370,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170371,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170372,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170373,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170374,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170375,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170376,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170377,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170378,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170379,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170380,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170381,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170382,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170383,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170384,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170385,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170386,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170387,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170388,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170389,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170390,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170391,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170392,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170393,BTV,25.0,25.0,25.0,25.0,,,,,,,,
20170394,BTV,25.0,25.0,25.0,25.0,,,,,,,,
