<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170601,CEG,14.5,14.5,14.5,14.5,2000.0,14.5,14.5,14.5,14.5,0.0,0.0,0.0
20170602,CEG,14.5,14.5,14.5,14.5,3000.0,14.5,14.5,14.5,14.5,0.0,0.0,0.0
20170603,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170604,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170605,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170606,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170607,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170608,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170609,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170610,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170611,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170612,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170613,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170614,CEG,14.5,14.5,14.5,14.5,,,,,,,,
20170615,CEG,14.5,14.5,14.5,14.5,,,,,,,,
