<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110111,CLW,5.52,5.52,5.52,5.52,20120.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20110112,CLW,5.24,5.24,5.24,5.24,2460.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0
20110113,CLW,5.02,5.02,5.02,5.02,2420.0,9.1,9.1,9.1,9.1,0.0,0.0,0.0
20110114,CLW,4.8,4.8,4.8,4.8,1820.0,8.7,8.7,8.7,8.7,0.0,0.0,0.0
20110115,CLW,4.745,4.8,4.69,4.8,,,,,,,,
20110116,CLW,4.7175,4.8,4.635,4.8,,,,,,,,
20110117,CLW,4.69,4.8,4.58,4.8,9370.0,8.5,8.7,8.3,8.7,0.0,0.0,0.0
20110118,CLW,4.69,4.69,4.58,4.58,36000.0,8.5,8.5,8.3,8.3,0.0,100.0,0.0
20110119,CLW,4.41,4.58,4.41,4.58,16720.0,8.0,8.3,8.0,8.3,0.0,0.0,0.0
20110120,CLW,4.69,4.69,4.36,4.52,22590.0,8.5,8.5,7.9,8.2,0.0,100.0,0.0
20110121,CLW,4.58,4.58,4.41,4.52,6700.0,8.3,8.3,8.0,8.2,0.0,0.0,0.0
20110122,CLW,4.495,4.495,4.355,4.41,,,,,,,,
20110123,CLW,4.4525,4.4525,4.3275,4.355,,,,,,,,
20110124,CLW,4.41,4.41,4.3,4.3,6450.0,8.0,8.0,7.8,7.8,0.0,0.0,0.0
20110125,CLW,4.41,4.41,4.19,4.19,2180.0,8.0,8.0,7.6,7.6,0.0,0.0,0.0
20110126,CLW,4.3,4.36,4.3,4.36,6920.0,7.8,7.9,7.8,7.9,0.0,0.0,0.0
20110127,CLW,4.53,4.53,4.42,4.41,3590.0,8.2,8.2,8.0,8.0,0.0,0.0,0.0
20110128,CLW,4.41,4.58,4.41,4.58,770.0,8.0,8.3,8.0,8.3,0.0,0.0,0.0
20110129,CLW,4.385,4.58,4.385,4.58,,,,,,,,
20110130,CLW,4.3725,4.58,4.3725,4.58,,,,,,,,
20110131,CLW,4.36625,4.58,4.36625,4.58,,,,,,,,
20110132,CLW,4.363125,4.58,4.363125,4.58,,,,,,,,
20110133,CLW,4.3615625,4.58,4.3615625,4.58,,,,,,,,
20110134,CLW,4.36078125,4.58,4.36078125,4.58,,,,,,,,
20110135,CLW,4.360390625,4.58,4.360390625,4.58,,,,,,,,
20110136,CLW,4.3601953125,4.58,4.3601953125,4.58,,,,,,,,
20110137,CLW,4.36009765625,4.58,4.36009765625,4.58,,,,,,,,
20110138,CLW,4.36004882813,4.58,4.36004882813,4.58,,,,,,,,
20110139,CLW,4.36002441406,4.58,4.36002441406,4.58,,,,,,,,
20110140,CLW,4.36001220703,4.58,4.36001220703,4.58,,,,,,,,
20110141,CLW,4.36000610352,4.58,4.36000610352,4.58,,,,,,,,
20110142,CLW,4.36000305176,4.58,4.36000305176,4.58,,,,,,,,
20110143,CLW,4.36000152588,4.58,4.36000152588,4.58,,,,,,,,
20110144,CLW,4.36000076294,4.58,4.36000076294,4.58,,,,,,,,
20110145,CLW,4.36000038147,4.58,4.36000038147,4.58,,,,,,,,
20110146,CLW,4.36000019073,4.58,4.36000019073,4.58,,,,,,,,
20110147,CLW,4.36000009537,4.58,4.36000009537,4.58,,,,,,,,
20110148,CLW,4.36000004768,4.58,4.36000004768,4.58,,,,,,,,
20110149,CLW,4.36000002384,4.58,4.36000002384,4.58,,,,,,,,
20110150,CLW,4.36000001192,4.58,4.36000001192,4.58,,,,,,,,
20110151,CLW,4.36000000596,4.58,4.36000000596,4.58,,,,,,,,
20110152,CLW,4.36000000298,4.58,4.36000000298,4.58,,,,,,,,
20110153,CLW,4.36000000149,4.58,4.36000000149,4.58,,,,,,,,
20110154,CLW,4.36000000075,4.58,4.36000000075,4.58,,,,,,,,
20110155,CLW,4.36000000037,4.58,4.36000000037,4.58,,,,,,,,
20110156,CLW,4.36000000019,4.58,4.36000000019,4.58,,,,,,,,
20110157,CLW,4.36000000009,4.58,4.36000000009,4.58,,,,,,,,
20110158,CLW,4.36000000005,4.58,4.36000000005,4.58,,,,,,,,
20110159,CLW,4.36000000002,4.58,4.36000000002,4.58,,,,,,,,
20110160,CLW,4.36000000001,4.58,4.36000000001,4.58,,,,,,,,
20110161,CLW,4.36000000001,4.58,4.36000000001,4.58,,,,,,,,
20110162,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110163,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110164,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110165,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110166,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110167,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110168,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110169,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110170,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110171,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110172,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110173,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110174,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110175,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110176,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110177,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110178,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110179,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110180,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110181,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110182,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110183,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110184,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110185,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110186,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110187,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110188,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110189,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110190,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110191,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110192,CLW,4.36,4.58,4.36,4.58,,,,,,,,
20110193,CLW,4.36,4.58,4.36,4.58,,,,,,,,
