<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20150424,CNH,14.0,14.0,14.0,14.0,500.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0
20150425,CNH,14.7,14.7,14.7,14.7,,,,,,,,
20150426,CNH,15.05,15.05,15.05,15.05,,,,,,,,
20150427,CNH,15.4,15.4,15.4,15.4,100.0,15.4,15.4,15.4,15.4,0.0,0.0,0.0
20150428,CNH,15.7,15.7,15.7,15.7,,,,,,,,
20150429,CNH,15.85,15.85,15.85,15.85,,,,,,,,
20150430,CNH,15.925,15.925,15.925,15.925,,,,,,,,
20150431,CNH,15.9625,15.9625,15.9625,15.9625,,,,,,,,
20150432,CNH,15.98125,15.98125,15.98125,15.98125,,,,,,,,
20150433,CNH,15.990625,15.990625,15.990625,15.990625,,,,,,,,
20150434,CNH,15.9953125,15.9953125,15.9953125,15.9953125,,,,,,,,
20150435,CNH,15.99765625,15.99765625,15.99765625,15.99765625,,,,,,,,
20150436,CNH,15.998828125,15.998828125,15.998828125,15.998828125,,,,,,,,
20150437,CNH,15.9994140625,15.9994140625,15.9994140625,15.9994140625,,,,,,,,
20150438,CNH,15.9997070313,15.9997070313,15.9997070313,15.9997070313,,,,,,,,
20150439,CNH,15.9998535156,15.9998535156,15.9998535156,15.9998535156,,,,,,,,
20150440,CNH,15.9999267578,15.9999267578,15.9999267578,15.9999267578,,,,,,,,
20150441,CNH,15.9999633789,15.9999633789,15.9999633789,15.9999633789,,,,,,,,
20150442,CNH,15.9999816895,15.9999816895,15.9999816895,15.9999816895,,,,,,,,
20150443,CNH,15.9999908447,15.9999908447,15.9999908447,15.9999908447,,,,,,,,
20150444,CNH,15.9999954224,15.9999954224,15.9999954224,15.9999954224,,,,,,,,
20150445,CNH,15.9999977112,15.9999977112,15.9999977112,15.9999977112,,,,,,,,
20150446,CNH,15.9999988556,15.9999988556,15.9999988556,15.9999988556,,,,,,,,
20150447,CNH,15.9999994278,15.9999994278,15.9999994278,15.9999994278,,,,,,,,
20150448,CNH,15.9999997139,15.9999997139,15.9999997139,15.9999997139,,,,,,,,
20150449,CNH,15.9999998569,15.9999998569,15.9999998569,15.9999998569,,,,,,,,
20150450,CNH,15.9999999285,15.9999999285,15.9999999285,15.9999999285,,,,,,,,
20150451,CNH,15.9999999642,15.9999999642,15.9999999642,15.9999999642,,,,,,,,
20150452,CNH,15.9999999821,15.9999999821,15.9999999821,15.9999999821,,,,,,,,
20150453,CNH,15.9999999911,15.9999999911,15.9999999911,15.9999999911,,,,,,,,
20150454,CNH,15.9999999955,15.9999999955,15.9999999955,15.9999999955,,,,,,,,
20150455,CNH,15.9999999978,15.9999999978,15.9999999978,15.9999999978,,,,,,,,
20150456,CNH,15.9999999989,15.9999999989,15.9999999989,15.9999999989,,,,,,,,
20150457,CNH,15.9999999994,15.9999999994,15.9999999994,15.9999999994,,,,,,,,
20150458,CNH,15.9999999997,15.9999999997,15.9999999997,15.9999999997,,,,,,,,
20150459,CNH,15.9999999999,15.9999999999,15.9999999999,15.9999999999,,,,,,,,
20150460,CNH,15.9999999999,15.9999999999,15.9999999999,15.9999999999,,,,,,,,
20150461,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150462,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150463,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150464,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150465,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150466,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150467,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150468,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150469,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150470,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150471,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150472,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150473,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150474,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150475,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150476,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150477,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150478,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150479,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150480,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150481,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150482,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150483,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150484,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150485,CNH,16.0,16.0,16.0,16.0,,,,,,,,
20150486,CNH,16.0,16.0,16.0,16.0,,,,,,,,
