<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170531,CTF,15.4,15.4,15.4,15.4,1100.0,15.4,15.4,15.4,15.4,0.0,0.0,0.0
20170532,CTF,15.4,15.925,15.4,15.925,,,,,,,,
20170533,CTF,15.4,16.1875,15.4,16.1875,,,,,,,,
20170534,CTF,15.4,16.31875,15.4,16.31875,,,,,,,,
20170535,CTF,15.4,16.384375,15.4,16.384375,,,,,,,,
20170536,CTF,15.4,16.4171875,15.4,16.4171875,,,,,,,,
20170537,CTF,15.4,16.43359375,15.4,16.43359375,,,,,,,,
20170538,CTF,15.4,16.441796875,15.4,16.441796875,,,,,,,,
20170539,CTF,15.4,16.4458984375,15.4,16.4458984375,,,,,,,,
20170540,CTF,15.4,16.4479492187,15.4,16.4479492187,,,,,,,,
20170541,CTF,15.4,16.4489746094,15.4,16.4489746094,,,,,,,,
20170542,CTF,15.4,16.4494873047,15.4,16.4494873047,,,,,,,,
20170543,CTF,15.4,16.4497436523,15.4,16.4497436523,,,,,,,,
20170544,CTF,15.4,16.4498718262,15.4,16.4498718262,,,,,,,,
20170545,CTF,15.4,16.4499359131,15.4,16.4499359131,,,,,,,,
20170546,CTF,15.4,16.4499679565,15.4,16.4499679565,,,,,,,,
20170547,CTF,15.4,16.4499839783,15.4,16.4499839783,,,,,,,,
20170548,CTF,15.4,16.4499919891,15.4,16.4499919891,,,,,,,,
20170549,CTF,15.4,16.4499959946,15.4,16.4499959946,,,,,,,,
20170550,CTF,15.4,16.4499979973,15.4,16.4499979973,,,,,,,,
20170551,CTF,15.4,16.4499989986,15.4,16.4499989986,,,,,,,,
20170552,CTF,15.4,16.4499994993,15.4,16.4499994993,,,,,,,,
20170553,CTF,15.4,16.4499997497,15.4,16.4499997497,,,,,,,,
20170554,CTF,15.4,16.4499998748,15.4,16.4499998748,,,,,,,,
20170555,CTF,15.4,16.4499999374,15.4,16.4499999374,,,,,,,,
20170556,CTF,15.4,16.4499999687,15.4,16.4499999687,,,,,,,,
20170557,CTF,15.4,16.4499999844,15.4,16.4499999844,,,,,,,,
20170558,CTF,15.4,16.4499999922,15.4,16.4499999922,,,,,,,,
20170559,CTF,15.4,16.4499999961,15.4,16.4499999961,,,,,,,,
20170560,CTF,15.4,16.449999998,15.4,16.449999998,,,,,,,,
20170561,CTF,15.4,16.449999999,15.4,16.449999999,,,,,,,,
20170562,CTF,15.4,16.4499999995,15.4,16.4499999995,,,,,,,,
20170563,CTF,15.4,16.4499999998,15.4,16.4499999998,,,,,,,,
20170564,CTF,15.4,16.4499999999,15.4,16.4499999999,,,,,,,,
20170565,CTF,15.4,16.4499999999,15.4,16.4499999999,,,,,,,,
20170566,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170567,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170568,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170569,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170570,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170571,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170572,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170573,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170574,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170575,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170576,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170577,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170578,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170579,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170580,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170581,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170582,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170583,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170584,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170585,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170586,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170587,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170588,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170589,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170590,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170591,CTF,15.4,16.45,15.4,16.45,,,,,,,,
20170592,CTF,15.4,16.45,15.4,16.45,,,,,,,,
