<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090807,CTM,10.31,10.31,9.28,10.31,86100.0,15.0,15.0,13.5,15.0,0.0,0.0,0.0
20090808,CTM,10.48,10.48,9.725,10.45,,,,,,,,
20090809,CTM,10.565,10.565,9.9475,10.52,,,,,,,,
20090810,CTM,10.65,10.65,10.17,10.59,57700.0,15.5,15.5,14.8,15.4,0.0,0.0,0.0
20090811,CTM,10.8,10.8,9.83,10.38,35900.0,15.7,15.7,14.3,15.1,0.0,0.0,0.0
20090812,CTM,10.31,10.38,9.62,9.76,23600.0,15.0,15.1,14.0,14.2,0.0,2000.0,0.0
20090813,CTM,9.62,9.62,9.49,9.63,27200.0,14.0,14.0,13.8,14.0,0.0,0.0,0.0
20090814,CTM,9.63,9.63,9.22,9.21,8800.0,14.0,14.0,13.4,13.4,0.0,0.0,0.0
20090815,CTM,9.215,9.455,9.01,9.005,,,,,,,,
20090816,CTM,9.0075,9.3675,8.905,8.9025,,,,,,,,
20090817,CTM,8.8,9.28,8.8,8.8,24300.0,12.8,13.5,12.8,12.8,0.0,0.0,0.0
20090818,CTM,8.94,8.94,8.39,8.53,12400.0,13.0,13.0,12.2,12.4,0.0,0.0,0.0
20090819,CTM,8.39,8.81,8.32,8.53,7100.0,12.2,12.8,12.1,12.4,0.0,0.0,0.0
20090820,CTM,8.39,8.39,8.25,8.32,3200.0,12.2,12.2,12.0,12.1,0.0,0.0,0.0
20090821,CTM,8.25,8.66,8.25,8.46,9000.0,12.0,12.6,12.0,12.3,0.0,0.0,0.0
20090822,CTM,8.355,8.595,8.25,8.495,,,,,,,,
20090823,CTM,8.4075,8.5625,8.25,8.5125,,,,,,,,
20090824,CTM,8.46,8.53,8.25,8.53,3600.0,12.3,12.4,12.0,12.4,0.0,0.0,0.0
20090825,CTM,8.39,8.46,8.19,8.25,12000.0,12.2,12.3,11.9,12.0,0.0,0.0,0.0
20090826,CTM,8.25,8.32,8.11,8.25,18200.0,12.0,12.1,11.8,12.0,0.0,0.0,0.0
20090827,CTM,8.39,8.8,8.25,8.8,25700.0,12.2,12.8,12.0,12.8,0.0,0.0,0.0
20090828,CTM,9.14,9.14,8.94,9.15,69700.0,13.3,13.3,13.0,13.3,0.0,0.0,0.0
20090829,CTM,9.455,9.455,9.355,9.455,,,,,,,,
20090830,CTM,9.6125,9.6125,9.5625,9.6075,,,,,,,,
20090831,CTM,9.77,9.77,9.77,9.76,48400.0,14.2,14.2,14.2,14.2,0.0,0.0,0.0
20090832,CTM,10.075,10.075,10.04,10.07,,,,,,,,
20090833,CTM,10.2275,10.2275,10.175,10.225,,,,,,,,
20090834,CTM,10.30375,10.30375,10.2425,10.3025,,,,,,,,
20090835,CTM,10.341875,10.341875,10.27625,10.34125,,,,,,,,
20090836,CTM,10.3609375,10.3609375,10.293125,10.360625,,,,,,,,
20090837,CTM,10.37046875,10.37046875,10.3015625,10.3703125,,,,,,,,
20090838,CTM,10.375234375,10.375234375,10.30578125,10.37515625,,,,,,,,
20090839,CTM,10.3776171875,10.3776171875,10.307890625,10.377578125,,,,,,,,
20090840,CTM,10.3788085938,10.3788085938,10.3089453125,10.3787890625,,,,,,,,
20090841,CTM,10.3794042969,10.3794042969,10.3094726563,10.3793945312,,,,,,,,
20090842,CTM,10.3797021484,10.3797021484,10.3097363281,10.3796972656,,,,,,,,
20090843,CTM,10.3798510742,10.3798510742,10.3098681641,10.3798486328,,,,,,,,
20090844,CTM,10.3799255371,10.3799255371,10.309934082,10.3799243164,,,,,,,,
20090845,CTM,10.3799627686,10.3799627686,10.309967041,10.3799621582,,,,,,,,
20090846,CTM,10.3799813843,10.3799813843,10.3099835205,10.3799810791,,,,,,,,
20090847,CTM,10.3799906921,10.3799906921,10.3099917603,10.3799905396,,,,,,,,
