<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091105,CVT,3.36,3.36,2.88,3.0,114300.0,28.0,28.0,24.0,25.0,0.0,0.0,0.0
20091106,CVT,2.88,2.88,2.77,2.78,16000.0,24.0,24.0,23.1,23.1,0.0,0.0,0.0
20091107,CVT,2.745,2.745,2.69,2.695,,,,,,,,
20091108,CVT,2.6775,2.6775,2.65,2.6525,,,,,,,,
20091109,CVT,2.61,2.61,2.61,2.61,700.0,21.7,21.7,21.7,21.7,0.0,0.0,0.0
20091110,CVT,2.43,2.43,2.43,2.43,5800.0,20.2,20.2,20.2,20.2,0.0,0.0,0.0
20091111,CVT,2.26,2.26,2.26,2.26,12200.0,18.8,18.8,18.8,18.8,0.0,0.0,0.0
20091112,CVT,2.1,2.4,2.1,2.26,121700.0,17.5,20.0,17.5,18.8,0.0,0.0,0.0
20091113,CVT,2.26,2.33,2.24,2.33,31500.0,18.8,19.4,18.6,19.4,0.0,0.0,0.0
20091114,CVT,2.36,2.395,2.335,2.395,,,,,,,,
20091115,CVT,2.41,2.4275,2.3825,2.4275,,,,,,,,
20091116,CVT,2.46,2.46,2.43,2.46,38000.0,20.5,20.5,20.2,20.5,0.0,0.0,0.0
20091117,CVT,2.63,2.63,2.38,2.49,50300.0,21.9,21.9,19.8,20.7,0.0,0.0,0.0
20091118,CVT,2.48,2.48,2.37,2.46,62500.0,20.6,20.6,19.7,20.5,0.0,0.0,0.0
20091119,CVT,2.28,2.4,2.24,2.36,40000.0,19.0,20.0,18.7,19.6,0.0,0.0,0.0
20091120,CVT,2.31,2.35,2.26,2.31,30900.0,19.2,19.5,18.8,19.2,0.0,200.0,0.0
20091121,CVT,2.35,2.37,2.22,2.275,,,,,,,,
20091122,CVT,2.37,2.38,2.2,2.2575,,,,,,,,
20091123,CVT,2.39,2.39,2.18,2.24,12100.0,19.9,19.9,18.1,18.6,0.0,0.0,0.0
20091124,CVT,2.29,2.4,2.26,2.26,13000.0,19.0,19.9,18.8,18.8,0.0,0.0,0.0
20091125,CVT,2.22,2.22,2.14,2.14,13600.0,18.5,18.5,17.8,17.8,0.0,0.0,0.0
20091126,CVT,2.1,2.1,2.02,2.02,15000.0,17.5,17.5,16.8,16.8,0.0,0.0,0.0
20091127,CVT,1.89,2.02,1.89,1.89,49600.0,15.7,16.8,15.7,15.7,0.0,0.0,0.0
20091128,CVT,1.97,2.04,1.97,1.97,,,,,,,,
