<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170522,DAR,10.0,10.0,10.0,10.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20170523,DAR,9.25,9.25,9.25,9.25,,,,,,,,
20170524,DAR,8.875,8.875,8.875,8.875,,,,,,,,
20170525,DAR,8.6875,8.6875,8.6875,8.6875,,,,,,,,
20170526,DAR,8.59375,8.59375,8.59375,8.59375,,,,,,,,
20170527,DAR,8.546875,8.546875,8.546875,8.546875,,,,,,,,
20170528,DAR,8.5234375,8.5234375,8.5234375,8.5234375,,,,,,,,
20170529,DAR,8.51171875,8.51171875,8.51171875,8.51171875,,,,,,,,
20170530,DAR,8.505859375,8.505859375,8.505859375,8.505859375,,,,,,,,
20170531,DAR,8.5029296875,8.5029296875,8.5029296875,8.5029296875,,,,,,,,
20170532,DAR,8.50146484375,8.50146484375,8.50146484375,8.50146484375,,,,,,,,
20170533,DAR,8.50073242188,8.50073242188,8.50073242188,8.50073242188,,,,,,,,
20170534,DAR,8.50036621094,8.50036621094,8.50036621094,8.50036621094,,,,,,,,
20170535,DAR,8.50018310547,8.50018310547,8.50018310547,8.50018310547,,,,,,,,
20170536,DAR,8.50009155273,8.50009155273,8.50009155273,8.50009155273,,,,,,,,
20170537,DAR,8.50004577637,8.50004577637,8.50004577637,8.50004577637,,,,,,,,
20170538,DAR,8.50002288818,8.50002288818,8.50002288818,8.50002288818,,,,,,,,
20170539,DAR,8.50001144409,8.50001144409,8.50001144409,8.50001144409,,,,,,,,
20170540,DAR,8.50000572205,8.50000572205,8.50000572205,8.50000572205,,,,,,,,
20170541,DAR,8.50000286102,8.50000286102,8.50000286102,8.50000286102,,,,,,,,
20170542,DAR,8.50000143051,8.50000143051,8.50000143051,8.50000143051,,,,,,,,
20170543,DAR,8.50000071526,8.50000071526,8.50000071526,8.50000071526,,,,,,,,
20170544,DAR,8.50000035763,8.50000035763,8.50000035763,8.50000035763,,,,,,,,
20170545,DAR,8.50000017881,8.50000017881,8.50000017881,8.50000017881,,,,,,,,
20170546,DAR,8.50000008941,8.50000008941,8.50000008941,8.50000008941,,,,,,,,
20170547,DAR,8.5000000447,8.5000000447,8.5000000447,8.5000000447,,,,,,,,
20170548,DAR,8.50000002235,8.50000002235,8.50000002235,8.50000002235,,,,,,,,
20170549,DAR,8.50000001118,8.50000001118,8.50000001118,8.50000001118,,,,,,,,
20170550,DAR,8.50000000559,8.50000000559,8.50000000559,8.50000000559,,,,,,,,
20170551,DAR,8.50000000279,8.50000000279,8.50000000279,8.50000000279,,,,,,,,
20170552,DAR,8.5000000014,8.5000000014,8.5000000014,8.5000000014,,,,,,,,
20170553,DAR,8.5000000007,8.5000000007,8.5000000007,8.5000000007,,,,,,,,
20170554,DAR,8.50000000035,8.50000000035,8.50000000035,8.50000000035,,,,,,,,
20170555,DAR,8.50000000017,8.50000000017,8.50000000017,8.50000000017,,,,,,,,
