<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20130709,DNL,7.43,7.43,7.43,7.43,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20130710,DNL,7.355,7.355,7.355,7.355,,,,,,,,
20130711,DNL,7.3175,7.3175,7.3175,7.3175,,,,,,,,
20130712,DNL,7.29875,7.29875,7.29875,7.29875,,,,,,,,
20130713,DNL,7.289375,7.289375,7.289375,7.289375,,,,,,,,
20130714,DNL,7.2846875,7.2846875,7.2846875,7.2846875,,,,,,,,
20130715,DNL,7.28234375,7.28234375,7.28234375,7.28234375,,,,,,,,
20130716,DNL,7.281171875,7.281171875,7.281171875,7.281171875,,,,,,,,
20130717,DNL,7.2805859375,7.2805859375,7.2805859375,7.2805859375,,,,,,,,
20130718,DNL,7.28029296875,7.28029296875,7.28029296875,7.28029296875,,,,,,,,
20130719,DNL,7.28014648438,7.28014648438,7.28014648438,7.28014648438,,,,,,,,
20130720,DNL,7.28007324219,7.28007324219,7.28007324219,7.28007324219,,,,,,,,
20130721,DNL,7.28003662109,7.28003662109,7.28003662109,7.28003662109,,,,,,,,
20130722,DNL,7.28001831055,7.28001831055,7.28001831055,7.28001831055,,,,,,,,
20130723,DNL,7.28000915527,7.28000915527,7.28000915527,7.28000915527,,,,,,,,
20130724,DNL,7.28000457764,7.28000457764,7.28000457764,7.28000457764,,,,,,,,
20130725,DNL,7.28000228882,7.28000228882,7.28000228882,7.28000228882,,,,,,,,
20130726,DNL,7.28000114441,7.28000114441,7.28000114441,7.28000114441,,,,,,,,
20130727,DNL,7.2800005722,7.2800005722,7.2800005722,7.2800005722,,,,,,,,
20130728,DNL,7.2800002861,7.2800002861,7.2800002861,7.2800002861,,,,,,,,
20130729,DNL,7.28000014305,7.28000014305,7.28000014305,7.28000014305,,,,,,,,
20130730,DNL,7.28000007153,7.28000007153,7.28000007153,7.28000007153,,,,,,,,
20130731,DNL,7.28000003576,7.28000003576,7.28000003576,7.28000003576,,,,,,,,
20130732,DNL,7.28000001788,7.28000001788,7.28000001788,7.28000001788,,,,,,,,
20130733,DNL,7.28000000894,7.28000000894,7.28000000894,7.28000000894,,,,,,,,
20130734,DNL,7.28000000447,7.28000000447,7.28000000447,7.28000000447,,,,,,,,
20130735,DNL,7.28000000224,7.28000000224,7.28000000224,7.28000000224,,,,,,,,
20130736,DNL,7.28000000112,7.28000000112,7.28000000112,7.28000000112,,,,,,,,
20130737,DNL,7.28000000056,7.28000000056,7.28000000056,7.28000000056,,,,,,,,
20130738,DNL,7.28000000028,7.28000000028,7.28000000028,7.28000000028,,,,,,,,
20130739,DNL,7.28000000014,7.28000000014,7.28000000014,7.28000000014,,,,,,,,
20130740,DNL,7.28000000007,7.28000000007,7.28000000007,7.28000000007,,,,,,,,
20130741,DNL,7.28000000003,7.28000000003,7.28000000003,7.28000000003,,,,,,,,
20130742,DNL,7.28000000002,7.28000000002,7.28000000002,7.28000000002,,,,,,,,
20130743,DNL,7.28000000001,7.28000000001,7.28000000001,7.28000000001,,,,,,,,
20130744,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130745,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130746,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130747,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130748,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130749,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130750,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130751,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130752,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130753,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130754,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130755,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130756,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130757,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130758,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130759,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130760,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130761,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130762,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130763,DNL,7.28,7.28,7.28,7.28,,,,,,,,
20130764,DNL,7.28,7.28,7.28,7.28,,,,,,,,
