<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091222,DVD,66.16,74.92,66.16,72.0,120650.0,68.0,77.0,68.0,74.0,0.0,0.0,0.0
20091223,DVD,72.0,72.0,68.59,69.08,126090.0,74.0,74.0,70.5,71.0,0.0,0.0,0.0
20091224,DVD,66.65,72.49,65.67,72.48,530570.0,68.5,74.5,67.5,74.5,137490.0,0.0,50000.0
20091225,DVD,75.4,75.4,74.43,74.92,206240.0,77.5,77.5,76.5,77.0,0.0,2710.0,20000.0
20091226,DVD,73.7,76.865,72.97,76.62,,,,,,,,
20091227,DVD,72.85,77.5975,72.24,77.47,,,,,,,,
20091228,DVD,72.0,78.33,71.51,78.32,526900.0,74.0,80.5,73.5,80.5,240000.0,2400.0,90000.0
20091229,DVD,79.78,79.78,77.83,78.81,142870.0,82.0,82.0,80.0,81.0,0.0,0.0,8000.0
20091230,DVD,80.27,80.27,79.3,79.3,129990.0,82.5,82.5,81.5,81.5,0.0,0.0,0.0
20091231,DVD,79.79,80.27,78.81,78.81,226540.0,82.0,82.5,81.0,81.0,0.0,0.0,20000.0
20091232,DVD,80.275,80.755,78.81,79.295,,,,,,,,
20091233,DVD,80.5175,80.9975,78.81,79.5375,,,,,,,,
20091234,DVD,80.63875,81.11875,78.81,79.65875,,,,,,,,
20091235,DVD,80.699375,81.179375,78.81,79.719375,,,,,,,,
20091236,DVD,80.7296875,81.2096875,78.81,79.7496875,,,,,,,,
20091237,DVD,80.74484375,81.22484375,78.81,79.76484375,,,,,,,,
20091238,DVD,80.752421875,81.232421875,78.81,79.772421875,,,,,,,,
20091239,DVD,80.7562109375,81.2362109375,78.81,79.7762109375,,,,,,,,
20091240,DVD,80.7581054688,81.2381054688,78.81,79.7781054687,,,,,,,,
20091241,DVD,80.7590527344,81.2390527344,78.81,79.7790527344,,,,,,,,
20091242,DVD,80.7595263672,81.2395263672,78.81,79.7795263672,,,,,,,,
20091243,DVD,80.7597631836,81.2397631836,78.81,79.7797631836,,,,,,,,
20091244,DVD,80.7598815918,81.2398815918,78.81,79.7798815918,,,,,,,,
20091245,DVD,80.7599407959,81.2399407959,78.81,79.7799407959,,,,,,,,
20091246,DVD,80.7599703979,81.2399703979,78.81,79.7799703979,,,,,,,,
20091247,DVD,80.759985199,81.239985199,78.81,79.779985199,,,,,,,,
20091248,DVD,80.7599925995,81.2399925995,78.81,79.7799925995,,,,,,,,
20091249,DVD,80.7599962997,81.2399962997,78.81,79.7799962997,,,,,,,,
20091250,DVD,80.7599981499,81.2399981499,78.81,79.7799981499,,,,,,,,
20091251,DVD,80.7599990749,81.2399990749,78.81,79.7799990749,,,,,,,,
20091252,DVD,80.7599995375,81.2399995375,78.81,79.7799995375,,,,,,,,
20091253,DVD,80.7599997687,81.2399997687,78.81,79.7799997687,,,,,,,,
20091254,DVD,80.7599998844,81.2399998844,78.81,79.7799998844,,,,,,,,
