<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100702,DXL,7.95,7.95,7.95,7.95,1100.0,11.4,11.4,11.4,11.4,0.0,0.0,0.0
20100703,DXL,7.81,7.81,7.81,7.81,,,,,,,,
20100704,DXL,7.74,7.74,7.74,7.74,,,,,,,,
20100705,DXL,7.705,7.705,7.705,7.705,,,,,,,,
20100706,DXL,7.6875,7.6875,7.6875,7.6875,,,,,,,,
20100707,DXL,7.67875,7.67875,7.67875,7.67875,,,,,,,,
20100708,DXL,7.674375,7.674375,7.674375,7.674375,,,,,,,,
20100709,DXL,7.6721875,7.6721875,7.6721875,7.6721875,,,,,,,,
20100710,DXL,7.67109375,7.67109375,7.67109375,7.67109375,,,,,,,,
20100711,DXL,7.670546875,7.670546875,7.670546875,7.670546875,,,,,,,,
20100712,DXL,7.6702734375,7.6702734375,7.6702734375,7.6702734375,,,,,,,,
20100713,DXL,7.67013671875,7.67013671875,7.67013671875,7.67013671875,,,,,,,,
20100714,DXL,7.67006835937,7.67006835937,7.67006835937,7.67006835937,,,,,,,,
20100715,DXL,7.67003417969,7.67003417969,7.67003417969,7.67003417969,,,,,,,,
20100716,DXL,7.67001708984,7.67001708984,7.67001708984,7.67001708984,,,,,,,,
20100717,DXL,7.67000854492,7.67000854492,7.67000854492,7.67000854492,,,,,,,,
20100718,DXL,7.67000427246,7.67000427246,7.67000427246,7.67000427246,,,,,,,,
20100719,DXL,7.67000213623,7.67000213623,7.67000213623,7.67000213623,,,,,,,,
20100720,DXL,7.67000106812,7.67000106812,7.67000106812,7.67000106812,,,,,,,,
20100721,DXL,7.67000053406,7.67000053406,7.67000053406,7.67000053406,,,,,,,,
20100722,DXL,7.67000026703,7.67000026703,7.67000026703,7.67000026703,,,,,,,,
20100723,DXL,7.67000013351,7.67000013351,7.67000013351,7.67000013351,,,,,,,,
20100724,DXL,7.67000006676,7.67000006676,7.67000006676,7.67000006676,,,,,,,,
20100725,DXL,7.67000003338,7.67000003338,7.67000003338,7.67000003338,,,,,,,,
20100726,DXL,7.67000001669,7.67000001669,7.67000001669,7.67000001669,,,,,,,,
20100727,DXL,7.67000000834,7.67000000834,7.67000000834,7.67000000834,,,,,,,,
20100728,DXL,7.67000000417,7.67000000417,7.67000000417,7.67000000417,,,,,,,,
20100729,DXL,7.67000000209,7.67000000209,7.67000000209,7.67000000209,,,,,,,,
20100730,DXL,7.67000000104,7.67000000104,7.67000000104,7.67000000104,,,,,,,,
20100731,DXL,7.67000000052,7.67000000052,7.67000000052,7.67000000052,,,,,,,,
20100732,DXL,7.67000000026,7.67000000026,7.67000000026,7.67000000026,,,,,,,,
20100733,DXL,7.67000000013,7.67000000013,7.67000000013,7.67000000013,,,,,,,,
20100734,DXL,7.67000000007,7.67000000007,7.67000000007,7.67000000007,,,,,,,,
20100735,DXL,7.67000000003,7.67000000003,7.67000000003,7.67000000003,,,,,,,,
20100736,DXL,7.67000000002,7.67000000002,7.67000000002,7.67000000002,,,,,,,,
20100737,DXL,7.67000000001,7.67000000001,7.67000000001,7.67000000001,,,,,,,,
20100738,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100739,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100740,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100741,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100742,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100743,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100744,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100745,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100746,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100747,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100748,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100749,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100750,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100751,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100752,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100753,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100754,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100755,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100756,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100757,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100758,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100759,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100760,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100761,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100762,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100763,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100764,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100765,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100766,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100767,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100768,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100769,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100770,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100771,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100772,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100773,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100774,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100775,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100776,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100777,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100778,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100779,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100780,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100781,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100782,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100783,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100784,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100785,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100786,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100787,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100788,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100789,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100790,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100791,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100792,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100793,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100794,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100795,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100796,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100797,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100798,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100799,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100800,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100801,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100802,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100803,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100804,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100805,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100806,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100807,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100808,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100809,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100810,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100811,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100812,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100813,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100814,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100815,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100816,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100817,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100818,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100819,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100820,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100821,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100822,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100823,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100824,DXL,7.67,7.67,7.67,7.67,1200.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0
20100825,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100826,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100827,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100828,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100829,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100830,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100831,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100832,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100833,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100834,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100835,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100836,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100837,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100838,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100839,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100840,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100841,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100842,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100843,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100844,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100845,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100846,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100847,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100848,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100849,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100850,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100851,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100852,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100853,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100854,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100855,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100856,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100857,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100858,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100859,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100860,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100861,DXL,7.67,7.67,7.67,7.67,,,,,,,,
20100862,DXL,7.67,7.67,7.67,7.67,,,,,,,,
