<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090930,EFI,7.09,9.46,6.62,7.66,244300.0,15.0,20.0,14.0,16.2,0.0,0.0,0.0
20090931,EFI,7.375,8.56,7.14,7.66,,,,,,,,
20090932,EFI,7.5175,8.11,7.4,7.66,,,,,,,,
20090933,EFI,7.58875,7.885,7.53,7.66,,,,,,,,
20090934,EFI,7.624375,7.7725,7.595,7.66,,,,,,,,
20090935,EFI,7.6421875,7.71625,7.6275,7.66,,,,,,,,
20090936,EFI,7.65109375,7.688125,7.64375,7.66,,,,,,,,
20090937,EFI,7.655546875,7.6740625,7.651875,7.66,,,,,,,,
20090938,EFI,7.6577734375,7.66703125,7.6559375,7.66,,,,,,,,
20090939,EFI,7.65888671875,7.663515625,7.65796875,7.66,,,,,,,,
20090940,EFI,7.65944335938,7.6617578125,7.658984375,7.66,,,,,,,,
20090941,EFI,7.65972167969,7.66087890625,7.6594921875,7.66,,,,,,,,
20090942,EFI,7.65986083984,7.66043945312,7.65974609375,7.66,,,,,,,,
20090943,EFI,7.65993041992,7.66021972656,7.65987304688,7.66,,,,,,,,
20090944,EFI,7.65996520996,7.66010986328,7.65993652344,7.66,,,,,,,,
20090945,EFI,7.65998260498,7.66005493164,7.65996826172,7.66,,,,,,,,
20090946,EFI,7.65999130249,7.66002746582,7.65998413086,7.66,,,,,,,,
20090947,EFI,7.65999565125,7.66001373291,7.65999206543,7.66,,,,,,,,
20090948,EFI,7.65999782562,7.66000686646,7.65999603271,7.66,,,,,,,,
20090949,EFI,7.65999891281,7.66000343323,7.65999801636,7.66,,,,,,,,
20090950,EFI,7.65999945641,7.66000171661,7.65999900818,7.66,,,,,,,,
20090951,EFI,7.6599997282,7.66000085831,7.65999950409,7.66,,,,,,,,
20090952,EFI,7.6599998641,7.66000042915,7.65999975204,7.66,,,,,,,,
20090953,EFI,7.65999993205,7.66000021458,7.65999987602,7.66,,,,,,,,
20090954,EFI,7.65999996603,7.66000010729,7.65999993801,7.66,,,,,,,,
20090955,EFI,7.65999998301,7.66000005364,7.65999996901,7.66,,,,,,,,
20090956,EFI,7.65999999151,7.66000002682,7.6599999845,7.66,,,,,,,,
20090957,EFI,7.65999999575,7.66000001341,7.65999999225,7.66,,,,,,,,
20090958,EFI,7.65999999788,7.66000000671,7.65999999613,7.66,,,,,,,,
20090959,EFI,7.65999999894,7.66000000335,7.65999999806,7.66,,,,,,,,
20090960,EFI,7.65999999947,7.66000000168,7.65999999903,7.66,,,,,,,,
20090961,EFI,7.65999999973,7.66000000084,7.65999999952,7.66,,,,,,,,
20090962,EFI,7.65999999987,7.66000000042,7.65999999976,7.66,,,,,,,,
20090963,EFI,7.65999999993,7.66000000021,7.65999999988,7.66,,,,,,,,
20090964,EFI,7.65999999997,7.6600000001,7.65999999994,7.66,,,,,,,,
20090965,EFI,7.65999999998,7.66000000005,7.65999999997,7.66,,,,,,,,
20090966,EFI,7.65999999999,7.66000000003,7.65999999998,7.66,,,,,,,,
20090967,EFI,7.66,7.66000000001,7.65999999999,7.66,,,,,,,,
20090968,EFI,7.66,7.66000000001,7.66,7.66,,,,,,,,
20090969,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090970,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090971,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090972,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090973,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090974,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090975,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090976,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090977,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090978,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090979,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090980,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090981,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090982,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090983,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090984,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090985,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090986,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090987,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090988,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090989,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090990,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090991,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090992,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090993,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090994,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090995,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090996,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090997,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090998,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20090999,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20091000,EFI,7.66,7.66,7.66,7.66,,,,,,,,
20091001,EFI,7.66,7.66,7.66,7.66,33600.0,16.2,16.2,16.2,16.2,0.0,0.0,0.0
20091002,EFI,8.18,8.18,8.18,8.18,56600.0,17.3,17.3,17.3,17.3,0.0,0.0,0.0
20091003,EFI,8.465,8.465,8.465,8.465,,,,,,,,
20091004,EFI,8.6075,8.6075,8.6075,8.6075,,,,,,,,
20091005,EFI,8.75,8.75,8.75,8.75,125300.0,18.5,18.5,18.5,18.5,0.0,0.0,0.0
20091006,EFI,9.32,9.32,9.32,9.32,39700.0,19.7,19.7,19.7,19.7,0.0,0.0,0.0
20091007,EFI,9.94,9.94,9.94,9.93,27100.0,21.0,21.0,21.0,21.0,16500.0,0.0,0.0
20091008,EFI,10.59,10.59,10.59,10.59,19000.0,22.4,22.4,22.4,22.4,5000.0,0.0,0.0
20091009,EFI,11.3,11.3,11.3,11.3,19800.0,23.9,23.9,23.9,23.9,11700.0,0.0,0.0
20091010,EFI,11.68,11.68,11.68,11.68,,,,,,,,
