<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20121001,ITQ,10.69,11.03,10.69,11.03,18700.0,12.5,12.9,12.5,12.9,0.0,0.0,0.0
20121002,ITQ,10.94,11.2,10.94,11.03,15300.0,12.8,13.1,12.8,12.9,0.0,0.0,0.0
20121003,ITQ,11.12,11.2,11.12,11.2,10000.0,13.0,13.1,13.0,13.1,0.0,0.0,0.0
20121004,ITQ,10.69,10.86,10.69,10.86,9600.0,12.5,12.7,12.5,12.7,0.0,0.0,0.0
20121005,ITQ,10.95,11.12,10.95,11.12,8000.0,12.8,13.0,12.8,13.0,0.0,0.0,0.0
20121006,ITQ,10.99,11.165,10.99,11.16,,,,,,,,
20121007,ITQ,11.01,11.1875,11.01,11.18,,,,,,,,
20121008,ITQ,11.03,11.21,11.03,11.2,12000.0,12.9,13.1,12.9,13.1,0.0,0.0,0.0
20121009,ITQ,11.11,11.29,11.11,11.29,8900.0,13.0,13.2,13.0,13.2,0.0,0.0,0.0
20121010,ITQ,11.03,11.12,10.95,11.12,10000.0,12.9,13.0,12.8,13.0,0.0,0.0,0.0
20121011,ITQ,11.29,11.55,11.29,11.55,12000.0,13.2,13.5,13.2,13.5,0.0,0.0,0.0
20121012,ITQ,11.55,11.64,11.55,11.63,9000.0,13.5,13.6,13.5,13.6,0.0,0.0,0.0
20121013,ITQ,11.635,11.72,11.635,11.715,,,,,,,,
20121014,ITQ,11.6775,11.76,11.6775,11.7575,,,,,,,,
20121015,ITQ,11.72,11.8,11.72,11.8,9000.0,13.7,13.8,13.7,13.8,0.0,0.0,0.0
20121016,ITQ,11.89,12.06,11.89,12.06,13000.0,13.9,14.1,13.9,14.1,0.0,0.0,0.0
20121017,ITQ,12.06,12.15,12.06,12.14,9000.0,14.1,14.2,14.1,14.2,0.0,0.0,0.0
20121018,ITQ,12.14,12.23,12.05,12.23,10600.0,14.2,14.3,14.1,14.3,0.0,0.0,0.0
20121019,ITQ,12.32,12.4,12.32,12.4,10000.0,14.4,14.5,14.4,14.5,0.0,0.0,0.0
20121020,ITQ,12.405,12.485,12.405,12.485,,,,,,,,
20121021,ITQ,12.4475,12.5275,12.4475,12.5275,,,,,,,,
20121022,ITQ,12.49,12.57,12.49,12.57,9600.0,14.6,14.7,14.6,14.7,0.0,0.0,0.0
20121023,ITQ,12.57,12.66,12.57,12.66,10000.0,14.7,14.8,14.7,14.8,0.0,0.0,0.0
20121024,ITQ,12.66,12.75,12.66,12.74,7100.0,14.8,14.9,14.8,14.9,0.0,0.0,0.0
20121025,ITQ,12.4,12.48,12.4,12.49,9700.0,14.5,14.6,14.5,14.6,0.0,0.0,0.0
20121026,ITQ,12.23,12.58,12.23,12.57,11000.0,14.3,14.7,14.3,14.7,0.0,0.0,0.0
20121027,ITQ,12.355,12.575,12.315,12.485,,,,,,,,
20121028,ITQ,12.4175,12.5725,12.3575,12.4425,,,,,,,,
20121029,ITQ,12.48,12.57,12.4,12.4,10900.0,14.6,14.7,14.5,14.5,0.0,0.0,0.0
20121030,ITQ,12.49,12.57,12.49,12.57,8300.0,14.6,14.7,14.6,14.7,0.0,0.0,0.0
20121031,ITQ,12.57,12.66,12.57,12.66,9300.0,14.7,14.8,14.7,14.8,0.0,0.0,0.0
20121032,ITQ,12.615,12.705,12.615,12.7,,,,,,,,
20121033,ITQ,12.6375,12.7275,12.6375,12.72,,,,,,,,
20121034,ITQ,12.64875,12.73875,12.64875,12.73,,,,,,,,
20121035,ITQ,12.654375,12.744375,12.654375,12.735,,,,,,,,
20121036,ITQ,12.6571875,12.7471875,12.6571875,12.7375,,,,,,,,
20121037,ITQ,12.65859375,12.74859375,12.65859375,12.73875,,,,,,,,
20121038,ITQ,12.659296875,12.749296875,12.659296875,12.739375,,,,,,,,
20121039,ITQ,12.6596484375,12.7496484375,12.6596484375,12.7396875,,,,,,,,
20121040,ITQ,12.6598242187,12.7498242187,12.6598242187,12.73984375,,,,,,,,
20121041,ITQ,12.6599121094,12.7499121094,12.6599121094,12.739921875,,,,,,,,
20121042,ITQ,12.6599560547,12.7499560547,12.6599560547,12.7399609375,,,,,,,,
20121043,ITQ,12.6599780273,12.7499780273,12.6599780273,12.7399804688,,,,,,,,
20121044,ITQ,12.6599890137,12.7499890137,12.6599890137,12.7399902344,,,,,,,,
20121045,ITQ,12.6599945068,12.7499945068,12.6599945068,12.7399951172,,,,,,,,
20121046,ITQ,12.6599972534,12.7499972534,12.6599972534,12.7399975586,,,,,,,,
20121047,ITQ,12.6599986267,12.7499986267,12.6599986267,12.7399987793,,,,,,,,
20121048,ITQ,12.6599993134,12.7499993134,12.6599993134,12.7399993896,,,,,,,,
20121049,ITQ,12.6599996567,12.7499996567,12.6599996567,12.7399996948,,,,,,,,
20121050,ITQ,12.6599998283,12.7499998283,12.6599998283,12.7399998474,,,,,,,,
20121051,ITQ,12.6599999142,12.7499999142,12.6599999142,12.7399999237,,,,,,,,
20121052,ITQ,12.6599999571,12.7499999571,12.6599999571,12.7399999619,,,,,,,,
20121053,ITQ,12.6599999785,12.7499999785,12.6599999785,12.7399999809,,,,,,,,
20121054,ITQ,12.6599999893,12.7499999893,12.6599999893,12.7399999905,,,,,,,,
20121055,ITQ,12.6599999946,12.7499999946,12.6599999946,12.7399999952,,,,,,,,
20121056,ITQ,12.6599999973,12.7499999973,12.6599999973,12.7399999976,,,,,,,,
20121057,ITQ,12.6599999987,12.7499999987,12.6599999987,12.7399999988,,,,,,,,
20121058,ITQ,12.6599999993,12.7499999993,12.6599999993,12.7399999994,,,,,,,,
20121059,ITQ,12.6599999997,12.7499999997,12.6599999997,12.7399999997,,,,,,,,
20121060,ITQ,12.6599999998,12.7499999998,12.6599999998,12.7399999999,,,,,,,,
20121061,ITQ,12.6599999999,12.7499999999,12.6599999999,12.7399999999,,,,,,,,
20121062,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121063,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121064,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121065,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121066,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121067,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121068,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121069,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121070,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121071,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121072,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121073,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121074,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121075,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121076,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121077,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121078,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121079,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121080,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121081,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121082,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121083,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121084,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121085,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121086,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121087,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121088,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121089,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
20121090,ITQ,12.66,12.75,12.66,12.74,,,,,,,,
