<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100519,KHB,25.44,25.9,23.78,24.63,12300.0,59.9,61.0,56.0,58.0,0.0,0.0,0.0
20100520,KHB,23.48,23.48,23.44,23.44,3700.0,55.3,55.3,55.2,55.2,0.0,0.0,0.0
20100521,KHB,21.83,21.83,21.83,21.83,100.0,51.4,51.4,51.4,51.4,0.0,0.0,0.0
20100522,KHB,21.085,21.085,21.085,21.085,,,,,,,,
20100523,KHB,20.7125,20.7125,20.7125,20.7125,,,,,,,,
20100524,KHB,20.34,20.34,20.34,20.34,16200.0,47.9,47.9,47.9,47.9,0.0,0.0,0.0
20100525,KHB,18.94,21.74,18.94,21.74,52900.0,44.6,51.2,44.6,51.2,0.0,0.0,0.0
20100526,KHB,21.74,21.74,20.34,21.74,34300.0,51.2,51.2,47.9,51.2,0.0,0.0,0.0
20100527,KHB,22.84,22.84,22.84,22.85,1600.0,53.8,53.8,53.8,53.8,0.0,0.0,0.0
20100528,KHB,24.42,24.42,24.42,24.42,6000.0,57.5,57.5,57.5,57.5,0.0,0.0,0.0
20100529,KHB,25.27,25.27,24.95,25.27,,,,,,,,
20100530,KHB,25.695,25.695,25.215,25.695,,,,,,,,
20100531,KHB,26.12,26.12,25.48,26.12,95600.0,61.5,61.5,60.0,61.5,0.0,0.0,0.0
20100532,KHB,26.12,26.97,25.48,26.225,,,,,,,,
20100533,KHB,26.12,27.395,25.48,26.2775,,,,,,,,
20100534,KHB,26.12,27.6075,25.48,26.30375,,,,,,,,
20100535,KHB,26.12,27.71375,25.48,26.316875,,,,,,,,
20100536,KHB,26.12,27.766875,25.48,26.3234375,,,,,,,,
20100537,KHB,26.12,27.7934375,25.48,26.32671875,,,,,,,,
20100538,KHB,26.12,27.80671875,25.48,26.328359375,,,,,,,,
20100539,KHB,26.12,27.813359375,25.48,26.3291796875,,,,,,,,
20100540,KHB,26.12,27.8166796875,25.48,26.3295898438,,,,,,,,
20100541,KHB,26.12,27.8183398437,25.48,26.3297949219,,,,,,,,
20100542,KHB,26.12,27.8191699219,25.48,26.3298974609,,,,,,,,
20100543,KHB,26.12,27.8195849609,25.48,26.3299487305,,,,,,,,
20100544,KHB,26.12,27.8197924805,25.48,26.3299743652,,,,,,,,
20100545,KHB,26.12,27.8198962402,25.48,26.3299871826,,,,,,,,
20100546,KHB,26.12,27.8199481201,25.48,26.3299935913,,,,,,,,
20100547,KHB,26.12,27.8199740601,25.48,26.3299967957,,,,,,,,
20100548,KHB,26.12,27.81998703,25.48,26.3299983978,,,,,,,,
20100549,KHB,26.12,27.819993515,25.48,26.3299991989,,,,,,,,
20100550,KHB,26.12,27.8199967575,25.48,26.3299995995,,,,,,,,
20100551,KHB,26.12,27.8199983788,25.48,26.3299997997,,,,,,,,
20100552,KHB,26.12,27.8199991894,25.48,26.3299998999,,,,,,,,
20100553,KHB,26.12,27.8199995947,25.48,26.3299999499,,,,,,,,
20100554,KHB,26.12,27.8199997973,25.48,26.329999975,,,,,,,,
20100555,KHB,26.12,27.8199998987,25.48,26.3299999875,,,,,,,,
20100556,KHB,26.12,27.8199999493,25.48,26.3299999937,,,,,,,,
20100557,KHB,26.12,27.8199999747,25.48,26.3299999969,,,,,,,,
20100558,KHB,26.12,27.8199999873,25.48,26.3299999984,,,,,,,,
20100559,KHB,26.12,27.8199999937,25.48,26.3299999992,,,,,,,,
20100560,KHB,26.12,27.8199999968,25.48,26.3299999996,,,,,,,,
20100561,KHB,26.12,27.8199999984,25.48,26.3299999998,,,,,,,,
20100562,KHB,26.12,27.8199999992,25.48,26.3299999999,,,,,,,,
20100563,KHB,26.12,27.8199999996,25.48,26.33,,,,,,,,
20100564,KHB,26.12,27.8199999998,25.48,26.33,,,,,,,,
20100565,KHB,26.12,27.8199999999,25.48,26.33,,,,,,,,
20100566,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100567,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100568,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100569,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100570,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100571,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100572,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100573,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100574,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100575,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100576,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100577,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100578,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100579,KHB,26.12,27.82,25.48,26.33,,,,,,,,
20100580,KHB,26.12,27.82,25.48,26.33,,,,,,,,
