<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100602,MKP,57.4,59.79,57.0,57.4,159500.0,72.0,75.0,71.5,72.0,0.0,0.0,45000.0
20100603,MKP,57.4,57.8,57.0,57.0,93650.0,72.0,72.5,71.5,71.5,0.0,0.0,18000.0
20100604,MKP,57.4,57.4,55.41,57.4,9870.0,72.0,72.0,69.5,72.0,0.0,0.0,0.0
20100605,MKP,56.005,56.605,55.01,56.605,,,,,,,,
20100606,MKP,55.3075,56.2075,54.81,56.2075,,,,,,,,
20100607,MKP,54.61,55.81,54.61,55.81,2530.0,68.5,70.0,68.5,70.0,0.0,0.0,0.0
20100608,MKP,53.42,55.81,53.42,55.81,11200.0,67.0,70.0,67.0,70.0,0.0,0.0,0.0
20100609,MKP,53.82,55.41,53.02,55.41,29950.0,67.5,69.5,66.5,69.5,0.0,0.0,0.0
20100610,MKP,54.21,55.01,53.42,53.42,5900.0,68.0,69.0,67.0,67.0,0.0,0.0,0.0
20100611,MKP,55.01,55.01,53.02,53.02,12340.0,69.0,69.0,66.5,66.5,0.0,0.0,10000.0
20100612,MKP,53.02,54.215,52.025,53.22,,,,,,,,
20100613,MKP,52.025,53.8175,51.5275,53.32,,,,,,,,
20100614,MKP,51.03,53.42,51.03,53.42,5490.0,64.0,67.0,64.0,67.0,0.0,0.0,0.0
20100615,MKP,51.43,53.42,51.43,51.82,26740.0,64.5,67.0,64.5,65.0,0.0,0.0,23100.0
20100616,MKP,54.25,54.25,52.22,52.63,14920.0,67.0,67.0,64.5,65.0,0.0,0.0,6000.0
20100617,MKP,52.63,52.63,51.82,51.82,5700.0,65.0,65.0,64.0,64.0,0.0,0.0,5000.0
20100618,MKP,51.82,51.82,51.42,51.42,7050.0,64.0,64.0,63.5,63.5,0.0,0.0,1000.0
20100619,MKP,52.225,52.225,52.025,52.025,,,,,,,,
20100620,MKP,52.4275,52.4275,52.3275,52.3275,,,,,,,,
20100621,MKP,52.63,52.63,52.63,52.63,16140.0,65.0,65.0,65.0,65.0,0.0,0.0,8340.0
20100622,MKP,52.23,52.23,51.82,51.82,2500.0,64.5,64.5,64.0,64.0,0.0,0.0,0.0
20100623,MKP,52.63,52.63,51.82,52.23,19100.0,65.0,65.0,64.0,64.5,0.0,0.0,16450.0
20100624,MKP,54.25,54.25,51.83,51.82,13600.0,67.0,67.0,64.0,64.0,0.0,0.0,8500.0
20100625,MKP,51.82,51.82,51.42,51.82,11790.0,64.0,64.0,63.5,64.0,0.0,0.0,10000.0
20100626,MKP,51.82,51.82,51.62,51.82,,,,,,,,
20100627,MKP,51.82,51.82,51.72,51.82,,,,,,,,
20100628,MKP,51.82,51.82,51.82,51.82,30580.0,64.0,64.0,64.0,64.0,0.0,0.0,30000.0
20100629,MKP,51.82,53.44,51.82,53.44,11890.0,64.0,66.0,64.0,66.0,31000.0,0.0,0.0
20100630,MKP,52.225,53.035,51.415,52.225,,,,,,,,
20100631,MKP,52.4275,52.8325,51.2125,51.6175,,,,,,,,
20100632,MKP,52.52875,52.73125,51.11125,51.31375,,,,,,,,
20100633,MKP,52.579375,52.680625,51.060625,51.161875,,,,,,,,
20100634,MKP,52.6046875,52.6553125,51.0353125,51.0859375,,,,,,,,
20100635,MKP,52.61734375,52.64265625,51.02265625,51.04796875,,,,,,,,
20100636,MKP,52.623671875,52.636328125,51.016328125,51.028984375,,,,,,,,
20100637,MKP,52.6268359375,52.6331640625,51.0131640625,51.0194921875,,,,,,,,
20100638,MKP,52.6284179688,52.6315820313,51.0115820313,51.0147460937,,,,,,,,
20100639,MKP,52.6292089844,52.6307910156,51.0107910156,51.0123730469,,,,,,,,
20100640,MKP,52.6296044922,52.6303955078,51.0103955078,51.0111865234,,,,,,,,
20100641,MKP,52.6298022461,52.6301977539,51.0101977539,51.0105932617,,,,,,,,
20100642,MKP,52.629901123,52.630098877,51.010098877,51.0102966309,,,,,,,,
20100643,MKP,52.6299505615,52.6300494385,51.0100494385,51.0101483154,,,,,,,,
20100644,MKP,52.6299752808,52.6300247192,51.0100247192,51.0100741577,,,,,,,,
20100645,MKP,52.6299876404,52.6300123596,51.0100123596,51.0100370789,,,,,,,,
20100646,MKP,52.6299938202,52.6300061798,51.0100061798,51.0100185394,,,,,,,,
20100647,MKP,52.6299969101,52.6300030899,51.0100030899,51.0100092697,,,,,,,,
20100648,MKP,52.629998455,52.630001545,51.010001545,51.0100046349,,,,,,,,
20100649,MKP,52.6299992275,52.6300007725,51.0100007725,51.0100023174,,,,,,,,
20100650,MKP,52.6299996138,52.6300003862,51.0100003862,51.0100011587,,,,,,,,
20100651,MKP,52.6299998069,52.6300001931,51.0100001931,51.0100005794,,,,,,,,
20100652,MKP,52.6299999034,52.6300000966,51.0100000966,51.0100002897,,,,,,,,
20100653,MKP,52.6299999517,52.6300000483,51.0100000483,51.0100001448,,,,,,,,
20100654,MKP,52.6299999759,52.6300000241,51.0100000241,51.0100000724,,,,,,,,
20100655,MKP,52.6299999879,52.6300000121,51.0100000121,51.0100000362,,,,,,,,
20100656,MKP,52.629999994,52.630000006,51.010000006,51.0100000181,,,,,,,,
20100657,MKP,52.629999997,52.630000003,51.010000003,51.0100000091,,,,,,,,
20100658,MKP,52.6299999985,52.6300000015,51.0100000015,51.0100000045,,,,,,,,
20100659,MKP,52.6299999992,52.6300000008,51.0100000008,51.0100000023,,,,,,,,
20100660,MKP,52.6299999996,52.6300000004,51.0100000004,51.0100000011,,,,,,,,
20100661,MKP,52.6299999998,52.6300000002,51.0100000002,51.0100000006,,,,,,,,
20100662,MKP,52.6299999999,52.6300000001,51.0100000001,51.0100000003,,,,,,,,
20100663,MKP,52.63,52.63,51.01,51.0100000001,,,,,,,,
20100664,MKP,52.63,52.63,51.01,51.0100000001,,,,,,,,
20100665,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100666,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100667,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100668,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100669,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100670,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100671,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100672,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100673,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100674,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100675,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100676,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100677,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100678,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100679,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100680,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100681,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100682,MKP,52.63,52.63,51.01,51.01,,,,,,,,
20100683,MKP,52.63,52.63,51.01,51.01,,,,,,,,
