<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20151021,MTA,10.0,14.0,8.0,8.5,46100.0,10.0,14.0,8.0,8.5,0.0,0.0,0.0
20151022,MTA,9.7,9.7,9.7,9.7,6700.0,9.7,9.7,9.7,9.7,0.0,0.0,0.0
20151023,MTA,9.7,9.7,8.3,8.3,2200.0,9.7,9.7,8.3,8.3,0.0,0.0,0.0
20151024,MTA,8.6,8.6,7.85,7.85,,,,,,,,
20151025,MTA,8.05,8.05,7.625,7.625,,,,,,,,
20151026,MTA,7.5,7.5,7.4,7.4,12100.0,7.5,7.5,7.4,7.4,0.0,0.0,0.0
20151027,MTA,6.3,6.3,6.3,6.3,1200.0,6.3,6.3,6.3,6.3,0.0,0.0,0.0
20151028,MTA,5.5,5.5,5.4,5.4,20500.0,5.5,5.5,5.4,5.4,0.0,0.0,0.0
20151029,MTA,4.7,4.7,4.6,4.6,17600.0,4.7,4.7,4.6,4.6,0.0,0.0,0.0
20151030,MTA,4.2,5.2,4.2,4.6,23100.0,4.2,5.2,4.2,4.6,0.0,0.0,0.0
20151031,MTA,4.7,5.2,4.6,4.8,,,,,,,,
20151032,MTA,4.95,5.2,4.8,4.9,,,,,,,,
20151033,MTA,5.075,5.2,4.9,4.95,,,,,,,,
20151034,MTA,5.1375,5.2,4.95,4.975,,,,,,,,
20151035,MTA,5.16875,5.2,4.975,4.9875,,,,,,,,
20151036,MTA,5.184375,5.2,4.9875,4.99375,,,,,,,,
20151037,MTA,5.1921875,5.2,4.99375,4.996875,,,,,,,,
20151038,MTA,5.19609375,5.2,4.996875,4.9984375,,,,,,,,
20151039,MTA,5.198046875,5.2,4.9984375,4.99921875,,,,,,,,
20151040,MTA,5.1990234375,5.2,4.99921875,4.999609375,,,,,,,,
20151041,MTA,5.19951171875,5.2,4.999609375,4.9998046875,,,,,,,,
20151042,MTA,5.19975585938,5.2,4.9998046875,4.99990234375,,,,,,,,
20151043,MTA,5.19987792969,5.2,4.99990234375,4.99995117187,,,,,,,,
20151044,MTA,5.19993896484,5.2,4.99995117187,4.99997558594,,,,,,,,
20151045,MTA,5.19996948242,5.2,4.99997558594,4.99998779297,,,,,,,,
20151046,MTA,5.19998474121,5.2,4.99998779297,4.99999389648,,,,,,,,
20151047,MTA,5.19999237061,5.2,4.99999389648,4.99999694824,,,,,,,,
20151048,MTA,5.1999961853,5.2,4.99999694824,4.99999847412,,,,,,,,
20151049,MTA,5.19999809265,5.2,4.99999847412,4.99999923706,,,,,,,,
20151050,MTA,5.19999904633,5.2,4.99999923706,4.99999961853,,,,,,,,
20151051,MTA,5.19999952316,5.2,4.99999961853,4.99999980927,,,,,,,,
20151052,MTA,5.19999976158,5.2,4.99999980927,4.99999990463,,,,,,,,
20151053,MTA,5.19999988079,5.2,4.99999990463,4.99999995232,,,,,,,,
20151054,MTA,5.1999999404,5.2,4.99999995232,4.99999997616,,,,,,,,
20151055,MTA,5.1999999702,5.2,4.99999997616,4.99999998808,,,,,,,,
20151056,MTA,5.1999999851,5.2,4.99999998808,4.99999999404,,,,,,,,
20151057,MTA,5.19999999255,5.2,4.99999999404,4.99999999702,,,,,,,,
20151058,MTA,5.19999999627,5.2,4.99999999702,4.99999999851,,,,,,,,
20151059,MTA,5.19999999814,5.2,4.99999999851,4.99999999925,,,,,,,,
20151060,MTA,5.19999999907,5.2,4.99999999925,4.99999999963,,,,,,,,
20151061,MTA,5.19999999953,5.2,4.99999999963,4.99999999981,,,,,,,,
20151062,MTA,5.19999999977,5.2,4.99999999981,4.99999999991,,,,,,,,
20151063,MTA,5.19999999988,5.2,4.99999999991,4.99999999995,,,,,,,,
20151064,MTA,5.19999999994,5.2,4.99999999995,4.99999999998,,,,,,,,
20151065,MTA,5.19999999997,5.2,4.99999999998,4.99999999999,,,,,,,,
20151066,MTA,5.19999999999,5.2,4.99999999999,4.99999999999,,,,,,,,
20151067,MTA,5.19999999999,5.2,4.99999999999,5.0,,,,,,,,
20151068,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151069,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151070,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151071,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151072,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151073,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151074,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151075,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151076,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151077,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151078,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151079,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151080,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151081,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151082,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151083,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151084,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151085,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151086,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151087,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151088,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151089,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151090,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151091,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151092,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151093,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151094,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151095,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151096,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151097,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151098,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151099,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151100,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151101,MTA,5.2,5.2,5.0,5.0,,,,,,,,
20151102,MTA,5.2,5.2,5.0,5.0,300.0,5.2,5.2,5.0,5.0,0.0,0.0,0.0
20151103,MTA,4.5,4.5,4.4,4.4,8700.0,4.5,4.5,4.4,4.4,0.0,0.0,0.0
20151104,MTA,4.3,4.3,4.3,4.3,100.0,4.3,4.3,4.3,4.3,0.0,0.0,0.0
20151105,MTA,4.1,4.9,3.9,4.3,13800.0,4.1,4.9,3.9,4.3,0.0,0.0,0.0
20151106,MTA,4.9,4.9,4.0,4.1,21300.0,4.9,4.9,4.0,4.1,0.0,0.0,0.0
20151107,MTA,4.8,4.8,4.15,4.2,,,,,,,,
20151108,MTA,4.75,4.75,4.225,4.25,,,,,,,,
20151109,MTA,4.7,4.7,4.3,4.3,2500.0,4.7,4.7,4.3,4.3,0.0,0.0,0.0
20151110,MTA,4.9,4.9,4.4,4.4,5100.0,4.9,4.9,4.4,4.4,0.0,0.0,0.0
20151111,MTA,4.4,4.4,4.4,4.4,1000.0,4.4,4.4,4.4,4.4,0.0,0.0,0.0
20151112,MTA,4.7,4.7,4.6,4.6,300.0,4.7,4.7,4.6,4.6,0.0,0.0,0.0
20151113,MTA,4.5,5.05,4.3,4.4,,,,,,,,
20151114,MTA,4.4,5.225,4.15,4.3,,,,,,,,
20151115,MTA,4.35,5.3125,4.075,4.25,,,,,,,,
20151116,MTA,4.3,5.4,4.0,4.2,11700.0,4.3,5.4,4.0,4.2,0.0,0.0,0.0
20151117,MTA,4.2,4.2,4.1,4.1,7600.0,4.2,4.2,4.1,4.1,0.0,0.0,0.0
20151118,MTA,4.0,4.3,3.95,4.25,,,,,,,,
20151119,MTA,3.8,4.4,3.8,4.4,8000.0,3.8,4.4,3.8,4.4,0.0,0.0,0.0
20151120,MTA,4.4,4.4,4.4,4.4,100.0,4.4,4.4,4.4,4.4,0.0,0.0,0.0
20151121,MTA,4.4,4.65,4.4,4.65,,,,,,,,
20151122,MTA,4.4,4.775,4.4,4.775,,,,,,,,
20151123,MTA,4.4,4.9,4.4,4.9,200.0,4.4,4.9,4.4,4.9,0.0,0.0,0.0
20151124,MTA,4.2,4.2,4.0,4.0,12100.0,4.2,4.2,4.0,4.0,0.0,0.0,0.0
20151125,MTA,4.0,4.0,4.0,4.0,1800.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
20151126,MTA,4.5,4.5,4.5,4.5,100.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0
20151127,MTA,4.2,4.35,4.2,4.2,,,,,,,,
20151128,MTA,4.05,4.275,4.05,4.05,,,,,,,,
20151129,MTA,3.975,4.2375,3.975,3.975,,,,,,,,
20151130,MTA,3.9375,4.21875,3.9375,3.9375,,,,,,,,
20151131,MTA,3.91875,4.209375,3.91875,3.91875,,,,,,,,
20151132,MTA,3.909375,4.2046875,3.909375,3.909375,,,,,,,,
20151133,MTA,3.9046875,4.20234375,3.9046875,3.9046875,,,,,,,,
20151134,MTA,3.90234375,4.201171875,3.90234375,3.90234375,,,,,,,,
20151135,MTA,3.901171875,4.2005859375,3.901171875,3.901171875,,,,,,,,
20151136,MTA,3.9005859375,4.20029296875,3.9005859375,3.9005859375,,,,,,,,
20151137,MTA,3.90029296875,4.20014648438,3.90029296875,3.90029296875,,,,,,,,
20151138,MTA,3.90014648438,4.20007324219,3.90014648438,3.90014648438,,,,,,,,
20151139,MTA,3.90007324219,4.20003662109,3.90007324219,3.90007324219,,,,,,,,
20151140,MTA,3.90003662109,4.20001831055,3.90003662109,3.90003662109,,,,,,,,
20151141,MTA,3.90001831055,4.20000915527,3.90001831055,3.90001831055,,,,,,,,
20151142,MTA,3.90000915527,4.20000457764,3.90000915527,3.90000915527,,,,,,,,
20151143,MTA,3.90000457764,4.20000228882,3.90000457764,3.90000457764,,,,,,,,
20151144,MTA,3.90000228882,4.20000114441,3.90000228882,3.90000228882,,,,,,,,
20151145,MTA,3.90000114441,4.2000005722,3.90000114441,3.90000114441,,,,,,,,
20151146,MTA,3.9000005722,4.2000002861,3.9000005722,3.9000005722,,,,,,,,
20151147,MTA,3.9000002861,4.20000014305,3.9000002861,3.9000002861,,,,,,,,
20151148,MTA,3.90000014305,4.20000007153,3.90000014305,3.90000014305,,,,,,,,
20151149,MTA,3.90000007153,4.20000003576,3.90000007153,3.90000007153,,,,,,,,
20151150,MTA,3.90000003576,4.20000001788,3.90000003576,3.90000003576,,,,,,,,
20151151,MTA,3.90000001788,4.20000000894,3.90000001788,3.90000001788,,,,,,,,
20151152,MTA,3.90000000894,4.20000000447,3.90000000894,3.90000000894,,,,,,,,
20151153,MTA,3.90000000447,4.20000000224,3.90000000447,3.90000000447,,,,,,,,
20151154,MTA,3.90000000224,4.20000000112,3.90000000224,3.90000000224,,,,,,,,
20151155,MTA,3.90000000112,4.20000000056,3.90000000112,3.90000000112,,,,,,,,
20151156,MTA,3.90000000056,4.20000000028,3.90000000056,3.90000000056,,,,,,,,
20151157,MTA,3.90000000028,4.20000000014,3.90000000028,3.90000000028,,,,,,,,
20151158,MTA,3.90000000014,4.20000000007,3.90000000014,3.90000000014,,,,,,,,
20151159,MTA,3.90000000007,4.20000000003,3.90000000007,3.90000000007,,,,,,,,
20151160,MTA,3.90000000003,4.20000000002,3.90000000003,3.90000000003,,,,,,,,
20151161,MTA,3.90000000002,4.20000000001,3.90000000002,3.90000000002,,,,,,,,
20151162,MTA,3.90000000001,4.2,3.90000000001,3.90000000001,,,,,,,,
20151163,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151164,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151165,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151166,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151167,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151168,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151169,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151170,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151171,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151172,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151173,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151174,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151175,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151176,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151177,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151178,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151179,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151180,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151181,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151182,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151183,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151184,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151185,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151186,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151187,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151188,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151189,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151190,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151191,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151192,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151193,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151194,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151195,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151196,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151197,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151198,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151199,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151200,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151201,MTA,3.9,4.2,3.9,3.9,,,,,,,,
20151202,MTA,3.9,4.2,3.9,3.9,3100.0,3.9,4.2,3.9,3.9,0.0,0.0,0.0
20151203,MTA,3.9,3.9,3.9,3.9,4000.0,3.9,3.9,3.9,3.9,0.0,0.0,0.0
20151204,MTA,3.8,3.8,3.8,3.8,3600.0,3.8,3.8,3.8,3.8,0.0,0.0,0.0
20151205,MTA,3.55,3.65,3.55,3.65,,,,,,,,
20151206,MTA,3.425,3.575,3.425,3.575,,,,,,,,
20151207,MTA,3.3625,3.5375,3.3625,3.5375,,,,,,,,
20151208,MTA,3.33125,3.51875,3.33125,3.51875,,,,,,,,
20151209,MTA,3.315625,3.509375,3.315625,3.509375,,,,,,,,
20151210,MTA,3.3,3.5,3.3,3.5,200.0,3.3,3.5,3.3,3.5,0.0,0.0,0.0
20151211,MTA,3.9,3.9,3.9,3.9,100.0,3.9,3.9,3.9,3.9,0.0,0.0,0.0
20151212,MTA,3.95,3.95,3.85,3.85,,,,,,,,
20151213,MTA,3.975,3.975,3.825,3.825,,,,,,,,
20151214,MTA,3.9875,3.9875,3.8125,3.8125,,,,,,,,
20151215,MTA,4.0,4.0,3.8,3.8,300.0,4.0,4.0,3.8,3.8,0.0,0.0,0.0
20151216,MTA,3.8,3.8,3.8,3.8,200.0,3.8,3.8,3.8,3.8,0.0,0.0,0.0
20151217,MTA,3.85,3.85,3.8,3.8,,,,,,,,
20151218,MTA,3.875,3.875,3.8,3.8,,,,,,,,
20151219,MTA,3.8875,3.8875,3.8,3.8,,,,,,,,
20151220,MTA,3.89375,3.89375,3.8,3.8,,,,,,,,
20151221,MTA,3.896875,3.896875,3.8,3.8,,,,,,,,
20151222,MTA,3.9,3.9,3.8,3.8,23800.0,3.9,3.9,3.8,3.8,0.0,0.0,0.0
20151223,MTA,3.9,4.0,3.9,4.0,1600.0,3.9,4.0,3.9,4.0,0.0,0.0,0.0
20151224,MTA,3.9,4.0,3.9,4.0,2200.0,3.9,4.0,3.9,4.0,0.0,0.0,0.0
20151225,MTA,4.1,4.1,4.1,4.1,100.0,4.1,4.1,4.1,4.1,0.0,0.0,0.0
20151226,MTA,4.3,4.3,4.3,4.3,,,,,,,,
20151227,MTA,4.4,4.4,4.4,4.4,,,,,,,,
20151228,MTA,4.45,4.45,4.45,4.45,,,,,,,,
20151229,MTA,4.5,4.5,4.5,4.5,100.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0
20151230,MTA,4.6,4.6,4.35,4.35,,,,,,,,
