<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170203,NAS,32.36,32.36,29.75,31.19,20845.0,35.9,35.9,33.0,34.6,0.0,1000.0,0.0
20170204,NAS,32.36,32.36,28.845,29.57,,,,,,,,
20170205,NAS,32.36,32.36,28.3925,28.76,,,,,,,,
20170206,NAS,32.36,32.36,27.94,27.95,13200.0,35.9,35.9,31.0,31.0,0.0,0.0,0.0
20170207,NAS,30.11,30.11,26.15,26.14,7500.0,33.4,33.4,29.0,29.0,0.0,0.0,0.0
20170208,NAS,26.14,26.23,26.14,26.24,3410.0,29.0,29.1,29.0,29.1,0.0,0.0,0.0
20170209,NAS,27.86,27.86,27.86,27.86,191.0,30.9,30.9,30.9,30.9,0.0,0.0,0.0
20170210,NAS,26.33,28.85,26.33,27.5,3910.0,29.2,32.0,29.2,30.5,0.0,0.0,0.0
20170211,NAS,28.175,29.435,26.51,27.185,,,,,,,,
20170212,NAS,29.0975,29.7275,26.6,27.0275,,,,,,,,
20170213,NAS,30.02,30.02,26.69,26.87,13940.0,33.3,33.3,29.6,29.8,0.0,0.0,0.0
20170214,NAS,28.76,28.76,26.87,28.22,6791.0,31.9,31.9,29.8,31.3,0.0,0.0,0.0
20170215,NAS,28.76,28.76,27.5,27.5,5732.0,31.9,31.9,30.5,30.5,0.0,0.0,0.0
20170216,NAS,27.86,27.86,26.24,26.33,10817.0,30.9,30.9,29.1,29.2,484.0,0.0,0.0
20170217,NAS,27.41,27.41,26.33,26.33,10317.0,30.4,30.4,29.2,29.2,0.0,0.0,0.0
20170218,NAS,27.185,27.185,26.24,26.235,,,,,,,,
20170219,NAS,27.0725,27.0725,26.195,26.1875,,,,,,,,
20170220,NAS,26.96,26.96,26.15,26.14,8900.0,29.9,29.9,29.0,29.0,0.0,0.0,0.0
20170221,NAS,26.95,26.95,26.14,26.33,11300.0,29.9,29.9,29.0,29.2,0.0,0.0,0.0
20170222,NAS,26.24,26.24,26.24,26.24,2666.0,29.1,29.1,29.1,29.1,0.0,0.0,0.0
20170223,NAS,26.51,26.51,25.25,25.24,6601.0,29.4,29.4,28.0,28.0,0.0,0.0,0.0
20170224,NAS,26.86,26.86,24.34,24.34,1600.0,29.8,29.8,27.0,27.0,0.0,0.0,0.0
20170225,NAS,26.05,26.14,24.79,24.79,,,,,,,,
20170226,NAS,25.645,25.78,25.015,25.015,,,,,,,,
20170227,NAS,25.24,25.42,25.24,25.24,6800.0,28.0,28.2,28.0,28.0,0.0,0.0,0.0
20170228,NAS,25.24,26.05,24.79,24.79,16800.0,28.0,28.9,27.5,27.5,0.0,0.0,0.0
20170229,NAS,25.6,26.005,24.79,24.835,,,,,,,,
20170230,NAS,25.78,25.9825,24.79,24.8575,,,,,,,,
20170231,NAS,25.87,25.97125,24.79,24.86875,,,,,,,,
20170232,NAS,25.915,25.965625,24.79,24.874375,,,,,,,,
20170233,NAS,25.9375,25.9628125,24.79,24.8771875,,,,,,,,
20170234,NAS,25.94875,25.96140625,24.79,24.87859375,,,,,,,,
20170235,NAS,25.954375,25.960703125,24.79,24.879296875,,,,,,,,
20170236,NAS,25.9571875,25.9603515625,24.79,24.8796484375,,,,,,,,
20170237,NAS,25.95859375,25.9601757813,24.79,24.8798242188,,,,,,,,
20170238,NAS,25.959296875,25.9600878906,24.79,24.8799121094,,,,,,,,
20170239,NAS,25.9596484375,25.9600439453,24.79,24.8799560547,,,,,,,,
20170240,NAS,25.9598242188,25.9600219727,24.79,24.8799780273,,,,,,,,
20170241,NAS,25.9599121094,25.9600109863,24.79,24.8799890137,,,,,,,,
20170242,NAS,25.9599560547,25.9600054932,24.79,24.8799945068,,,,,,,,
20170243,NAS,25.9599780273,25.9600027466,24.79,24.8799972534,,,,,,,,
20170244,NAS,25.9599890137,25.9600013733,24.79,24.8799986267,,,,,,,,
20170245,NAS,25.9599945068,25.9600006866,24.79,24.8799993134,,,,,,,,
20170246,NAS,25.9599972534,25.9600003433,24.79,24.8799996567,,,,,,,,
20170247,NAS,25.9599986267,25.9600001717,24.79,24.8799998283,,,,,,,,
20170248,NAS,25.9599993134,25.9600000858,24.79,24.8799999142,,,,,,,,
20170249,NAS,25.9599996567,25.9600000429,24.79,24.8799999571,,,,,,,,
20170250,NAS,25.9599998283,25.9600000215,24.79,24.8799999785,,,,,,,,
20170251,NAS,25.9599999142,25.9600000107,24.79,24.8799999893,,,,,,,,
20170252,NAS,25.9599999571,25.9600000054,24.79,24.8799999946,,,,,,,,
20170253,NAS,25.9599999785,25.9600000027,24.79,24.8799999973,,,,,,,,
20170254,NAS,25.9599999893,25.9600000013,24.79,24.8799999987,,,,,,,,
20170255,NAS,25.9599999946,25.9600000007,24.79,24.8799999993,,,,,,,,
20170256,NAS,25.9599999973,25.9600000003,24.79,24.8799999997,,,,,,,,
20170257,NAS,25.9599999987,25.9600000002,24.79,24.8799999998,,,,,,,,
20170258,NAS,25.9599999993,25.9600000001,24.79,24.8799999999,,,,,,,,
20170259,NAS,25.9599999997,25.96,24.79,24.88,,,,,,,,
20170260,NAS,25.9599999998,25.96,24.79,24.88,,,,,,,,
20170261,NAS,25.9599999999,25.96,24.79,24.88,,,,,,,,
20170262,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170263,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170264,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170265,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170266,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170267,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170268,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170269,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170270,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170271,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170272,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170273,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170274,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170275,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170276,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170277,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170278,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170279,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170280,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170281,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170282,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170283,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170284,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170285,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170286,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170287,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170288,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170289,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170290,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170291,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170292,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170293,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170294,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170295,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170296,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170297,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170298,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170299,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170300,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170301,NAS,25.96,25.96,24.79,24.88,,,,,,,,
20170302,NAS,25.96,25.96,24.79,24.88,14900.0,28.8,28.8,27.5,27.6,0.0,8100.0,0.0
20170303,NAS,25.33,25.33,24.79,24.79,18100.0,28.1,28.1,27.5,27.5,0.0,10000.0,0.0
20170304,NAS,25.105,25.105,24.835,24.835,,,,,,,,
20170305,NAS,24.9925,24.9925,24.8575,24.8575,,,,,,,,
20170306,NAS,24.88,24.88,24.88,24.88,11500.0,27.6,27.6,27.6,27.6,0.0,5000.0,0.0
20170307,NAS,24.79,25.24,24.79,25.24,14800.0,27.5,28.0,27.5,28.0,0.0,400.0,3400.0
20170308,NAS,24.97,24.97,24.97,24.97,14500.0,27.7,27.7,27.7,27.7,0.0,0.0,0.0
20170309,NAS,24.88,24.97,24.88,24.97,19600.0,27.6,27.7,27.6,27.7,0.0,5000.0,0.0
20170310,NAS,24.97,25.24,24.97,24.97,4000.0,27.7,28.0,27.7,27.7,0.0,0.0,0.0
20170311,NAS,24.925,25.06,24.88,24.88,,,,,,,,
20170312,NAS,24.9025,24.97,24.835,24.835,,,,,,,,
20170313,NAS,24.88,24.88,24.79,24.79,17264.0,27.6,27.6,27.5,27.5,0.0,10000.0,0.0
20170314,NAS,24.97,24.97,24.43,24.97,12600.0,27.7,27.7,27.1,27.7,0.0,0.0,0.0
20170315,NAS,24.7,24.7,24.7,24.7,2500.0,27.4,27.4,27.4,27.4,0.0,0.0,0.0
20170316,NAS,24.7,24.79,24.43,24.7,5100.0,27.4,27.5,27.1,27.4,0.0,800.0,0.0
20170317,NAS,24.88,24.88,24.7,24.7,9847.0,27.6,27.6,27.4,27.4,0.0,3200.0,0.0
20170318,NAS,24.97,25.015,24.79,24.79,,,,,,,,
20170319,NAS,25.015,25.0825,24.835,24.835,,,,,,,,
20170320,NAS,25.06,25.15,24.88,24.88,6100.0,27.8,27.9,27.6,27.6,0.0,4500.0,0.0
20170321,NAS,24.79,24.88,24.79,24.79,6810.0,27.5,27.6,27.5,27.5,0.0,4700.0,0.0
20170322,NAS,24.52,24.61,24.34,24.61,13617.0,27.2,27.3,27.0,27.3,0.0,0.0,0.0
20170323,NAS,24.88,27.04,24.88,24.97,600.0,27.6,30.0,27.6,27.7,0.0,0.0,0.0
