<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20041215,NKD,9.36,9.36,9.36,9.36,13200.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0
20041216,NKD,9.81,9.81,9.81,9.81,12600.0,28.3,28.3,28.3,28.3,0.0,0.0,0.0
20041217,NKD,10.3,10.3,10.3,10.3,37150.0,29.7,29.7,29.7,29.7,0.0,0.0,0.0
20041218,NKD,10.3,10.35,10.3,10.35,,,,,,,,
20041219,NKD,10.3,10.375,10.3,10.375,,,,,,,,
20041220,NKD,10.3,10.4,10.3,10.4,31220.0,29.7,30.0,29.7,30.0,0.0,0.0,0.0
20041221,NKD,10.4,10.4,10.26,10.26,28450.0,30.0,30.0,29.6,29.6,0.0,0.0,0.0
20041222,NKD,10.33,10.33,10.33,10.33,8430.0,29.8,29.8,29.8,29.8,0.0,0.0,0.0
20041223,NKD,10.57,10.57,10.57,10.57,19440.0,30.5,30.5,30.5,30.5,0.0,0.0,0.0
20041224,NKD,10.92,10.92,10.92,10.92,12900.0,31.5,31.5,31.5,31.5,0.0,0.0,0.0
20041225,NKD,10.92,10.92,10.905,10.905,,,,,,,,
20041226,NKD,10.92,10.92,10.8975,10.8975,,,,,,,,
20041227,NKD,10.92,10.92,10.89,10.89,8910.0,31.5,31.5,31.4,31.4,0.0,0.0,0.0
20041228,NKD,10.92,10.92,10.92,10.92,8900.0,31.5,31.5,31.5,31.5,0.0,0.0,0.0
20041229,NKD,10.75,10.75,10.75,10.75,5440.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0
20041230,NKD,10.75,10.75,10.58,10.57,20000.0,31.0,31.0,30.5,30.5,0.0,0.0,0.0
20041231,NKD,10.57,10.71,10.57,10.71,12130.0,30.5,30.9,30.5,30.9,0.0,0.0,0.0
20041232,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041233,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041234,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041235,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041236,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041237,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041238,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041239,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041240,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041241,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041242,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041243,NKD,10.57,10.71,10.57,10.71,,,,,,,,
20041244,NKD,10.57,10.71,10.57,10.71,,,,,,,,
