<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110114,NKG,12.25,12.25,10.21,12.21,954580.0,30.0,30.0,25.0,29.9,0.0,0.0,0.0
20110115,NKG,11.965,12.515,10.945,12.495,,,,,,,,
20110116,NKG,11.8225,12.6475,11.3125,12.6375,,,,,,,,
20110117,NKG,11.68,12.78,11.68,12.78,1282900.0,28.6,31.3,28.6,31.3,20000.0,0.0,0.0
20110118,NKG,12.78,13.39,12.25,13.39,1244920.0,31.3,32.8,30.0,32.8,0.0,0.0,0.0
20110119,NKG,12.86,14.04,12.86,14.04,1070570.0,31.5,34.4,31.5,34.4,20000.0,840.0,0.0
20110120,NKG,13.39,14.73,13.39,14.62,1150840.0,32.8,36.1,32.8,35.8,0.0,0.0,0.0
20110121,NKG,14.01,14.62,13.93,13.92,907920.0,34.3,35.8,34.1,34.1,170000.0,0.0,0.0
20110122,NKG,13.64,13.985,13.58,13.575,,,,,,,,
20110123,NKG,13.455,13.6675,13.405,13.4025,,,,,,,,
20110124,NKG,13.27,13.35,13.23,13.23,155800.0,32.5,32.7,32.4,32.4,419180.0,0.0,0.0
20110125,NKG,12.58,12.66,12.58,12.57,633610.0,30.8,31.0,30.8,30.8,290000.0,22000.0,0.0
20110126,NKG,12.57,12.57,12.0,12.08,403060.0,30.8,30.8,29.4,29.6,0.0,0.0,0.0
20110127,NKG,12.08,12.24,11.67,12.25,525180.0,29.6,30.0,28.6,30.0,576000.0,0.0,0.0
20110128,NKG,11.88,12.29,11.84,11.96,313890.0,29.1,30.1,29.0,29.3,100000.0,0.0,0.0
20110129,NKG,11.92,12.27,11.9,11.98,,,,,,,,
20110130,NKG,11.94,12.26,11.93,11.99,,,,,,,,
20110131,NKG,11.95,12.255,11.945,11.995,,,,,,,,
20110132,NKG,11.955,12.2525,11.9525,11.9975,,,,,,,,
20110133,NKG,11.9575,12.25125,11.95625,11.99875,,,,,,,,
20110134,NKG,11.95875,12.250625,11.958125,11.999375,,,,,,,,
20110135,NKG,11.959375,12.2503125,11.9590625,11.9996875,,,,,,,,
20110136,NKG,11.9596875,12.25015625,11.95953125,11.99984375,,,,,,,,
20110137,NKG,11.95984375,12.250078125,11.959765625,11.999921875,,,,,,,,
20110138,NKG,11.959921875,12.2500390625,11.9598828125,11.9999609375,,,,,,,,
20110139,NKG,11.9599609375,12.2500195313,11.9599414063,11.9999804687,,,,,,,,
20110140,NKG,11.9599804688,12.2500097656,11.9599707031,11.9999902344,,,,,,,,
20110141,NKG,11.9599902344,12.2500048828,11.9599853516,11.9999951172,,,,,,,,
20110142,NKG,11.9599951172,12.2500024414,11.9599926758,11.9999975586,,,,,,,,
20110143,NKG,11.9599975586,12.2500012207,11.9599963379,11.9999987793,,,,,,,,
20110144,NKG,11.9599987793,12.2500006104,11.9599981689,11.9999993896,,,,,,,,
20110145,NKG,11.9599993896,12.2500003052,11.9599990845,11.9999996948,,,,,,,,
20110146,NKG,11.9599996948,12.2500001526,11.9599995422,11.9999998474,,,,,,,,
20110147,NKG,11.9599998474,12.2500000763,11.9599997711,11.9999999237,,,,,,,,
20110148,NKG,11.9599999237,12.2500000381,11.9599998856,11.9999999619,,,,,,,,
20110149,NKG,11.9599999619,12.2500000191,11.9599999428,11.9999999809,,,,,,,,
20110150,NKG,11.9599999809,12.2500000095,11.9599999714,11.9999999905,,,,,,,,
