<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100317,PHH,16.31,17.94,15.9,16.31,262800.0,40.0,44.0,39.0,40.0,0.0,0.0,0.0
20100318,PHH,17.94,17.94,16.02,16.03,263500.0,44.0,44.0,39.3,39.3,0.0,0.0,0.0
20100319,PHH,16.52,16.52,15.5,15.95,167400.0,40.5,40.5,38.0,39.1,0.0,0.0,0.0
20100320,PHH,16.215,16.215,15.255,15.5,,,,,,,,
20100321,PHH,16.0625,16.0625,15.1325,15.275,,,,,,,,
20100322,PHH,15.91,15.91,15.01,15.05,82400.0,39.0,39.0,36.8,36.9,0.0,0.0,0.0
20100323,PHH,14.68,15.13,14.11,14.56,268400.0,36.0,37.1,34.6,35.7,0.0,300.0,0.0
20100324,PHH,14.89,15.29,14.89,15.29,146200.0,36.5,37.5,36.5,37.5,0.0,0.0,0.0
20100325,PHH,16.35,16.35,15.37,16.35,670900.0,40.1,40.1,37.7,40.1,0.0,0.0,0.0
20100326,PHH,17.0,17.04,16.72,17.05,805800.0,41.7,41.8,41.0,41.8,0.0,0.0,0.0
20100327,PHH,17.17,17.615,16.845,17.62,,,,,,,,
20100328,PHH,17.255,17.9025,16.9075,17.905,,,,,,,,
20100329,PHH,17.34,18.19,16.97,18.19,587300.0,42.5,44.6,41.6,44.6,0.0,0.0,0.0
20100330,PHH,18.96,18.96,17.17,17.21,234400.0,46.5,46.5,42.1,42.2,0.0,0.0,0.0
20100331,PHH,17.33,18.15,16.64,16.72,272800.0,42.5,44.5,40.8,41.0,0.0,0.0,0.0
20100332,PHH,16.82,17.66,16.315,16.72,,,,,,,,
20100333,PHH,16.565,17.415,16.1525,16.72,,,,,,,,
20100334,PHH,16.4375,17.2925,16.07125,16.72,,,,,,,,
20100335,PHH,16.37375,17.23125,16.030625,16.72,,,,,,,,
20100336,PHH,16.341875,17.200625,16.0103125,16.72,,,,,,,,
20100337,PHH,16.3259375,17.1853125,16.00015625,16.72,,,,,,,,
20100338,PHH,16.31796875,17.17765625,15.995078125,16.72,,,,,,,,
20100339,PHH,16.313984375,17.173828125,15.9925390625,16.72,,,,,,,,
20100340,PHH,16.3119921875,17.1719140625,15.9912695313,16.72,,,,,,,,
20100341,PHH,16.3109960937,17.1709570313,15.9906347656,16.72,,,,,,,,
20100342,PHH,16.3104980469,17.1704785156,15.9903173828,16.72,,,,,,,,
20100343,PHH,16.3102490234,17.1702392578,15.9901586914,16.72,,,,,,,,
20100344,PHH,16.3101245117,17.1701196289,15.9900793457,16.72,,,,,,,,
20100345,PHH,16.3100622559,17.1700598145,15.9900396729,16.72,,,,,,,,
20100346,PHH,16.3100311279,17.1700299072,15.9900198364,16.72,,,,,,,,
20100347,PHH,16.310015564,17.1700149536,15.9900099182,16.72,,,,,,,,
20100348,PHH,16.310007782,17.1700074768,15.9900049591,16.72,,,,,,,,
20100349,PHH,16.310003891,17.1700037384,15.9900024796,16.72,,,,,,,,
20100350,PHH,16.3100019455,17.1700018692,15.9900012398,16.72,,,,,,,,
20100351,PHH,16.3100009727,17.1700009346,15.9900006199,16.72,,,,,,,,
20100352,PHH,16.3100004864,17.1700004673,15.9900003099,16.72,,,,,,,,
20100353,PHH,16.3100002432,17.1700002337,15.990000155,16.72,,,,,,,,
20100354,PHH,16.3100001216,17.1700001168,15.9900000775,16.72,,,,,,,,
20100355,PHH,16.3100000608,17.1700000584,15.9900000387,16.72,,,,,,,,
20100356,PHH,16.3100000304,17.1700000292,15.9900000194,16.72,,,,,,,,
20100357,PHH,16.3100000152,17.1700000146,15.9900000097,16.72,,,,,,,,
20100358,PHH,16.3100000076,17.1700000073,15.9900000048,16.72,,,,,,,,
20100359,PHH,16.3100000038,17.1700000037,15.9900000024,16.72,,,,,,,,
20100360,PHH,16.3100000019,17.1700000018,15.9900000012,16.72,,,,,,,,
20100361,PHH,16.3100000009,17.1700000009,15.9900000006,16.72,,,,,,,,
20100362,PHH,16.3100000005,17.1700000005,15.9900000003,16.72,,,,,,,,
