<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20160622,PIS,12.19,12.19,12.19,12.19,4000.0,13.3,13.3,13.3,13.3,0.0,0.0,0.0
20160623,PIS,13.06,13.06,13.06,13.06,,,,,,,,
20160624,PIS,13.93,13.93,13.93,13.93,100.0,15.2,15.2,15.2,15.2,0.0,0.0,0.0
20160625,PIS,14.25,14.25,14.25,14.25,,,,,,,,
20160626,PIS,14.41,14.41,14.41,14.41,,,,,,,,
20160627,PIS,14.49,14.49,14.49,14.49,,,,,,,,
20160628,PIS,14.53,14.53,14.53,14.53,,,,,,,,
20160629,PIS,14.55,14.55,14.55,14.55,,,,,,,,
20160630,PIS,14.57,14.57,14.57,14.57,1000.0,15.9,15.9,15.9,15.9,0.0,0.0,0.0
20160631,PIS,14.615,14.615,14.615,14.62,,,,,,,,
20160632,PIS,14.6375,14.6375,14.6375,14.645,,,,,,,,
20160633,PIS,14.64875,14.64875,14.64875,14.6575,,,,,,,,
20160634,PIS,14.654375,14.654375,14.654375,14.66375,,,,,,,,
20160635,PIS,14.6571875,14.6571875,14.6571875,14.666875,,,,,,,,
20160636,PIS,14.65859375,14.65859375,14.65859375,14.6684375,,,,,,,,
20160637,PIS,14.659296875,14.659296875,14.659296875,14.66921875,,,,,,,,
20160638,PIS,14.6596484375,14.6596484375,14.6596484375,14.669609375,,,,,,,,
20160639,PIS,14.6598242187,14.6598242187,14.6598242187,14.6698046875,,,,,,,,
20160640,PIS,14.6599121094,14.6599121094,14.6599121094,14.6699023437,,,,,,,,
20160641,PIS,14.6599560547,14.6599560547,14.6599560547,14.6699511719,,,,,,,,
20160642,PIS,14.6599780273,14.6599780273,14.6599780273,14.6699755859,,,,,,,,
20160643,PIS,14.6599890137,14.6599890137,14.6599890137,14.669987793,,,,,,,,
20160644,PIS,14.6599945068,14.6599945068,14.6599945068,14.6699938965,,,,,,,,
20160645,PIS,14.6599972534,14.6599972534,14.6599972534,14.6699969482,,,,,,,,
20160646,PIS,14.6599986267,14.6599986267,14.6599986267,14.6699984741,,,,,,,,
20160647,PIS,14.6599993134,14.6599993134,14.6599993134,14.6699992371,,,,,,,,
20160648,PIS,14.6599996567,14.6599996567,14.6599996567,14.6699996185,,,,,,,,
20160649,PIS,14.6599998283,14.6599998283,14.6599998283,14.6699998093,,,,,,,,
20160650,PIS,14.6599999142,14.6599999142,14.6599999142,14.6699999046,,,,,,,,
20160651,PIS,14.6599999571,14.6599999571,14.6599999571,14.6699999523,,,,,,,,
20160652,PIS,14.6599999785,14.6599999785,14.6599999785,14.6699999762,,,,,,,,
20160653,PIS,14.6599999893,14.6599999893,14.6599999893,14.6699999881,,,,,,,,
20160654,PIS,14.6599999946,14.6599999946,14.6599999946,14.669999994,,,,,,,,
20160655,PIS,14.6599999973,14.6599999973,14.6599999973,14.669999997,,,,,,,,
20160656,PIS,14.6599999987,14.6599999987,14.6599999987,14.6699999985,,,,,,,,
20160657,PIS,14.6599999993,14.6599999993,14.6599999993,14.6699999993,,,,,,,,
