<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170424,PLX,48.9,49.5,48.0,48.4,1757390.0,48.9,49.5,48.0,48.4,953912.0,428330.0,0.0
20170425,PLX,48.1,48.4,45.05,45.15,2533550.0,48.1,48.4,45.05,45.15,20000.0,209650.0,0.0
20170426,PLX,43.1,44.5,43.1,44.1,1743790.0,43.1,44.5,43.1,44.1,380000.0,187590.0,5500.0
20170427,PLX,44.1,45.9,44.1,45.9,825430.0,44.1,45.9,44.1,45.9,50000.0,16500.0,0.0
20170428,PLX,46.1,47.0,46.1,46.65,781910.0,46.1,47.0,46.1,46.65,80000.0,21300.0,0.0
20170429,PLX,46.375,46.9,46.05,46.7,,,,,,,,
20170430,PLX,46.5125,46.85,46.025,46.725,,,,,,,,
20170431,PLX,46.58125,46.825,46.0125,46.7375,,,,,,,,
20170432,PLX,46.615625,46.8125,46.00625,46.74375,,,,,,,,
20170433,PLX,46.6328125,46.80625,46.003125,46.746875,,,,,,,,
20170434,PLX,46.64140625,46.803125,46.0015625,46.7484375,,,,,,,,
20170435,PLX,46.645703125,46.8015625,46.00078125,46.74921875,,,,,,,,
20170436,PLX,46.6478515625,46.80078125,46.000390625,46.749609375,,,,,,,,
20170437,PLX,46.6489257812,46.800390625,46.0001953125,46.7498046875,,,,,,,,
20170438,PLX,46.6494628906,46.8001953125,46.0000976562,46.7499023438,,,,,,,,
20170439,PLX,46.6497314453,46.8000976562,46.0000488281,46.7499511719,,,,,,,,
20170440,PLX,46.6498657227,46.8000488281,46.0000244141,46.7499755859,,,,,,,,
20170441,PLX,46.6499328613,46.8000244141,46.000012207,46.749987793,,,,,,,,
20170442,PLX,46.6499664307,46.800012207,46.0000061035,46.7499938965,,,,,,,,
20170443,PLX,46.6499832153,46.8000061035,46.0000030518,46.7499969482,,,,,,,,
20170444,PLX,46.6499916077,46.8000030518,46.0000015259,46.7499984741,,,,,,,,
20170445,PLX,46.6499958038,46.8000015259,46.0000007629,46.7499992371,,,,,,,,
20170446,PLX,46.6499979019,46.8000007629,46.0000003815,46.7499996185,,,,,,,,
20170447,PLX,46.649998951,46.8000003815,46.0000001907,46.7499998093,,,,,,,,
20170448,PLX,46.6499994755,46.8000001907,46.0000000954,46.7499999046,,,,,,,,
20170449,PLX,46.6499997377,46.8000000954,46.0000000477,46.7499999523,,,,,,,,
20170450,PLX,46.6499998689,46.8000000477,46.0000000238,46.7499999762,,,,,,,,
20170451,PLX,46.6499999344,46.8000000238,46.0000000119,46.7499999881,,,,,,,,
20170452,PLX,46.6499999672,46.8000000119,46.000000006,46.749999994,,,,,,,,
20170453,PLX,46.6499999836,46.800000006,46.000000003,46.749999997,,,,,,,,
20170454,PLX,46.6499999918,46.800000003,46.0000000015,46.7499999985,,,,,,,,
20170455,PLX,46.6499999959,46.8000000015,46.0000000007,46.7499999993,,,,,,,,
20170456,PLX,46.649999998,46.8000000007,46.0000000004,46.7499999996,,,,,,,,
20170457,PLX,46.649999999,46.8000000004,46.0000000002,46.7499999998,,,,,,,,
20170458,PLX,46.6499999995,46.8000000002,46.0000000001,46.7499999999,,,,,,,,
20170459,PLX,46.6499999997,46.8000000001,46.0,46.75,,,,,,,,
20170460,PLX,46.6499999999,46.8,46.0,46.75,,,,,,,,
20170461,PLX,46.6499999999,46.8,46.0,46.75,,,,,,,,
20170462,PLX,46.65,46.8,46.0,46.75,,,,,,,,
20170463,PLX,46.65,46.8,46.0,46.75,,,,,,,,
20170464,PLX,46.65,46.8,46.0,46.75,,,,,,,,
20170465,PLX,46.65,46.8,46.0,46.75,,,,,,,,
20170466,PLX,46.65,46.8,46.0,46.75,,,,,,,,
