<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100409,PTG,0.05,0.05,0.05,0.05,390.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20100410,PTG,0.05,0.05,0.05,0.055,,,,,,,,
20100411,PTG,0.05,0.05,0.05,0.0575,,,,,,,,
20100412,PTG,0.05,0.05,0.05,0.05875,,,,,,,,
20100413,PTG,0.05,0.05,0.05,0.059375,,,,,,,,
20100414,PTG,0.05,0.05,0.05,0.0596875,,,,,,,,
20100415,PTG,0.05,0.05,0.05,0.05984375,,,,,,,,
20100416,PTG,0.05,0.05,0.05,0.059921875,,,,,,,,
20100417,PTG,0.05,0.05,0.05,0.0599609375,,,,,,,,
20100418,PTG,0.05,0.05,0.05,0.05998046875,,,,,,,,
20100419,PTG,0.05,0.05,0.05,0.059990234375,,,,,,,,
20100420,PTG,0.05,0.05,0.05,0.0599951171875,,,,,,,,
20100421,PTG,0.05,0.05,0.05,0.0599975585938,,,,,,,,
20100422,PTG,0.05,0.05,0.05,0.0599987792969,,,,,,,,
20100423,PTG,0.05,0.05,0.05,0.0599993896484,,,,,,,,
20100424,PTG,0.05,0.05,0.05,0.0599996948242,,,,,,,,
20100425,PTG,0.05,0.05,0.05,0.0599998474121,,,,,,,,
20100426,PTG,0.05,0.05,0.05,0.0599999237061,,,,,,,,
20100427,PTG,0.05,0.05,0.05,0.059999961853,,,,,,,,
20100428,PTG,0.05,0.05,0.05,0.0599999809265,,,,,,,,
20100429,PTG,0.05,0.05,0.05,0.0599999904633,,,,,,,,
20100430,PTG,0.05,0.05,0.05,0.0599999952316,,,,,,,,
20100431,PTG,0.05,0.05,0.05,0.0599999976158,,,,,,,,
20100432,PTG,0.05,0.05,0.05,0.0599999988079,,,,,,,,
20100433,PTG,0.05,0.05,0.05,0.059999999404,,,,,,,,
20100434,PTG,0.05,0.05,0.05,0.059999999702,,,,,,,,
20100435,PTG,0.05,0.05,0.05,0.059999999851,,,,,,,,
20100436,PTG,0.05,0.05,0.05,0.0599999999255,,,,,,,,
20100437,PTG,0.05,0.05,0.05,0.0599999999627,,,,,,,,
20100438,PTG,0.05,0.05,0.05,0.0599999999814,,,,,,,,
20100439,PTG,0.05,0.05,0.05,0.0599999999907,,,,,,,,
20100440,PTG,0.05,0.05,0.05,0.0599999999953,,,,,,,,
20100441,PTG,0.05,0.05,0.05,0.0599999999977,,,,,,,,
20100442,PTG,0.05,0.05,0.05,0.0599999999988,,,,,,,,
20100443,PTG,0.05,0.05,0.05,0.0599999999994,,,,,,,,
20100444,PTG,0.05,0.05,0.05,0.0599999999997,,,,,,,,
20100445,PTG,0.05,0.05,0.05,0.0599999999999,,,,,,,,
20100446,PTG,0.05,0.05,0.05,0.0599999999999,,,,,,,,
20100447,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100448,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100449,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100450,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100451,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100452,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100453,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100454,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100455,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100456,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100457,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100458,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100459,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100460,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100461,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100462,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100463,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100464,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100465,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100466,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100467,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100468,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100469,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100470,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100471,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100472,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100473,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100474,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100475,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100476,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100477,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100478,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100479,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100480,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100481,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100482,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100483,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100484,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100485,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100486,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100487,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100488,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100489,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100490,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100491,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100492,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100493,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100494,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100495,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100496,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100497,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100498,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100499,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100500,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100501,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100502,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100503,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100504,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100505,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100506,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100507,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100508,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100509,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100510,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100511,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100512,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100513,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100514,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100515,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100516,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100517,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100518,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100519,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100520,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100521,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100522,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100523,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100524,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100525,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100526,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100527,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100528,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100529,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100530,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100531,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100532,PTG,0.05,0.05,0.05,0.06,,,,,,,,
20100533,PTG,0.05,0.05,0.05,0.06,,,,,,,,
