<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100922,PTL,16.53,16.53,16.53,16.53,405890.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
20100923,PTL,15.7,15.7,15.7,15.71,65320.0,19.0,19.0,19.0,19.0,70713.0,0.0,0.0
20100924,PTL,14.97,14.97,14.97,14.96,54320.0,18.1,18.1,18.1,18.1,0.0,0.0,0.0
20100925,PTL,14.595,14.965,14.595,14.88,,,,,,,,
20100926,PTL,14.4075,14.9625,14.4075,14.84,,,,,,,,
20100927,PTL,14.22,14.96,14.22,14.8,1810210.0,17.2,18.1,17.2,17.9,100000.0,0.0,0.0
20100928,PTL,14.88,15.46,14.88,15.21,1222650.0,18.0,18.7,18.0,18.4,0.0,0.0,0.0
20100929,PTL,15.21,15.21,14.55,14.55,272750.0,18.4,18.4,17.6,17.6,200000.0,0.0,6440.0
20100930,PTL,14.47,14.8,14.22,14.47,293220.0,17.5,17.9,17.2,17.5,0.0,0.0,6400.0
20100931,PTL,14.43,14.595,14.015,14.135,,,,,,,,
20100932,PTL,14.41,14.4925,13.9125,13.9675,,,,,,,,
20100933,PTL,14.4,14.44125,13.86125,13.88375,,,,,,,,
20100934,PTL,14.395,14.415625,13.835625,13.841875,,,,,,,,
20100935,PTL,14.3925,14.4028125,13.8228125,13.8209375,,,,,,,,
20100936,PTL,14.39125,14.39640625,13.81640625,13.81046875,,,,,,,,
20100937,PTL,14.390625,14.393203125,13.813203125,13.805234375,,,,,,,,
20100938,PTL,14.3903125,14.3916015625,13.8116015625,13.8026171875,,,,,,,,
20100939,PTL,14.39015625,14.3908007813,13.8108007813,13.8013085938,,,,,,,,
20100940,PTL,14.390078125,14.3904003906,13.8104003906,13.8006542969,,,,,,,,
20100941,PTL,14.3900390625,14.3902001953,13.8102001953,13.8003271484,,,,,,,,
20100942,PTL,14.3900195313,14.3901000977,13.8101000977,13.8001635742,,,,,,,,
20100943,PTL,14.3900097656,14.3900500488,13.8100500488,13.8000817871,,,,,,,,
20100944,PTL,14.3900048828,14.3900250244,13.8100250244,13.8000408936,,,,,,,,
20100945,PTL,14.3900024414,14.3900125122,13.8100125122,13.8000204468,,,,,,,,
20100946,PTL,14.3900012207,14.3900062561,13.8100062561,13.8000102234,,,,,,,,
20100947,PTL,14.3900006104,14.3900031281,13.8100031281,13.8000051117,,,,,,,,
20100948,PTL,14.3900003052,14.390001564,13.810001564,13.8000025558,,,,,,,,
20100949,PTL,14.3900001526,14.390000782,13.810000782,13.8000012779,,,,,,,,
20100950,PTL,14.3900000763,14.390000391,13.810000391,13.800000639,,,,,,,,
20100951,PTL,14.3900000381,14.3900001955,13.8100001955,13.8000003195,,,,,,,,
20100952,PTL,14.3900000191,14.3900000978,13.8100000978,13.8000001597,,,,,,,,
20100953,PTL,14.3900000095,14.3900000489,13.8100000489,13.8000000799,,,,,,,,
20100954,PTL,14.3900000048,14.3900000244,13.8100000244,13.8000000399,,,,,,,,
20100955,PTL,14.3900000024,14.3900000122,13.8100000122,13.80000002,,,,,,,,
20100956,PTL,14.3900000012,14.3900000061,13.8100000061,13.80000001,,,,,,,,
20100957,PTL,14.3900000006,14.3900000031,13.8100000031,13.800000005,,,,,,,,
20100958,PTL,14.3900000003,14.3900000015,13.8100000015,13.8000000025,,,,,,,,
20100959,PTL,14.3900000001,14.3900000008,13.8100000008,13.8000000012,,,,,,,,
20100960,PTL,14.3900000001,14.3900000004,13.8100000004,13.8000000006,,,,,,,,
20100961,PTL,14.39,14.3900000002,13.8100000002,13.8000000003,,,,,,,,
