<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20091210,PTP,15.85,15.85,15.85,15.85,100.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
20091211,PTP,15.06,15.06,15.06,15.055,,,,,,,,
20091212,PTP,14.665,14.665,14.665,14.6575,,,,,,,,
20091213,PTP,14.4675,14.4675,14.4675,14.45875,,,,,,,,
20091214,PTP,14.36875,14.36875,14.36875,14.359375,,,,,,,,
20091215,PTP,14.319375,14.319375,14.319375,14.3096875,,,,,,,,
20091216,PTP,14.2946875,14.2946875,14.2946875,14.28484375,,,,,,,,
20091217,PTP,14.28234375,14.28234375,14.28234375,14.272421875,,,,,,,,
20091218,PTP,14.276171875,14.276171875,14.276171875,14.2662109375,,,,,,,,
20091219,PTP,14.2730859375,14.2730859375,14.2730859375,14.2631054687,,,,,,,,
20091220,PTP,14.2715429687,14.2715429687,14.2715429687,14.2615527344,,,,,,,,
20091221,PTP,14.2707714844,14.2707714844,14.2707714844,14.2607763672,,,,,,,,
20091222,PTP,14.2703857422,14.2703857422,14.2703857422,14.2603881836,,,,,,,,
20091223,PTP,14.2701928711,14.2701928711,14.2701928711,14.2601940918,,,,,,,,
20091224,PTP,14.27,14.27,14.27,14.26,10.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0
20091225,PTP,12.87,12.87,12.87,12.87,10.0,20.3,20.3,20.3,20.3,0.0,0.0,0.0
20091226,PTP,13.505,13.505,12.235,12.235,,,,,,,,
20091227,PTP,13.8225,13.8225,11.9175,11.9175,,,,,,,,
20091228,PTP,14.14,14.14,11.6,11.6,23.0,22.3,22.3,18.3,18.3,0.0,0.0,0.0
20091229,PTP,12.965,12.965,11.695,11.695,,,,,,,,
20091230,PTP,11.79,11.79,11.79,11.79,10.0,18.6,18.6,18.6,18.6,0.0,0.0,0.0
20091231,PTP,10.65,10.65,10.65,10.65,10.0,16.8,16.8,16.8,16.8,0.0,0.0,0.0
20091232,PTP,10.145,10.145,10.145,10.145,,,,,,,,
20091233,PTP,9.8925,9.8925,9.8925,9.8925,,,,,,,,
20091234,PTP,9.76625,9.76625,9.76625,9.76625,,,,,,,,
20091235,PTP,9.703125,9.703125,9.703125,9.703125,,,,,,,,
20091236,PTP,9.6715625,9.6715625,9.6715625,9.6715625,,,,,,,,
20091237,PTP,9.65578125,9.65578125,9.65578125,9.65578125,,,,,,,,
20091238,PTP,9.647890625,9.647890625,9.647890625,9.647890625,,,,,,,,
20091239,PTP,9.6439453125,9.6439453125,9.6439453125,9.6439453125,,,,,,,,
20091240,PTP,9.64197265625,9.64197265625,9.64197265625,9.64197265625,,,,,,,,
20091241,PTP,9.64098632813,9.64098632813,9.64098632813,9.64098632813,,,,,,,,
20091242,PTP,9.64049316406,9.64049316406,9.64049316406,9.64049316406,,,,,,,,
20091243,PTP,9.64024658203,9.64024658203,9.64024658203,9.64024658203,,,,,,,,
20091244,PTP,9.64012329102,9.64012329102,9.64012329102,9.64012329102,,,,,,,,
20091245,PTP,9.64006164551,9.64006164551,9.64006164551,9.64006164551,,,,,,,,
20091246,PTP,9.64003082275,9.64003082275,9.64003082275,9.64003082275,,,,,,,,
20091247,PTP,9.64001541138,9.64001541138,9.64001541138,9.64001541138,,,,,,,,
20091248,PTP,9.64000770569,9.64000770569,9.64000770569,9.64000770569,,,,,,,,
20091249,PTP,9.64000385284,9.64000385284,9.64000385284,9.64000385284,,,,,,,,
20091250,PTP,9.64000192642,9.64000192642,9.64000192642,9.64000192642,,,,,,,,
20091251,PTP,9.64000096321,9.64000096321,9.64000096321,9.64000096321,,,,,,,,
20091252,PTP,9.64000048161,9.64000048161,9.64000048161,9.64000048161,,,,,,,,
20091253,PTP,9.6400002408,9.6400002408,9.6400002408,9.6400002408,,,,,,,,
20091254,PTP,9.6400001204,9.6400001204,9.6400001204,9.6400001204,,,,,,,,
20091255,PTP,9.6400000602,9.6400000602,9.6400000602,9.6400000602,,,,,,,,
20091256,PTP,9.6400000301,9.6400000301,9.6400000301,9.6400000301,,,,,,,,
