<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20081103,PVF,18.04,18.04,18.04,18.04,153460.0,24.0,24.0,24.0,24.0,0.0,2580.0,0.0
20081104,PVF,17.14,18.64,17.14,17.14,2334610.0,22.8,24.8,22.8,22.8,200000.0,41160.0,0.0
20081105,PVF,17.97,17.97,17.82,17.96,1099080.0,23.9,23.9,23.7,23.9,0.0,5080.0,0.0
20081106,PVF,17.96,18.79,17.28,18.49,1227160.0,23.9,25.0,23.0,24.6,0.0,3130.0,0.0
20081107,PVF,17.59,18.49,17.59,17.59,483660.0,23.4,24.6,23.4,23.4,0.0,5450.0,0.0
20081108,PVF,17.365,18.19,17.25,17.325,,,,,,,,
20081109,PVF,17.2525,18.04,17.08,17.1925,,,,,,,,
20081110,PVF,17.14,17.89,16.91,17.06,575330.0,22.8,23.8,22.5,22.7,0.0,8210.0,0.0
20081111,PVF,16.23,16.38,16.23,16.24,323970.0,21.6,21.8,21.6,21.6,0.0,12200.0,4150.0
20081112,PVF,15.49,15.49,15.49,15.48,215980.0,20.6,20.6,20.6,20.6,0.0,10100.0,0.0
20081113,PVF,14.73,15.48,14.73,14.96,756410.0,19.6,20.6,19.6,19.9,0.0,100.0,15850.0
20081114,PVF,15.64,15.64,15.19,15.63,623070.0,20.8,20.8,20.2,20.8,20000.0,13430.0,0.0
20081115,PVF,15.41,15.595,15.07,15.405,,,,,,,,
20081116,PVF,15.295,15.5725,15.01,15.2925,,,,,,,,
20081117,PVF,15.18,15.55,14.95,15.18,323440.0,20.2,20.7,19.9,20.2,0.0,700.0,0.0
20081118,PVF,14.65,15.03,14.65,14.81,215310.0,19.5,20.0,19.5,19.7,0.0,100.0,0.0
20081119,PVF,15.04,15.04,14.51,14.51,252630.0,20.0,20.0,19.3,19.3,0.0,1300.0,0.0
20081120,PVF,13.83,13.98,13.83,13.83,401190.0,18.4,18.6,18.4,18.4,20000.0,1590.0,0.0
20081121,PVF,13.15,13.53,13.15,13.15,486360.0,17.5,18.0,17.5,17.5,0.0,100.0,0.0
20081122,PVF,12.96,13.225,12.85,12.85,,,,,,,,
20081123,PVF,12.865,13.0725,12.7,12.7,,,,,,,,
20081124,PVF,12.77,12.92,12.55,12.55,396980.0,17.0,17.2,16.7,16.7,0.0,4600.0,0.0
20081125,PVF,12.55,12.55,12.17,12.55,296360.0,16.7,16.7,16.2,16.7,40000.0,100.0,2000.0
20081126,PVF,12.17,12.17,11.95,11.95,305420.0,16.2,16.2,15.9,15.9,0.0,100.0,0.0
20081127,PVF,11.65,11.95,11.42,11.43,225510.0,15.5,15.9,15.2,15.2,0.0,100.0,0.0
20081128,PVF,11.81,11.96,11.81,11.95,222410.0,15.7,15.9,15.7,15.9,0.0,43000.0,4000.0
20081129,PVF,11.955,12.22,11.69,12.175,,,,,,,,
20081130,PVF,12.0275,12.35,11.63,12.2875,,,,,,,,
20081131,PVF,12.06375,12.415,11.6,12.34375,,,,,,,,
20081132,PVF,12.081875,12.4475,11.585,12.371875,,,,,,,,
20081133,PVF,12.0909375,12.46375,11.5775,12.3859375,,,,,,,,
20081134,PVF,12.09546875,12.471875,11.57375,12.39296875,,,,,,,,
20081135,PVF,12.097734375,12.4759375,11.571875,12.396484375,,,,,,,,
20081136,PVF,12.0988671875,12.47796875,11.5709375,12.3982421875,,,,,,,,
20081137,PVF,12.0994335937,12.478984375,11.57046875,12.3991210938,,,,,,,,
20081138,PVF,12.0997167969,12.4794921875,11.570234375,12.3995605469,,,,,,,,
20081139,PVF,12.0998583984,12.4797460938,11.5701171875,12.3997802734,,,,,,,,
20081140,PVF,12.0999291992,12.4798730469,11.5700585937,12.3998901367,,,,,,,,
20081141,PVF,12.0999645996,12.4799365234,11.5700292969,12.3999450684,,,,,,,,
20081142,PVF,12.0999822998,12.4799682617,11.5700146484,12.3999725342,,,,,,,,
20081143,PVF,12.0999911499,12.4799841309,11.5700073242,12.3999862671,,,,,,,,
20081144,PVF,12.099995575,12.4799920654,11.5700036621,12.3999931335,,,,,,,,
20081145,PVF,12.0999977875,12.4799960327,11.5700018311,12.3999965668,,,,,,,,
20081146,PVF,12.0999988937,12.4799980164,11.5700009155,12.3999982834,,,,,,,,
20081147,PVF,12.0999994469,12.4799990082,11.5700004578,12.3999991417,,,,,,,,
20081148,PVF,12.0999997234,12.4799995041,11.5700002289,12.3999995708,,,,,,,,
20081149,PVF,12.0999998617,12.479999752,11.5700001144,12.3999997854,,,,,,,,
20081150,PVF,12.0999999309,12.479999876,11.5700000572,12.3999998927,,,,,,,,
20081151,PVF,12.0999999654,12.479999938,11.5700000286,12.3999999464,,,,,,,,
20081152,PVF,12.0999999827,12.479999969,11.5700000143,12.3999999732,,,,,,,,
20081153,PVF,12.0999999914,12.4799999845,11.5700000072,12.3999999866,,,,,,,,
20081154,PVF,12.0999999957,12.4799999923,11.5700000036,12.3999999933,,,,,,,,
20081155,PVF,12.0999999978,12.4799999961,11.5700000018,12.3999999966,,,,,,,,
20081156,PVF,12.0999999989,12.4799999981,11.5700000009,12.3999999983,,,,,,,,
20081157,PVF,12.0999999995,12.479999999,11.5700000004,12.3999999992,,,,,,,,
20081158,PVF,12.0999999997,12.4799999995,11.5700000002,12.3999999996,,,,,,,,
20081159,PVF,12.0999999999,12.4799999998,11.5700000001,12.3999999998,,,,,,,,
20081160,PVF,12.0999999999,12.4799999999,11.5700000001,12.3999999999,,,,,,,,
20081161,PVF,12.1,12.4799999999,11.57,12.3999999999,,,,,,,,
20081162,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081163,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081164,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081165,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081166,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081167,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081168,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081169,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081170,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081171,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081172,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081173,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081174,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081175,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081176,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081177,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081178,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081179,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081180,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081181,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081182,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081183,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081184,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081185,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081186,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081187,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081188,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081189,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081190,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081191,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081192,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081193,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081194,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081195,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081196,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081197,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081198,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081199,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081200,PVF,12.1,12.48,11.57,12.4,,,,,,,,
20081201,PVF,12.1,12.48,11.57,12.4,555620.0,16.1,16.6,15.4,16.5,0.0,83000.0,7000.0
20081202,PVF,12.02,12.17,11.95,11.95,268370.0,16.0,16.2,15.9,15.9,50000.0,1200.0,0.0
20081203,PVF,12.1,12.1,11.87,12.1,252390.0,16.1,16.1,15.8,16.1,0.0,0.0,0.0
20081204,PVF,12.1,12.7,12.1,12.63,553760.0,16.1,16.9,16.1,16.8,0.0,0.0,0.0
20081205,PVF,12.33,12.33,12.03,12.1,198710.0,16.4,16.4,16.0,16.1,0.0,0.0,0.0
20081206,PVF,12.025,12.025,11.765,11.8,,,,,,,,
20081207,PVF,11.8725,11.8725,11.6325,11.65,,,,,,,,
20081208,PVF,11.72,11.72,11.5,11.5,322750.0,15.6,15.6,15.3,15.3,0.0,0.0,0.0
