<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100415,PVL,46.0,46.0,20.0,31.6,3387100.0,46.0,46.0,20.0,31.6,0.0,1400.0,0.0
20100416,PVL,30.5,31.3,30.5,31.3,197300.0,30.5,31.3,30.5,31.3,0.0,1000.0,0.0
20100417,PVL,31.95,32.35,31.95,32.35,,,,,,,,
20100418,PVL,32.675,32.875,32.675,32.875,,,,,,,,
20100419,PVL,33.4,33.4,33.4,33.4,274700.0,33.4,33.4,33.4,33.4,0.0,0.0,0.0
20100420,PVL,35.7,35.7,34.6,35.7,1923600.0,35.7,35.7,34.6,35.7,0.0,0.0,0.0
20100421,PVL,38.1,38.1,35.2,38.1,3244800.0,38.1,38.1,35.2,38.1,0.0,0.0,1400.0
20100422,PVL,40.2,40.2,35.8,36.2,1211700.0,40.2,40.2,35.8,36.2,0.0,0.0,0.0
20100423,PVL,38.1,38.1,35.3,35.5,,,,,,,,
20100424,PVL,37.05,37.05,35.05,35.15,,,,,,,,
20100425,PVL,36.525,36.525,34.925,34.975,,,,,,,,
20100426,PVL,36.0,36.0,34.8,34.8,1051900.0,36.0,36.0,34.8,34.8,0.0,0.0,0.0
20100427,PVL,32.6,35.7,32.5,33.5,2256400.0,32.6,35.7,32.5,33.5,0.0,0.0,0.0
20100428,PVL,32.5,34.5,32.0,33.4,1771900.0,32.5,34.5,32.0,33.4,20000.0,1000.0,0.0
20100429,PVL,33.5,36.0,33.5,36.0,1802000.0,33.5,36.0,33.5,36.0,0.0,100.0,0.0
20100430,PVL,35.75,37.05,35.5,37.05,,,,,,,,
20100431,PVL,36.875,37.575,36.5,37.575,,,,,,,,
20100432,PVL,37.4375,37.8375,37.0,37.8375,,,,,,,,
20100433,PVL,37.71875,37.96875,37.25,37.96875,,,,,,,,
20100434,PVL,37.859375,38.034375,37.375,38.034375,,,,,,,,
20100435,PVL,37.9296875,38.0671875,37.4375,38.0671875,,,,,,,,
20100436,PVL,37.96484375,38.08359375,37.46875,38.08359375,,,,,,,,
20100437,PVL,37.982421875,38.091796875,37.484375,38.091796875,,,,,,,,
20100438,PVL,37.9912109375,38.0958984375,37.4921875,38.0958984375,,,,,,,,
20100439,PVL,37.9956054688,38.0979492188,37.49609375,38.0979492188,,,,,,,,
20100440,PVL,37.9978027344,38.0989746094,37.498046875,38.0989746094,,,,,,,,
20100441,PVL,37.9989013672,38.0994873047,37.4990234375,38.0994873047,,,,,,,,
20100442,PVL,37.9994506836,38.0997436523,37.4995117188,38.0997436523,,,,,,,,
20100443,PVL,37.9997253418,38.0998718262,37.4997558594,38.0998718262,,,,,,,,
20100444,PVL,37.9998626709,38.0999359131,37.4998779297,38.0999359131,,,,,,,,
20100445,PVL,37.9999313354,38.0999679565,37.4999389648,38.0999679565,,,,,,,,
20100446,PVL,37.9999656677,38.0999839783,37.4999694824,38.0999839783,,,,,,,,
20100447,PVL,37.9999828339,38.0999919891,37.4999847412,38.0999919891,,,,,,,,
20100448,PVL,37.9999914169,38.0999959946,37.4999923706,38.0999959946,,,,,,,,
20100449,PVL,37.9999957085,38.0999979973,37.4999961853,38.0999979973,,,,,,,,
20100450,PVL,37.9999978542,38.0999989986,37.4999980927,38.0999989986,,,,,,,,
20100451,PVL,37.9999989271,38.0999994993,37.4999990463,38.0999994993,,,,,,,,
20100452,PVL,37.9999994636,38.0999997497,37.4999995232,38.0999997497,,,,,,,,
20100453,PVL,37.9999997318,38.0999998748,37.4999997616,38.0999998748,,,,,,,,
20100454,PVL,37.9999998659,38.0999999374,37.4999998808,38.0999999374,,,,,,,,
20100455,PVL,37.9999999329,38.0999999687,37.4999999404,38.0999999687,,,,,,,,
20100456,PVL,37.9999999665,38.0999999844,37.4999999702,38.0999999844,,,,,,,,
20100457,PVL,37.9999999832,38.0999999922,37.4999999851,38.0999999922,,,,,,,,
20100458,PVL,37.9999999916,38.0999999961,37.4999999925,38.0999999961,,,,,,,,
20100459,PVL,37.9999999958,38.099999998,37.4999999963,38.099999998,,,,,,,,
20100460,PVL,37.9999999979,38.099999999,37.4999999981,38.099999999,,,,,,,,
20100461,PVL,37.999999999,38.0999999995,37.4999999991,38.0999999995,,,,,,,,
20100462,PVL,37.9999999995,38.0999999998,37.4999999995,38.0999999998,,,,,,,,
