<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090216,QST,5.5,5.88,5.5,5.88,1200.0,19.0,20.3,19.0,20.3,0.0,0.0,0.0
20090217,QST,5.76,5.76,5.76,5.76,200.0,19.9,19.9,19.9,19.9,0.0,0.0,0.0
20090218,QST,5.79,5.79,5.79,5.79,100.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
20090219,QST,5.79,5.79,5.79,5.79,,,,,,,,
20090220,QST,5.79,5.79,5.79,5.79,,,,,,,,
20090221,QST,5.79,5.79,5.79,5.79,,,,,,,,
20090222,QST,5.79,5.79,5.79,5.79,,,,,,,,
20090223,QST,5.79,5.79,5.79,5.79,100.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
20090224,QST,5.935,5.935,5.935,5.935,,,,,,,,
20090225,QST,6.0075,6.0075,6.0075,6.0075,,,,,,,,
20090226,QST,6.08,6.08,6.08,6.08,100.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0
20090227,QST,6.15,6.15,6.15,6.15,,,,,,,,
20090228,QST,6.185,6.185,6.185,6.185,,,,,,,,
20090229,QST,6.2025,6.2025,6.2025,6.2025,,,,,,,,
20090230,QST,6.21125,6.21125,6.21125,6.21125,,,,,,,,
20090231,QST,6.215625,6.215625,6.215625,6.215625,,,,,,,,
20090232,QST,6.2178125,6.2178125,6.2178125,6.2178125,,,,,,,,
20090233,QST,6.21890625,6.21890625,6.21890625,6.21890625,,,,,,,,
20090234,QST,6.219453125,6.219453125,6.219453125,6.219453125,,,,,,,,
20090235,QST,6.2197265625,6.2197265625,6.2197265625,6.2197265625,,,,,,,,
20090236,QST,6.21986328125,6.21986328125,6.21986328125,6.21986328125,,,,,,,,
20090237,QST,6.21993164062,6.21993164062,6.21993164062,6.21993164062,,,,,,,,
20090238,QST,6.21996582031,6.21996582031,6.21996582031,6.21996582031,,,,,,,,
20090239,QST,6.21998291016,6.21998291016,6.21998291016,6.21998291016,,,,,,,,
20090240,QST,6.21999145508,6.21999145508,6.21999145508,6.21999145508,,,,,,,,
20090241,QST,6.21999572754,6.21999572754,6.21999572754,6.21999572754,,,,,,,,
20090242,QST,6.21999786377,6.21999786377,6.21999786377,6.21999786377,,,,,,,,
20090243,QST,6.21999893188,6.21999893188,6.21999893188,6.21999893188,,,,,,,,
20090244,QST,6.21999946594,6.21999946594,6.21999946594,6.21999946594,,,,,,,,
20090245,QST,6.21999973297,6.21999973297,6.21999973297,6.21999973297,,,,,,,,
20090246,QST,6.21999986649,6.21999986649,6.21999986649,6.21999986649,,,,,,,,
20090247,QST,6.21999993324,6.21999993324,6.21999993324,6.21999993324,,,,,,,,
20090248,QST,6.21999996662,6.21999996662,6.21999996662,6.21999996662,,,,,,,,
20090249,QST,6.21999998331,6.21999998331,6.21999998331,6.21999998331,,,,,,,,
20090250,QST,6.21999999166,6.21999999166,6.21999999166,6.21999999166,,,,,,,,
20090251,QST,6.21999999583,6.21999999583,6.21999999583,6.21999999583,,,,,,,,
20090252,QST,6.21999999791,6.21999999791,6.21999999791,6.21999999791,,,,,,,,
20090253,QST,6.21999999896,6.21999999896,6.21999999896,6.21999999896,,,,,,,,
20090254,QST,6.21999999948,6.21999999948,6.21999999948,6.21999999948,,,,,,,,
20090255,QST,6.21999999974,6.21999999974,6.21999999974,6.21999999974,,,,,,,,
20090256,QST,6.21999999987,6.21999999987,6.21999999987,6.21999999987,,,,,,,,
20090257,QST,6.21999999993,6.21999999993,6.21999999993,6.21999999993,,,,,,,,
20090258,QST,6.21999999997,6.21999999997,6.21999999997,6.21999999997,,,,,,,,
20090259,QST,6.21999999998,6.21999999998,6.21999999998,6.21999999998,,,,,,,,
20090260,QST,6.21999999999,6.21999999999,6.21999999999,6.21999999999,,,,,,,,
20090261,QST,6.22,6.22,6.22,6.22,,,,,,,,
20090262,QST,6.22,6.22,6.22,6.22,,,,,,,,
20090263,QST,6.22,6.22,6.22,6.22,,,,,,,,
20090264,QST,6.22,6.22,6.22,6.22,,,,,,,,
20090265,QST,6.22,6.22,6.22,6.22,,,,,,,,
20090266,QST,6.22,6.22,6.22,6.22,,,,,,,,
