<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20080116,S12,119.77,119.77,59.88,77.45,90600.0,150.0,150.0,75.0,97.0,0.0,0.0,0.0
20080117,S12,81.04,81.04,68.99,73.46,40700.0,101.5,101.5,86.4,92.0,0.0,0.0,0.0
20080118,S12,67.07,71.86,67.07,70.67,42100.0,84.0,90.0,84.0,88.5,0.0,0.0,0.0
20080119,S12,69.47,71.865,67.51,70.03,,,,,,,,
20080120,S12,70.67,71.8675,67.73,69.71,,,,,,,,
20080121,S12,71.87,71.87,67.95,69.39,7700.0,90.0,90.0,85.1,86.9,0.0,100.0,0.0
20080122,S12,66.28,76.74,66.28,76.74,91200.0,83.0,96.1,83.0,96.1,0.0,0.0,0.0
20080123,S12,78.82,78.82,71.87,75.86,60100.0,98.7,98.7,90.0,95.0,0.0,0.0,0.0
20080124,S12,78.26,79.85,72.19,72.18,17500.0,98.0,100.0,90.4,90.4,0.0,0.0,0.0
20080125,S12,72.66,74.26,71.86,73.86,17900.0,91.0,93.0,90.0,92.5,0.0,0.0,0.0
20080126,S12,72.9,73.86,70.265,72.065,,,,,,,,
20080127,S12,73.02,73.66,69.4675,71.1675,,,,,,,,
20080128,S12,73.14,73.46,68.67,70.27,10900.0,91.6,92.0,86.0,88.0,0.0,0.0,0.0
20080129,S12,69.47,74.26,69.47,71.86,21600.0,87.0,93.0,87.0,90.0,0.0,0.0,0.0
20080130,S12,74.65,78.89,71.94,75.06,21100.0,93.5,98.8,90.1,94.0,0.0,0.0,0.0
20080131,S12,74.66,75.06,69.47,72.26,13600.0,93.5,94.0,87.0,90.5,0.0,0.0,0.0
20080132,S12,74.06,74.46,69.865,72.06,,,,,,,,
20080133,S12,73.76,74.16,70.0625,71.96,,,,,,,,
20080134,S12,73.61,74.01,70.16125,71.91,,,,,,,,
20080135,S12,73.535,73.935,70.210625,71.885,,,,,,,,
20080136,S12,73.4975,73.8975,70.2353125,71.8725,,,,,,,,
20080137,S12,73.47875,73.87875,70.24765625,71.86625,,,,,,,,
20080138,S12,73.469375,73.869375,70.253828125,71.863125,,,,,,,,
20080139,S12,73.4646875,73.8646875,70.2569140625,71.8615625,,,,,,,,
20080140,S12,73.46234375,73.86234375,70.2584570313,71.86078125,,,,,,,,
20080141,S12,73.461171875,73.861171875,70.2592285156,71.860390625,,,,,,,,
20080142,S12,73.4605859375,73.8605859375,70.2596142578,71.8601953125,,,,,,,,
20080143,S12,73.4602929687,73.8602929688,70.2598071289,71.8600976562,,,,,,,,
20080144,S12,73.4601464844,73.8601464844,70.2599035645,71.8600488281,,,,,,,,
20080145,S12,73.4600732422,73.8600732422,70.2599517822,71.8600244141,,,,,,,,
20080146,S12,73.4600366211,73.8600366211,70.2599758911,71.860012207,,,,,,,,
20080147,S12,73.4600183105,73.8600183105,70.2599879456,71.8600061035,,,,,,,,
20080148,S12,73.4600091553,73.8600091553,70.2599939728,71.8600030518,,,,,,,,
20080149,S12,73.4600045776,73.8600045776,70.2599969864,71.8600015259,,,,,,,,
20080150,S12,73.4600022888,73.8600022888,70.2599984932,71.8600007629,,,,,,,,
20080151,S12,73.4600011444,73.8600011444,70.2599992466,71.8600003815,,,,,,,,
20080152,S12,73.4600005722,73.8600005722,70.2599996233,71.8600001907,,,,,,,,
20080153,S12,73.4600002861,73.8600002861,70.2599998116,71.8600000954,,,,,,,,
20080154,S12,73.4600001431,73.8600001431,70.2599999058,71.8600000477,,,,,,,,
20080155,S12,73.4600000715,73.8600000715,70.2599999529,71.8600000238,,,,,,,,
20080156,S12,73.4600000358,73.8600000358,70.2599999765,71.8600000119,,,,,,,,
20080157,S12,73.4600000179,73.8600000179,70.2599999882,71.860000006,,,,,,,,
20080158,S12,73.4600000089,73.8600000089,70.2599999941,71.860000003,,,,,,,,
20080159,S12,73.4600000045,73.8600000045,70.2599999971,71.8600000015,,,,,,,,
20080160,S12,73.4600000022,73.8600000022,70.2599999985,71.8600000007,,,,,,,,
20080161,S12,73.4600000011,73.8600000011,70.2599999993,71.8600000004,,,,,,,,
20080162,S12,73.4600000006,73.8600000006,70.2599999996,71.8600000002,,,,,,,,
20080163,S12,73.4600000003,73.8600000003,70.2599999998,71.8600000001,,,,,,,,
20080164,S12,73.4600000001,73.8600000001,70.2599999999,71.86,,,,,,,,
20080165,S12,73.4600000001,73.8600000001,70.26,71.86,,,,,,,,
20080166,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080167,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080168,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080169,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080170,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080171,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080172,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080173,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080174,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080175,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080176,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080177,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080178,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080179,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080180,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080181,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080182,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080183,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080184,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080185,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080186,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080187,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080188,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080189,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080190,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080191,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080192,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080193,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080194,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080195,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080196,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080197,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080198,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080199,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080200,S12,73.46,73.86,70.26,71.86,,,,,,,,
20080201,S12,73.46,73.86,70.26,71.86,22100.0,92.0,92.5,88.0,90.0,0.0,1000.0,0.0
20080202,S12,73.46,73.66,70.46,71.265,,,,,,,,
20080203,S12,73.46,73.56,70.56,70.9675,,,,,,,,
