<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100917,SCO,2.08,2.08,2.08,2.08,500.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0
20100918,SCO,2.165,2.165,2.165,2.165,,,,,,,,
20100919,SCO,2.2075,2.2075,2.2075,2.2075,,,,,,,,
20100920,SCO,2.22875,2.22875,2.22875,2.22875,,,,,,,,
20100921,SCO,2.239375,2.239375,2.239375,2.239375,,,,,,,,
20100922,SCO,2.2446875,2.2446875,2.2446875,2.2446875,,,,,,,,
20100923,SCO,2.24734375,2.24734375,2.24734375,2.24734375,,,,,,,,
20100924,SCO,2.248671875,2.248671875,2.248671875,2.248671875,,,,,,,,
20100925,SCO,2.2493359375,2.2493359375,2.2493359375,2.2493359375,,,,,,,,
20100926,SCO,2.24966796875,2.24966796875,2.24966796875,2.24966796875,,,,,,,,
20100927,SCO,2.25,2.25,2.25,2.25,100.0,2.7,2.7,2.7,2.7,0.0,0.0,0.0
20100928,SCO,2.42,2.42,2.42,2.41,100.0,2.9,2.9,2.9,2.9,0.0,0.0,0.0
20100929,SCO,2.58,2.58,2.58,2.58,100.0,3.1,3.1,3.1,3.1,0.0,0.0,0.0
20100930,SCO,2.83,2.83,2.83,2.83,15600.0,3.4,3.4,3.4,3.4,0.0,0.0,0.0
20100931,SCO,2.955,2.955,2.955,2.955,,,,,,,,
20100932,SCO,3.0175,3.0175,3.0175,3.0175,,,,,,,,
20100933,SCO,3.04875,3.04875,3.04875,3.04875,,,,,,,,
20100934,SCO,3.064375,3.064375,3.064375,3.064375,,,,,,,,
20100935,SCO,3.0721875,3.0721875,3.0721875,3.0721875,,,,,,,,
20100936,SCO,3.07609375,3.07609375,3.07609375,3.07609375,,,,,,,,
20100937,SCO,3.078046875,3.078046875,3.078046875,3.078046875,,,,,,,,
20100938,SCO,3.0790234375,3.0790234375,3.0790234375,3.0790234375,,,,,,,,
20100939,SCO,3.07951171875,3.07951171875,3.07951171875,3.07951171875,,,,,,,,
20100940,SCO,3.07975585938,3.07975585938,3.07975585938,3.07975585938,,,,,,,,
20100941,SCO,3.07987792969,3.07987792969,3.07987792969,3.07987792969,,,,,,,,
20100942,SCO,3.07993896484,3.07993896484,3.07993896484,3.07993896484,,,,,,,,
20100943,SCO,3.07996948242,3.07996948242,3.07996948242,3.07996948242,,,,,,,,
20100944,SCO,3.07998474121,3.07998474121,3.07998474121,3.07998474121,,,,,,,,
20100945,SCO,3.07999237061,3.07999237061,3.07999237061,3.07999237061,,,,,,,,
20100946,SCO,3.0799961853,3.0799961853,3.0799961853,3.0799961853,,,,,,,,
20100947,SCO,3.07999809265,3.07999809265,3.07999809265,3.07999809265,,,,,,,,
20100948,SCO,3.07999904633,3.07999904633,3.07999904633,3.07999904633,,,,,,,,
20100949,SCO,3.07999952316,3.07999952316,3.07999952316,3.07999952316,,,,,,,,
20100950,SCO,3.07999976158,3.07999976158,3.07999976158,3.07999976158,,,,,,,,
20100951,SCO,3.07999988079,3.07999988079,3.07999988079,3.07999988079,,,,,,,,
20100952,SCO,3.0799999404,3.0799999404,3.0799999404,3.0799999404,,,,,,,,
20100953,SCO,3.0799999702,3.0799999702,3.0799999702,3.0799999702,,,,,,,,
20100954,SCO,3.0799999851,3.0799999851,3.0799999851,3.0799999851,,,,,,,,
20100955,SCO,3.07999999255,3.07999999255,3.07999999255,3.07999999255,,,,,,,,
