<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110422,SDV,11.4,11.4,8.56,8.56,600.0,22.5,22.5,16.9,16.9,0.0,0.0,0.0
20110423,SDV,10.64,10.64,9.22,9.215,,,,,,,,
20110424,SDV,10.26,10.26,9.55,9.5425,,,,,,,,
20110425,SDV,10.07,10.07,9.715,9.70625,,,,,,,,
20110426,SDV,9.975,9.975,9.7975,9.788125,,,,,,,,
20110427,SDV,9.9275,9.9275,9.83875,9.8290625,,,,,,,,
20110428,SDV,9.90375,9.90375,9.859375,9.84953125,,,,,,,,
20110429,SDV,9.891875,9.891875,9.8696875,9.859765625,,,,,,,,
20110430,SDV,9.8859375,9.8859375,9.87484375,9.8648828125,,,,,,,,
20110431,SDV,9.88296875,9.88296875,9.877421875,9.86744140625,,,,,,,,
20110432,SDV,9.881484375,9.881484375,9.8787109375,9.86872070312,,,,,,,,
20110433,SDV,9.8807421875,9.8807421875,9.87935546875,9.86936035156,,,,,,,,
20110434,SDV,9.88037109375,9.88037109375,9.87967773438,9.86968017578,,,,,,,,
20110435,SDV,9.88018554688,9.88018554688,9.87983886719,9.86984008789,,,,,,,,
20110436,SDV,9.88009277344,9.88009277344,9.87991943359,9.86992004395,,,,,,,,
20110437,SDV,9.88004638672,9.88004638672,9.8799597168,9.86996002197,,,,,,,,
20110438,SDV,9.88002319336,9.88002319336,9.8799798584,9.86998001099,,,,,,,,
20110439,SDV,9.88001159668,9.88001159668,9.8799899292,9.86999000549,,,,,,,,
20110440,SDV,9.88000579834,9.88000579834,9.8799949646,9.86999500275,,,,,,,,
20110441,SDV,9.88000289917,9.88000289917,9.8799974823,9.86999750137,,,,,,,,
20110442,SDV,9.88000144958,9.88000144958,9.87999874115,9.86999875069,,,,,,,,
20110443,SDV,9.88000072479,9.88000072479,9.87999937057,9.86999937534,,,,,,,,
20110444,SDV,9.8800003624,9.8800003624,9.87999968529,9.86999968767,,,,,,,,
20110445,SDV,9.8800001812,9.8800001812,9.87999984264,9.86999984384,,,,,,,,
20110446,SDV,9.8800000906,9.8800000906,9.87999992132,9.86999992192,,,,,,,,
20110447,SDV,9.8800000453,9.8800000453,9.87999996066,9.86999996096,,,,,,,,
