<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20090417,SKS,3.26,3.26,2.27,2.44,21900.0,21.5,21.5,15.0,16.1,0.0,1500.0,0.0
20090418,SKS,2.84,2.84,2.31,2.42,,,,,,,,
20090419,SKS,2.63,2.63,2.33,2.41,,,,,,,,
20090420,SKS,2.42,2.42,2.35,2.4,7900.0,16.0,16.0,15.5,15.8,0.0,0.0,0.0
20090421,SKS,2.46,2.55,2.46,2.55,14000.0,16.2,16.8,16.2,16.8,0.0,2500.0,0.0
20090422,SKS,2.55,2.66,2.55,2.65,4200.0,16.8,17.5,16.8,17.5,0.0,0.0,0.0
20090423,SKS,2.73,2.76,2.73,2.73,15000.0,18.0,18.2,18.0,18.0,0.0,0.0,0.0
20090424,SKS,2.93,2.93,2.7,2.74,15700.0,19.3,19.3,17.8,18.1,0.0,0.0,0.0
20090425,SKS,2.825,2.825,2.66,2.71,,,,,,,,
20090426,SKS,2.7725,2.7725,2.64,2.695,,,,,,,,
20090427,SKS,2.72,2.72,2.62,2.68,27800.0,18.0,18.0,17.3,17.7,0.0,0.0,0.0
20090428,SKS,2.66,2.73,2.66,2.71,27000.0,17.6,18.0,17.6,17.9,0.0,0.0,0.0
20090429,SKS,2.88,2.88,2.8,2.8,12400.0,19.0,19.0,18.5,18.5,0.0,0.0,0.0
20090430,SKS,2.94,2.94,2.89,2.905,,,,,,,,
20090431,SKS,2.97,2.97,2.935,2.9575,,,,,,,,
20090432,SKS,2.985,2.985,2.9575,2.98375,,,,,,,,
20090433,SKS,2.9925,2.9925,2.96875,2.996875,,,,,,,,
20090434,SKS,2.99625,2.99625,2.974375,3.0034375,,,,,,,,
20090435,SKS,2.998125,2.998125,2.9771875,3.00671875,,,,,,,,
20090436,SKS,2.9990625,2.9990625,2.97859375,3.008359375,,,,,,,,
20090437,SKS,2.99953125,2.99953125,2.979296875,3.0091796875,,,,,,,,
20090438,SKS,2.999765625,2.999765625,2.9796484375,3.00958984375,,,,,,,,
20090439,SKS,2.9998828125,2.9998828125,2.97982421875,3.00979492187,,,,,,,,
20090440,SKS,2.99994140625,2.99994140625,2.97991210938,3.00989746094,,,,,,,,
20090441,SKS,2.99997070313,2.99997070313,2.97995605469,3.00994873047,,,,,,,,
20090442,SKS,2.99998535156,2.99998535156,2.97997802734,3.00997436523,,,,,,,,
20090443,SKS,2.99999267578,2.99999267578,2.97998901367,3.00998718262,,,,,,,,
20090444,SKS,2.99999633789,2.99999633789,2.97999450684,3.00999359131,,,,,,,,
20090445,SKS,2.99999816895,2.99999816895,2.97999725342,3.00999679565,,,,,,,,
20090446,SKS,2.99999908447,2.99999908447,2.97999862671,3.00999839783,,,,,,,,
20090447,SKS,2.99999954224,2.99999954224,2.97999931335,3.00999919891,,,,,,,,
20090448,SKS,2.99999977112,2.99999977112,2.97999965668,3.00999959946,,,,,,,,
20090449,SKS,2.99999988556,2.99999988556,2.97999982834,3.00999979973,,,,,,,,
20090450,SKS,2.99999994278,2.99999994278,2.97999991417,3.00999989986,,,,,,,,
20090451,SKS,2.99999997139,2.99999997139,2.97999995708,3.00999994993,,,,,,,,
20090452,SKS,2.99999998569,2.99999998569,2.97999997854,3.00999997497,,,,,,,,
20090453,SKS,2.99999999285,2.99999999285,2.97999998927,3.00999998748,,,,,,,,
20090454,SKS,2.99999999642,2.99999999642,2.97999999464,3.00999999374,,,,,,,,
20090455,SKS,2.99999999821,2.99999999821,2.97999999732,3.00999999687,,,,,,,,
20090456,SKS,2.99999999911,2.99999999911,2.97999999866,3.00999999844,,,,,,,,
20090457,SKS,2.99999999955,2.99999999955,2.97999999933,3.00999999922,,,,,,,,
20090458,SKS,2.99999999978,2.99999999978,2.97999999966,3.00999999961,,,,,,,,
20090459,SKS,2.99999999989,2.99999999989,2.97999999983,3.0099999998,,,,,,,,
20090460,SKS,2.99999999994,2.99999999994,2.97999999992,3.0099999999,,,,,,,,
20090461,SKS,2.99999999997,2.99999999997,2.97999999996,3.00999999995,,,,,,,,
20090462,SKS,2.99999999999,2.99999999999,2.97999999998,3.00999999998,,,,,,,,
20090463,SKS,2.99999999999,2.99999999999,2.97999999999,3.00999999999,,,,,,,,
20090464,SKS,3.0,3.0,2.97999999999,3.00999999999,,,,,,,,
20090465,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090466,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090467,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090468,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090469,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090470,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090471,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090472,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090473,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090474,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090475,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090476,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090477,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090478,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090479,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090480,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090481,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090482,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090483,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090484,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090485,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090486,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090487,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090488,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090489,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090490,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090491,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090492,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090493,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090494,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090495,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090496,SKS,3.0,3.0,2.98,3.01,,,,,,,,
20090497,SKS,3.0,3.0,2.98,3.01,,,,,,,,
