<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20070828,SSS,31.26,41.43,31.26,38.69,10200.0,40.0,53.0,40.0,49.5,0.0,0.0,0.0
20070829,SSS,39.86,39.86,35.88,35.87,3900.0,51.0,51.0,45.9,45.9,0.0,0.0,0.0
20070830,SSS,35.17,35.17,34.39,34.78,1700.0,45.0,45.0,44.0,44.5,0.0,0.0,0.0
20070831,SSS,34.39,35.17,33.69,33.68,800.0,44.0,45.0,43.1,43.1,0.0,0.0,0.0
20070832,SSS,35.17,35.56,33.645,33.645,,,,,,,,
20070833,SSS,35.56,35.755,33.6225,33.6275,,,,,,,,
20070834,SSS,35.755,35.8525,33.61125,33.61875,,,,,,,,
20070835,SSS,35.8525,35.90125,33.605625,33.614375,,,,,,,,
20070836,SSS,35.90125,35.925625,33.6028125,33.6121875,,,,,,,,
20070837,SSS,35.925625,35.9378125,33.60140625,33.61109375,,,,,,,,
20070838,SSS,35.9378125,35.94390625,33.600703125,33.610546875,,,,,,,,
20070839,SSS,35.94390625,35.946953125,33.6003515625,33.6102734375,,,,,,,,
20070840,SSS,35.946953125,35.9484765625,33.6001757813,33.6101367187,,,,,,,,
20070841,SSS,35.9484765625,35.9492382813,33.6000878906,33.6100683594,,,,,,,,
20070842,SSS,35.9492382813,35.9496191406,33.6000439453,33.6100341797,,,,,,,,
20070843,SSS,35.9496191406,35.9498095703,33.6000219727,33.6100170898,,,,,,,,
20070844,SSS,35.9498095703,35.9499047852,33.6000109863,33.6100085449,,,,,,,,
20070845,SSS,35.9499047852,35.9499523926,33.6000054932,33.6100042725,,,,,,,,
20070846,SSS,35.9499523926,35.9499761963,33.6000027466,33.6100021362,,,,,,,,
20070847,SSS,35.9499761963,35.9499880981,33.6000013733,33.6100010681,,,,,,,,
20070848,SSS,35.9499880981,35.9499940491,33.6000006866,33.6100005341,,,,,,,,
20070849,SSS,35.9499940491,35.9499970245,33.6000003433,33.610000267,,,,,,,,
20070850,SSS,35.9499970245,35.9499985123,33.6000001717,33.6100001335,,,,,,,,
20070851,SSS,35.9499985123,35.9499992561,33.6000000858,33.6100000668,,,,,,,,
20070852,SSS,35.9499992561,35.9499996281,33.6000000429,33.6100000334,,,,,,,,
20070853,SSS,35.9499996281,35.949999814,33.6000000215,33.6100000167,,,,,,,,
20070854,SSS,35.949999814,35.949999907,33.6000000107,33.6100000083,,,,,,,,
20070855,SSS,35.949999907,35.9499999535,33.6000000054,33.6100000042,,,,,,,,
20070856,SSS,35.9499999535,35.9499999768,33.6000000027,33.6100000021,,,,,,,,
20070857,SSS,35.9499999768,35.9499999884,33.6000000013,33.610000001,,,,,,,,
20070858,SSS,35.9499999884,35.9499999942,33.6000000007,33.6100000005,,,,,,,,
20070859,SSS,35.9499999942,35.9499999971,33.6000000003,33.6100000003,,,,,,,,
20070860,SSS,35.9499999971,35.9499999985,33.6000000002,33.6100000001,,,,,,,,
20070861,SSS,35.9499999985,35.9499999993,33.6000000001,33.6100000001,,,,,,,,
20070862,SSS,35.9499999993,35.9499999996,33.6,33.61,,,,,,,,
20070863,SSS,35.9499999996,35.9499999998,33.6,33.61,,,,,,,,
20070864,SSS,35.9499999998,35.9499999999,33.6,33.61,,,,,,,,
20070865,SSS,35.9499999999,35.95,33.6,33.61,,,,,,,,
20070866,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070867,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070868,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070869,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070870,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070871,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070872,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070873,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070874,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070875,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070876,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070877,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070878,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070879,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070880,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070881,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070882,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070883,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070884,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070885,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070886,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070887,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070888,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070889,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070890,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070891,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070892,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070893,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070894,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070895,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070896,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070897,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070898,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070899,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070900,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070901,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070902,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070903,SSS,35.95,35.95,33.6,33.61,,,,,,,,
20070904,SSS,35.95,35.95,33.6,33.61,300.0,46.0,46.0,43.0,43.0,0.0,0.0,0.0
20070905,SSS,35.17,35.33,35.17,35.17,3700.0,45.0,45.2,45.0,45.0,0.0,0.0,0.0
20070906,SSS,35.17,35.17,34.39,34.39,1600.0,45.0,45.0,44.0,44.0,0.0,0.0,0.0
20070907,SSS,34.55,34.78,34.0,34.47,8000.0,44.2,44.5,43.5,44.1,0.0,0.0,0.0
20070908,SSS,34.275,34.39,33.885,34.155,,,,,,,,
20070909,SSS,34.1375,34.195,33.8275,33.9975,,,,,,,,
20070910,SSS,34.0,34.0,33.77,33.84,1400.0,43.5,43.5,43.2,43.3,0.0,0.0,0.0
20070911,SSS,34.39,34.39,34.39,34.39,8000.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0
20070912,SSS,34.78,35.17,34.78,35.09,5300.0,44.5,45.0,44.5,44.9,0.0,0.0,0.0
20070913,SSS,35.56,38.53,35.56,38.53,10400.0,45.5,49.3,45.5,49.3,0.0,0.0,0.0
20070914,SSS,40.48,40.48,38.37,40.48,37400.0,51.8,51.8,49.1,51.8,0.0,3000.0,0.0
20070915,SSS,42.355,42.355,38.72,42.36,,,,,,,,
20070916,SSS,43.2925,43.2925,38.895,43.3,,,,,,,,
20070917,SSS,44.23,44.23,39.07,44.24,29000.0,56.6,56.6,50.0,56.6,0.0,0.0,0.0
20070918,SSS,39.08,47.6,39.08,47.6,5000.0,50.0,60.9,50.0,60.9,0.0,0.0,0.0
20070919,SSS,51.12,51.12,50.02,50.33,39100.0,65.4,65.4,64.0,64.4,0.0,0.0,0.0
20070920,SSS,50.8,50.8,47.67,48.07,18200.0,65.0,65.0,61.0,61.5,0.0,0.0,0.0
20070921,SSS,48.46,48.46,44.47,46.11,9600.0,62.0,62.0,56.9,59.0,0.0,0.0,0.0
20070922,SSS,47.285,47.675,44.12,45.135,,,,,,,,
20070923,SSS,46.6975,47.2825,43.945,44.6475,,,,,,,,
20070924,SSS,46.11,46.89,43.77,44.16,29500.0,59.0,60.0,56.0,56.5,0.0,0.0,0.0
20070925,SSS,46.11,46.9,44.94,46.5,10900.0,59.0,60.0,57.5,59.5,0.0,0.0,0.0
20070926,SSS,46.11,46.11,43.76,43.85,15300.0,59.0,59.0,56.0,56.1,0.0,0.0,0.0
20070927,SSS,43.77,43.85,42.21,42.99,19600.0,56.0,56.1,54.0,55.0,0.0,0.0,0.0
20070928,SSS,45.73,47.05,45.33,47.05,36900.0,58.5,60.2,58.0,60.2,0.0,0.0,0.0
20070929,SSS,48.695,49.355,48.065,49.355,,,,,,,,
20070930,SSS,50.1775,50.5075,49.4325,50.5075,,,,,,,,
20070931,SSS,50.91875,51.08375,50.11625,51.08375,,,,,,,,
20070932,SSS,51.289375,51.371875,50.458125,51.371875,,,,,,,,
20070933,SSS,51.4746875,51.5159375,50.6290625,51.5159375,,,,,,,,
20070934,SSS,51.56734375,51.58796875,50.71453125,51.58796875,,,,,,,,
20070935,SSS,51.613671875,51.623984375,50.757265625,51.623984375,,,,,,,,
20070936,SSS,51.6368359375,51.6419921875,50.7786328125,51.6419921875,,,,,,,,
20070937,SSS,51.6484179687,51.6509960937,50.7893164062,51.6509960937,,,,,,,,
20070938,SSS,51.6542089844,51.6554980469,50.7946582031,51.6554980469,,,,,,,,
20070939,SSS,51.6571044922,51.6577490234,50.7973291016,51.6577490234,,,,,,,,
20070940,SSS,51.6585522461,51.6588745117,50.7986645508,51.6588745117,,,,,,,,
20070941,SSS,51.659276123,51.6594372559,50.7993322754,51.6594372559,,,,,,,,
20070942,SSS,51.6596380615,51.6597186279,50.7996661377,51.6597186279,,,,,,,,
20070943,SSS,51.6598190308,51.659859314,50.7998330688,51.659859314,,,,,,,,
20070944,SSS,51.6599095154,51.659929657,50.7999165344,51.659929657,,,,,,,,
20070945,SSS,51.6599547577,51.6599648285,50.7999582672,51.6599648285,,,,,,,,
20070946,SSS,51.6599773788,51.6599824142,50.7999791336,51.6599824142,,,,,,,,
20070947,SSS,51.6599886894,51.6599912071,50.7999895668,51.6599912071,,,,,,,,
20070948,SSS,51.6599943447,51.6599956036,50.7999947834,51.6599956036,,,,,,,,
20070949,SSS,51.6599971724,51.6599978018,50.7999973917,51.6599978018,,,,,,,,
20070950,SSS,51.6599985862,51.6599989009,50.7999986959,51.6599989009,,,,,,,,
20070951,SSS,51.6599992931,51.6599994504,50.7999993479,51.6599994504,,,,,,,,
20070952,SSS,51.6599996465,51.6599997252,50.799999674,51.6599997252,,,,,,,,
20070953,SSS,51.6599998233,51.6599998626,50.799999837,51.6599998626,,,,,,,,
20070954,SSS,51.6599999116,51.6599999313,50.7999999185,51.6599999313,,,,,,,,
20070955,SSS,51.6599999558,51.6599999657,50.7999999592,51.6599999657,,,,,,,,
20070956,SSS,51.6599999779,51.6599999828,50.7999999796,51.6599999828,,,,,,,,
20070957,SSS,51.659999989,51.6599999914,50.7999999898,51.6599999914,,,,,,,,
20070958,SSS,51.6599999945,51.6599999957,50.7999999949,51.6599999957,,,,,,,,
20070959,SSS,51.6599999972,51.6599999979,50.7999999975,51.6599999979,,,,,,,,
20070960,SSS,51.6599999986,51.6599999989,50.7999999987,51.6599999989,,,,,,,,
20070961,SSS,51.6599999993,51.6599999995,50.7999999994,51.6599999995,,,,,,,,
20070962,SSS,51.6599999997,51.6599999997,50.7999999997,51.6599999997,,,,,,,,
20070963,SSS,51.6599999998,51.6599999999,50.7999999998,51.6599999999,,,,,,,,
20070964,SSS,51.6599999999,51.6599999999,50.7999999999,51.6599999999,,,,,,,,
20070965,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070966,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070967,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070968,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070969,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070970,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070971,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070972,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070973,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070974,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070975,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070976,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070977,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070978,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070979,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070980,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070981,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070982,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070983,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070984,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070985,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070986,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070987,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070988,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070989,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070990,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070991,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070992,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070993,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070994,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070995,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070996,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070997,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070998,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20070999,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20071000,SSS,51.66,51.66,50.8,51.66,,,,,,,,
20071001,SSS,51.66,51.66,50.8,51.66,35200.0,66.1,66.1,65.0,66.1,0.0,0.0,0.0
20071002,SSS,56.74,56.74,52.75,53.15,12900.0,72.6,72.6,67.5,68.0,0.0,0.0,0.0
20071003,SSS,53.15,54.71,53.15,53.93,10000.0,68.0,70.0,68.0,69.0,0.0,0.0,0.0
20071004,SSS,52.37,52.37,50.02,51.58,26300.0,67.0,67.0,64.0,66.0,0.0,0.0,0.0
20071005,SSS,51.58,53.14,50.8,52.36,74100.0,66.0,68.0,65.0,67.0,0.0,0.0,0.0
20071006,SSS,52.36,55.095,51.58,53.535,,,,,,,,
20071007,SSS,52.75,56.0725,51.97,54.1225,,,,,,,,
20071008,SSS,53.14,57.05,52.36,54.71,51900.0,68.0,73.0,67.0,70.0,0.0,0.0,0.0
20071009,SSS,54.71,57.84,54.71,57.05,63200.0,70.0,74.0,70.0,73.0,0.0,0.0,0.0
20071010,SSS,54.71,58.61,54.71,56.27,23300.0,70.0,75.0,70.0,72.0,0.0,0.0,0.0
20071011,SSS,56.27,57.05,55.49,56.9,48400.0,72.0,73.0,71.0,72.8,0.0,0.0,0.0
20071012,SSS,57.06,57.84,56.27,57.68,50600.0,73.0,74.0,72.0,73.8,0.0,0.0,0.0
20071013,SSS,59.95,60.34,57.445,60.26,,,,,,,,
20071014,SSS,61.395,61.59,58.0325,61.55,,,,,,,,
20071015,SSS,62.84,62.84,58.62,62.84,66500.0,80.4,80.4,75.0,80.4,0.0,0.0,0.0
20071016,SSS,68.78,68.78,68.78,68.78,32900.0,88.0,88.0,88.0,88.0,0.0,0.0,0.0
20071017,SSS,75.66,75.66,62.61,70.34,130900.0,96.8,96.8,80.1,90.0,0.0,400.0,0.0
20071018,SSS,68.0,82.69,68.0,71.12,86000.0,87.0,105.8,87.0,91.0,0.0,600.0,0.0
20071019,SSS,70.73,79.17,70.34,79.17,87000.0,90.5,101.3,90.0,101.3,0.0,0.0,0.0
20071020,SSS,77.215,81.435,77.02,81.435,,,,,,,,
20071021,SSS,80.4575,82.5675,80.36,82.5675,,,,,,,,
20071022,SSS,83.7,83.7,83.7,83.7,40800.0,107.1,107.1,107.1,107.1,0.0,0.0,0.0
20071023,SSS,92.06,92.06,87.92,92.07,196600.0,117.8,117.8,112.5,117.8,0.0,5500.0,0.0
20071024,SSS,100.67,100.67,99.26,100.66,61500.0,128.8,128.8,127.0,128.8,0.0,1600.0,0.0
20071025,SSS,110.59,110.59,110.19,110.59,83800.0,141.5,141.5,141.0,141.5,0.0,200.0,0.0
20071026,SSS,121.53,121.61,100.04,105.51,63100.0,155.5,155.6,128.0,135.0,0.0,3000.0,0.0
20071027,SSS,115.475,115.905,99.725,102.46,,,,,,,,
20071028,SSS,112.4475,113.0525,99.5675,100.935,,,,,,,,
20071029,SSS,109.42,110.2,99.41,99.41,54500.0,140.0,141.0,127.2,127.2,0.0,0.0,2000.0
20071030,SSS,90.27,100.27,90.27,91.36,97000.0,115.5,128.3,115.5,116.9,0.0,0.0,0.0
20071031,SSS,89.88,89.88,85.11,87.53,81800.0,115.0,115.0,108.9,112.0,0.0,0.0,0.0
20071032,SSS,89.485,92.845,87.1,91.675,,,,,,,,
20071033,SSS,89.2875,94.3275,88.095,93.7475,,,,,,,,
20071034,SSS,89.18875,95.06875,88.5925,94.78375,,,,,,,,
