<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20111005,SVT,14.05,14.05,14.05,14.05,4110.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0
20111006,SVT,13.39,13.39,13.39,13.39,100.0,16.2,16.2,16.2,16.2,0.0,0.0,0.0
20111007,SVT,13.39,13.39,12.73,12.73,1070.0,16.2,16.2,15.4,15.4,0.0,0.0,0.0
20111008,SVT,12.77,12.77,12.44,12.44,,,,,,,,
20111009,SVT,12.46,12.46,12.295,12.295,,,,,,,,
20111010,SVT,12.15,12.15,12.15,12.15,170.0,14.7,14.7,14.7,14.7,0.0,0.0,0.0
20111011,SVT,11.57,11.57,11.57,11.57,350.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0
20111012,SVT,10.99,10.99,10.99,10.99,510.0,13.3,13.3,13.3,13.3,0.0,0.0,0.0
20111013,SVT,10.49,10.49,10.49,10.5,30.0,12.7,12.7,12.7,12.7,0.0,0.0,0.0
20111014,SVT,10.0,10.0,10.0,10.0,150.0,12.1,12.1,12.1,12.1,0.0,0.0,0.0
20111015,SVT,9.75,9.75,9.75,9.75,,,,,,,,
20111016,SVT,9.625,9.625,9.625,9.625,,,,,,,,
20111017,SVT,9.5,9.5,9.5,9.5,20.0,11.5,11.5,11.5,11.5,0.0,0.0,0.0
20111018,SVT,9.09,9.09,9.09,9.09,20.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0
20111019,SVT,8.68,8.68,8.68,8.68,20.0,10.5,10.5,10.5,10.5,0.0,0.0,0.0
20111020,SVT,8.27,8.27,8.27,8.26,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20111021,SVT,8.26,8.26,7.85,7.85,40.0,10.0,10.0,9.5,9.5,0.0,0.0,0.0
20111022,SVT,7.89,7.89,7.685,7.685,,,,,,,,
20111023,SVT,7.705,7.705,7.6025,7.6025,,,,,,,,
20111024,SVT,7.52,7.52,7.52,7.52,300.0,9.1,9.1,9.1,9.1,0.0,0.0,0.0
20111025,SVT,7.19,7.19,7.19,7.19,2420.0,8.7,8.7,8.7,8.7,0.0,0.0,0.0
20111026,SVT,7.19,7.19,6.86,6.86,70.0,8.7,8.7,8.3,8.3,0.0,0.0,0.0
20111027,SVT,6.53,6.53,6.53,6.53,4070.0,7.9,7.9,7.9,7.9,0.0,0.0,0.0
20111028,SVT,6.53,6.78,6.53,6.78,9540.0,7.9,8.2,7.9,8.2,0.0,0.0,0.0
20111029,SVT,6.655,6.945,6.655,6.945,,,,,,,,
20111030,SVT,6.7175,7.0275,6.7175,7.0275,,,,,,,,
20111031,SVT,6.78,7.11,6.78,7.11,8290.0,8.2,8.6,8.2,8.6,0.0,0.0,0.0
20111032,SVT,7.11,7.275,7.11,7.275,,,,,,,,
20111033,SVT,7.275,7.3575,7.275,7.3575,,,,,,,,
20111034,SVT,7.3575,7.39875,7.3575,7.39875,,,,,,,,
20111035,SVT,7.39875,7.419375,7.39875,7.419375,,,,,,,,
20111036,SVT,7.419375,7.4296875,7.419375,7.4296875,,,,,,,,
20111037,SVT,7.4296875,7.43484375,7.4296875,7.43484375,,,,,,,,
20111038,SVT,7.43484375,7.437421875,7.43484375,7.437421875,,,,,,,,
20111039,SVT,7.437421875,7.4387109375,7.437421875,7.4387109375,,,,,,,,
20111040,SVT,7.4387109375,7.43935546875,7.4387109375,7.43935546875,,,,,,,,
20111041,SVT,7.43935546875,7.43967773437,7.43935546875,7.43967773437,,,,,,,,
20111042,SVT,7.43967773437,7.43983886719,7.43967773437,7.43983886719,,,,,,,,
20111043,SVT,7.43983886719,7.43991943359,7.43983886719,7.43991943359,,,,,,,,
20111044,SVT,7.43991943359,7.4399597168,7.43991943359,7.4399597168,,,,,,,,
20111045,SVT,7.4399597168,7.4399798584,7.4399597168,7.4399798584,,,,,,,,
20111046,SVT,7.4399798584,7.4399899292,7.4399798584,7.4399899292,,,,,,,,
20111047,SVT,7.4399899292,7.4399949646,7.4399899292,7.4399949646,,,,,,,,
20111048,SVT,7.4399949646,7.4399974823,7.4399949646,7.4399974823,,,,,,,,
20111049,SVT,7.4399974823,7.43999874115,7.4399974823,7.43999874115,,,,,,,,
20111050,SVT,7.43999874115,7.43999937057,7.43999874115,7.43999937057,,,,,,,,
20111051,SVT,7.43999937057,7.43999968529,7.43999937057,7.43999968529,,,,,,,,
20111052,SVT,7.43999968529,7.43999984264,7.43999968529,7.43999984264,,,,,,,,
20111053,SVT,7.43999984264,7.43999992132,7.43999984264,7.43999992132,,,,,,,,
20111054,SVT,7.43999992132,7.43999996066,7.43999992132,7.43999996066,,,,,,,,
20111055,SVT,7.43999996066,7.43999998033,7.43999996066,7.43999998033,,,,,,,,
20111056,SVT,7.43999998033,7.43999999017,7.43999998033,7.43999999017,,,,,,,,
20111057,SVT,7.43999999017,7.43999999508,7.43999999017,7.43999999508,,,,,,,,
20111058,SVT,7.43999999508,7.43999999754,7.43999999508,7.43999999754,,,,,,,,
20111059,SVT,7.43999999754,7.43999999877,7.43999999754,7.43999999877,,,,,,,,
20111060,SVT,7.43999999877,7.43999999939,7.43999999877,7.43999999939,,,,,,,,
20111061,SVT,7.43999999939,7.43999999969,7.43999999939,7.43999999969,,,,,,,,
20111062,SVT,7.43999999969,7.43999999985,7.43999999969,7.43999999985,,,,,,,,
20111063,SVT,7.43999999985,7.43999999992,7.43999999985,7.43999999992,,,,,,,,
20111064,SVT,7.43999999992,7.43999999996,7.43999999992,7.43999999996,,,,,,,,
20111065,SVT,7.43999999996,7.43999999998,7.43999999996,7.43999999998,,,,,,,,
20111066,SVT,7.43999999998,7.43999999999,7.43999999998,7.43999999999,,,,,,,,
20111067,SVT,7.43999999999,7.44,7.43999999999,7.44,,,,,,,,
20111068,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111069,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111070,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111071,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111072,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111073,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111074,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111075,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111076,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111077,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111078,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111079,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111080,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111081,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111082,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111083,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111084,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111085,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111086,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111087,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111088,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111089,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111090,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111091,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111092,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111093,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111094,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111095,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111096,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111097,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111098,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111099,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111100,SVT,7.44,7.44,7.44,7.44,,,,,,,,
20111101,SVT,7.44,7.44,7.44,7.44,300.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0
20111102,SVT,7.44,7.77,7.11,7.77,3300.0,9.0,9.4,8.6,9.4,0.0,0.0,0.0
20111103,SVT,7.44,7.77,7.44,7.44,3540.0,9.0,9.4,9.0,9.0,0.0,0.0,0.0
20111104,SVT,7.77,7.77,7.27,7.44,2070.0,9.4,9.4,8.8,9.0,0.0,0.0,0.0
20111105,SVT,7.605,7.605,7.19,7.44,,,,,,,,
20111106,SVT,7.5225,7.5225,7.15,7.44,,,,,,,,
20111107,SVT,7.44,7.44,7.11,7.44,970.0,9.0,9.0,8.6,9.0,0.0,0.0,0.0
20111108,SVT,7.61,7.61,7.61,7.6,10.0,9.2,9.2,9.2,9.2,0.0,0.0,0.0
20111109,SVT,7.6,7.68,7.27,7.69,1110.0,9.2,9.3,8.8,9.3,0.0,0.0,0.0
20111110,SVT,7.61,7.61,7.36,7.36,1110.0,9.2,9.2,8.9,8.9,0.0,0.0,0.0
20111111,SVT,7.03,7.03,7.03,7.02,310.0,8.5,8.5,8.5,8.5,0.0,0.0,0.0
20111112,SVT,7.19,7.19,6.86,7.02,,,,,,,,
20111113,SVT,7.27,7.27,6.775,7.02,,,,,,,,
20111114,SVT,7.35,7.35,6.69,7.02,30.0,8.9,8.9,8.1,8.5,0.0,0.0,0.0
20111115,SVT,7.1,7.1,6.69,7.02,40.0,8.6,8.6,8.1,8.5,0.0,0.0,0.0
20111116,SVT,6.85,6.85,6.69,6.69,1050.0,8.3,8.3,8.1,8.1,0.0,0.0,0.0
20111117,SVT,6.36,6.69,6.36,6.36,990.0,7.7,8.1,7.7,7.7,0.0,0.0,0.0
20111118,SVT,6.11,6.11,6.11,6.12,820.0,7.4,7.4,7.4,7.4,0.0,0.0,0.0
20111119,SVT,5.99,5.99,5.99,5.995,,,,,,,,
20111120,SVT,5.93,5.93,5.93,5.9325,,,,,,,,
20111121,SVT,5.87,5.87,5.87,5.87,200.0,7.1,7.1,7.1,7.1,0.0,0.0,0.0
20111122,SVT,5.62,5.62,5.62,5.62,210.0,6.8,6.8,6.8,6.8,0.0,0.0,0.0
20111123,SVT,5.37,5.37,5.37,5.37,10.0,6.5,6.5,6.5,6.5,0.0,0.0,0.0
20111124,SVT,5.12,5.62,5.12,5.37,350.0,6.2,6.8,6.2,6.5,0.0,0.0,0.0
20111125,SVT,5.45,5.45,5.45,5.45,90.0,6.6,6.6,6.6,6.6,0.0,0.0,0.0
20111126,SVT,5.575,5.575,5.575,5.575,,,,,,,,
20111127,SVT,5.6375,5.6375,5.6375,5.6375,,,,,,,,
20111128,SVT,5.7,5.7,5.7,5.7,10.0,6.9,6.9,6.9,6.9,0.0,0.0,0.0
20111129,SVT,5.95,5.95,5.45,5.87,520.0,7.2,7.2,6.6,7.1,0.0,0.0,0.0
20111130,SVT,6.04,6.04,6.04,6.03,10.0,7.3,7.3,7.3,7.3,0.0,0.0,0.0
20111131,SVT,6.12,6.12,6.12,6.115,,,,,,,,
20111132,SVT,6.16,6.16,6.16,6.1575,,,,,,,,
20111133,SVT,6.18,6.18,6.18,6.17875,,,,,,,,
20111134,SVT,6.19,6.19,6.19,6.189375,,,,,,,,
