<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20101008,TIG,19.21,22.09,19.21,20.58,561200.0,28.0,32.2,28.0,30.0,0.0,0.0,0.0
20101009,TIG,19.55,21.985,19.55,20.82,,,,,,,,
20101010,TIG,19.72,21.9325,19.72,20.94,,,,,,,,
20101011,TIG,19.89,21.88,19.89,21.06,253700.0,29.0,31.9,29.0,30.7,20000.0,4000.0,0.0
20101012,TIG,20.72,20.85,19.76,19.75,362200.0,30.2,30.4,28.8,28.8,0.0,0.0,0.0
20101013,TIG,18.79,19.89,18.58,19.55,130200.0,27.4,29.0,27.1,28.5,100000.0,0.0,15000.0
20101014,TIG,19.82,19.82,18.52,18.86,147800.0,28.9,28.9,27.0,27.5,0.0,0.0,4000.0
20101015,TIG,19.41,19.41,18.04,18.17,105100.0,28.3,28.3,26.3,26.5,0.0,0.0,3000.0
20101016,TIG,18.79,18.96,17.66,17.725,,,,,,,,
20101017,TIG,18.48,18.735,17.47,17.5025,,,,,,,,
20101018,TIG,18.17,18.51,17.28,17.28,217300.0,26.5,27.0,25.2,25.2,0.0,0.0,2000.0
20101019,TIG,17.83,18.1,16.39,16.39,297700.0,26.0,26.4,23.9,23.9,0.0,0.0,0.0
20101020,TIG,15.64,17.21,15.64,17.08,65700.0,22.8,25.1,22.8,24.9,10000.0,0.0,0.0
20101021,TIG,16.39,17.63,16.39,16.94,48500.0,23.9,25.7,23.9,24.7,0.0,0.0,500.0
20101022,TIG,16.87,16.87,16.12,16.8,33300.0,24.6,24.6,23.5,24.5,20000.0,0.0,1500.0
20101023,TIG,16.905,17.075,16.495,17.04,,,,,,,,
20101024,TIG,16.9225,17.1775,16.6825,17.16,,,,,,,,
20101025,TIG,16.94,17.28,16.87,17.28,72100.0,24.7,25.2,24.6,25.2,10000.0,0.0,0.0
20101026,TIG,17.83,18.24,17.55,18.24,86300.0,26.0,26.6,25.6,26.6,0.0,0.0,0.0
20101027,TIG,17.49,18.38,17.14,17.15,71900.0,25.5,26.8,25.0,25.0,0.0,0.0,1000.0
20101028,TIG,17.7,17.77,16.67,16.67,35000.0,25.8,25.9,24.3,24.3,15000.0,0.0,10000.0
20101029,TIG,16.81,17.15,16.53,16.67,49500.0,24.5,25.0,24.1,24.3,10000.0,0.0,13500.0
20101030,TIG,17.15,17.32,16.255,16.325,,,,,,,,
20101031,TIG,17.32,17.405,16.1175,16.1525,,,,,,,,
20101032,TIG,17.405,17.4475,16.04875,16.06625,,,,,,,,
20101033,TIG,17.4475,17.46875,16.014375,16.023125,,,,,,,,
20101034,TIG,17.46875,17.479375,15.9971875,16.0015625,,,,,,,,
20101035,TIG,17.479375,17.4846875,15.98859375,15.99078125,,,,,,,,
20101036,TIG,17.4846875,17.48734375,15.984296875,15.985390625,,,,,,,,
20101037,TIG,17.48734375,17.488671875,15.9821484375,15.9826953125,,,,,,,,
20101038,TIG,17.488671875,17.4893359375,15.9810742188,15.9813476563,,,,,,,,
20101039,TIG,17.4893359375,17.4896679687,15.9805371094,15.9806738281,,,,,,,,
20101040,TIG,17.4896679687,17.4898339844,15.9802685547,15.9803369141,,,,,,,,
20101041,TIG,17.4898339844,17.4899169922,15.9801342773,15.980168457,,,,,,,,
