<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20110324,TIS,10.83,10.83,7.45,8.63,226700.0,13.8,13.8,9.5,11.0,0.0,0.0,0.0
20110325,TIS,9.81,9.81,9.65,9.65,29100.0,12.5,12.5,12.3,12.3,0.0,0.0,0.0
20110326,TIS,9.535,9.575,9.415,9.415,,,,,,,,
20110327,TIS,9.3975,9.4575,9.2975,9.2975,,,,,,,,
20110328,TIS,9.26,9.34,9.18,9.18,55000.0,11.8,11.9,11.7,11.7,0.0,0.0,0.0
20110329,TIS,9.02,9.02,8.4,8.86,64600.0,11.5,11.5,10.7,11.3,0.0,0.0,0.0
20110330,TIS,8.78,9.64,8.0,8.47,43400.0,11.2,12.3,10.2,10.8,0.0,0.0,0.0
20110331,TIS,8.63,8.63,8.47,8.47,700.0,11.0,11.0,10.8,10.8,0.0,0.0,0.0
20110332,TIS,8.785,8.785,8.43,8.43,,,,,,,,
20110333,TIS,8.8625,8.8625,8.41,8.41,,,,,,,,
20110334,TIS,8.90125,8.90125,8.4,8.4,,,,,,,,
20110335,TIS,8.920625,8.920625,8.395,8.395,,,,,,,,
20110336,TIS,8.9303125,8.9303125,8.3925,8.3925,,,,,,,,
20110337,TIS,8.93515625,8.93515625,8.39125,8.39125,,,,,,,,
20110338,TIS,8.937578125,8.937578125,8.390625,8.390625,,,,,,,,
20110339,TIS,8.9387890625,8.9387890625,8.3903125,8.3903125,,,,,,,,
20110340,TIS,8.93939453125,8.93939453125,8.39015625,8.39015625,,,,,,,,
20110341,TIS,8.93969726562,8.93969726562,8.390078125,8.390078125,,,,,,,,
20110342,TIS,8.93984863281,8.93984863281,8.3900390625,8.3900390625,,,,,,,,
20110343,TIS,8.93992431641,8.93992431641,8.39001953125,8.39001953125,,,,,,,,
20110344,TIS,8.9399621582,8.9399621582,8.39000976563,8.39000976563,,,,,,,,
20110345,TIS,8.9399810791,8.9399810791,8.39000488281,8.39000488281,,,,,,,,
20110346,TIS,8.93999053955,8.93999053955,8.39000244141,8.39000244141,,,,,,,,
20110347,TIS,8.93999526978,8.93999526978,8.3900012207,8.3900012207,,,,,,,,
20110348,TIS,8.93999763489,8.93999763489,8.39000061035,8.39000061035,,,,,,,,
20110349,TIS,8.93999881744,8.93999881744,8.39000030518,8.39000030518,,,,,,,,
20110350,TIS,8.93999940872,8.93999940872,8.39000015259,8.39000015259,,,,,,,,
20110351,TIS,8.93999970436,8.93999970436,8.39000007629,8.39000007629,,,,,,,,
20110352,TIS,8.93999985218,8.93999985218,8.39000003815,8.39000003815,,,,,,,,
20110353,TIS,8.93999992609,8.93999992609,8.39000001907,8.39000001907,,,,,,,,
20110354,TIS,8.93999996305,8.93999996305,8.39000000954,8.39000000954,,,,,,,,
20110355,TIS,8.93999998152,8.93999998152,8.39000000477,8.39000000477,,,,,,,,
20110356,TIS,8.93999999076,8.93999999076,8.39000000238,8.39000000238,,,,,,,,
20110357,TIS,8.93999999538,8.93999999538,8.39000000119,8.39000000119,,,,,,,,
20110358,TIS,8.93999999769,8.93999999769,8.3900000006,8.3900000006,,,,,,,,
20110359,TIS,8.93999999885,8.93999999885,8.3900000003,8.3900000003,,,,,,,,
20110360,TIS,8.93999999942,8.93999999942,8.39000000015,8.39000000015,,,,,,,,
20110361,TIS,8.93999999971,8.93999999971,8.39000000007,8.39000000007,,,,,,,,
20110362,TIS,8.93999999986,8.93999999986,8.39000000004,8.39000000004,,,,,,,,
20110363,TIS,8.93999999993,8.93999999993,8.39000000002,8.39000000002,,,,,,,,
20110364,TIS,8.93999999996,8.93999999996,8.39000000001,8.39000000001,,,,,,,,
20110365,TIS,8.93999999998,8.93999999998,8.39,8.39,,,,,,,,
20110366,TIS,8.93999999999,8.93999999999,8.39,8.39,,,,,,,,
20110367,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110368,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110369,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110370,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110371,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110372,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110373,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110374,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110375,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110376,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110377,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110378,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110379,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110380,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110381,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110382,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110383,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110384,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110385,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110386,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110387,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110388,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110389,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110390,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110391,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110392,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110393,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110394,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110395,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110396,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110397,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110398,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110399,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110400,TIS,8.94,8.94,8.39,8.39,,,,,,,,
20110401,TIS,8.94,8.94,8.39,8.39,31000.0,11.4,11.4,10.7,10.7,0.0,0.0,0.0
20110402,TIS,8.585,8.585,8.31,8.31,,,,,,,,
20110403,TIS,8.4075,8.4075,8.27,8.27,,,,,,,,
20110404,TIS,8.23,8.23,8.23,8.23,1500.0,10.5,10.5,10.5,10.5,0.0,0.0,0.0
20110405,TIS,8.54,8.54,8.54,8.55,30000.0,10.9,10.9,10.9,10.9,0.0,0.0,0.0
20110406,TIS,8.19,8.19,8.19,8.195,,,,,,,,
20110407,TIS,8.015,8.015,8.015,8.0175,,,,,,,,
20110408,TIS,7.84,7.84,7.84,7.84,19800.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
20110409,TIS,7.525,7.525,7.525,7.525,,,,,,,,
20110410,TIS,7.3675,7.3675,7.3675,7.3675,,,,,,,,
20110411,TIS,7.28875,7.28875,7.28875,7.28875,,,,,,,,
