<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100316,TLH,18.71,18.76,17.69,18.6,1718980.0,34.9,35.0,33.0,34.7,0.0,1000.0,0.0
20100317,TLH,18.6,18.6,17.69,17.69,267090.0,34.7,34.7,33.0,33.0,0.0,100.0,0.0
20100318,TLH,17.69,17.69,17.05,17.42,219340.0,33.0,33.0,31.8,32.5,0.0,0.0,0.0
20100319,TLH,16.88,17.15,16.56,16.56,505910.0,31.5,32.0,30.9,30.9,0.0,2600.0,0.0
20100320,TLH,16.695,17.015,16.21,16.215,,,,,,,,
20100321,TLH,16.6025,16.9475,16.035,16.0425,,,,,,,,
20100322,TLH,16.51,16.88,15.86,15.87,321290.0,30.8,31.5,29.6,29.6,0.0,0.0,0.0
20100323,TLH,15.66,15.92,15.12,15.12,1278160.0,29.2,29.7,28.2,28.2,0.0,100.0,0.0
20100324,TLH,15.87,15.87,15.87,15.87,1381290.0,29.6,29.6,29.6,29.6,120000.0,300.0,0.0
20100325,TLH,16.62,16.62,16.35,16.62,1242520.0,31.0,31.0,30.5,31.0,0.0,0.0,0.0
20100326,TLH,16.62,16.62,15.82,16.62,611670.0,31.0,31.0,29.5,31.0,0.0,1300.0,0.0
20100327,TLH,16.35,16.38,15.82,16.215,,,,,,,,
20100328,TLH,16.215,16.26,15.82,16.0125,,,,,,,,
20100329,TLH,16.08,16.14,15.82,15.81,927490.0,30.0,30.1,29.5,29.5,0.0,0.0,0.0
20100330,TLH,15.81,16.56,15.76,16.08,1352640.0,29.5,30.9,29.4,30.0,0.0,13990.0,1000.0
20100331,TLH,16.24,16.24,15.54,15.55,471070.0,30.3,30.3,29.0,29.0,0.0,51000.0,0.0
20100332,TLH,15.84,16.03,15.275,15.55,,,,,,,,
20100333,TLH,15.64,15.925,15.1425,15.55,,,,,,,,
20100334,TLH,15.54,15.8725,15.07625,15.55,,,,,,,,
20100335,TLH,15.49,15.84625,15.043125,15.55,,,,,,,,
20100336,TLH,15.465,15.833125,15.0265625,15.55,,,,,,,,
20100337,TLH,15.4525,15.8265625,15.01828125,15.55,,,,,,,,
20100338,TLH,15.44625,15.82328125,15.014140625,15.55,,,,,,,,
20100339,TLH,15.443125,15.821640625,15.0120703125,15.55,,,,,,,,
20100340,TLH,15.4415625,15.8208203125,15.0110351562,15.55,,,,,,,,
20100341,TLH,15.44078125,15.8204101563,15.0105175781,15.55,,,,,,,,
20100342,TLH,15.440390625,15.8202050781,15.0102587891,15.55,,,,,,,,
20100343,TLH,15.4401953125,15.8201025391,15.0101293945,15.55,,,,,,,,
20100344,TLH,15.4400976562,15.8200512695,15.0100646973,15.55,,,,,,,,
20100345,TLH,15.4400488281,15.8200256348,15.0100323486,15.55,,,,,,,,
20100346,TLH,15.4400244141,15.8200128174,15.0100161743,15.55,,,,,,,,
20100347,TLH,15.440012207,15.8200064087,15.0100080872,15.55,,,,,,,,
20100348,TLH,15.4400061035,15.8200032043,15.0100040436,15.55,,,,,,,,
20100349,TLH,15.4400030518,15.8200016022,15.0100020218,15.55,,,,,,,,
20100350,TLH,15.4400015259,15.8200008011,15.0100010109,15.55,,,,,,,,
