<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20071128,TPC,12.54,12.63,11.9,12.63,270120.0,68.5,69.0,65.0,69.0,0.0,0.0,0.0
20071129,TPC,12.17,12.45,12.17,12.35,162750.0,66.5,68.0,66.5,67.5,0.0,0.0,0.0
20071130,TPC,12.35,12.44,11.89,11.89,27510.0,67.5,68.0,65.0,65.0,0.0,100.0,0.0
20071131,TPC,12.305,12.35,11.705,11.71,,,,,,,,
20071132,TPC,12.2825,12.305,11.6125,11.62,,,,,,,,
20071133,TPC,12.27125,12.2825,11.56625,11.575,,,,,,,,
20071134,TPC,12.265625,12.27125,11.543125,11.5525,,,,,,,,
20071135,TPC,12.2628125,12.265625,11.5315625,11.54125,,,,,,,,
20071136,TPC,12.26140625,12.2628125,11.52578125,11.535625,,,,,,,,
20071137,TPC,12.260703125,12.26140625,11.522890625,11.5328125,,,,,,,,
20071138,TPC,12.2603515625,12.260703125,11.5214453125,11.53140625,,,,,,,,
20071139,TPC,12.2601757812,12.2603515625,11.5207226562,11.530703125,,,,,,,,
20071140,TPC,12.2600878906,12.2601757812,11.5203613281,11.5303515625,,,,,,,,
20071141,TPC,12.2600439453,12.2600878906,11.5201806641,11.5301757812,,,,,,,,
20071142,TPC,12.2600219727,12.2600439453,11.520090332,11.5300878906,,,,,,,,
20071143,TPC,12.2600109863,12.2600219727,11.520045166,11.5300439453,,,,,,,,
20071144,TPC,12.2600054932,12.2600109863,11.520022583,11.5300219727,,,,,,,,
20071145,TPC,12.2600027466,12.2600054932,11.5200112915,11.5300109863,,,,,,,,
20071146,TPC,12.2600013733,12.2600027466,11.5200056458,11.5300054932,,,,,,,,
20071147,TPC,12.2600006866,12.2600013733,11.5200028229,11.5300027466,,,,,,,,
20071148,TPC,12.2600003433,12.2600006866,11.5200014114,11.5300013733,,,,,,,,
20071149,TPC,12.2600001717,12.2600003433,11.5200007057,11.5300006866,,,,,,,,
20071150,TPC,12.2600000858,12.2600001717,11.5200003529,11.5300003433,,,,,,,,
20071151,TPC,12.2600000429,12.2600000858,11.5200001764,11.5300001717,,,,,,,,
20071152,TPC,12.2600000215,12.2600000429,11.5200000882,11.5300000858,,,,,,,,
20071153,TPC,12.2600000107,12.2600000215,11.5200000441,11.5300000429,,,,,,,,
20071154,TPC,12.2600000054,12.2600000107,11.5200000221,11.5300000215,,,,,,,,
20071155,TPC,12.2600000027,12.2600000054,11.520000011,11.5300000107,,,,,,,,
20071156,TPC,12.2600000013,12.2600000027,11.5200000055,11.5300000054,,,,,,,,
20071157,TPC,12.2600000007,12.2600000013,11.5200000028,11.5300000027,,,,,,,,
20071158,TPC,12.2600000003,12.2600000007,11.5200000014,11.5300000013,,,,,,,,
20071159,TPC,12.2600000002,12.2600000003,11.5200000007,11.5300000007,,,,,,,,
20071160,TPC,12.2600000001,12.2600000002,11.5200000003,11.5300000003,,,,,,,,
