<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100317,VBC,9.26,13.44,9.26,11.95,33500.0,31.0,45.0,31.0,40.0,0.0,0.0,0.0
20100318,VBC,11.5,11.95,11.47,11.47,5400.0,38.5,40.0,38.4,38.4,0.0,0.0,0.0
20100319,VBC,10.9,12.25,10.9,11.35,24500.0,36.5,41.0,36.5,38.0,0.0,0.0,0.0
20100320,VBC,11.275,12.295,11.215,11.845,,,,,,,,
20100321,VBC,11.4625,12.3175,11.3725,12.0925,,,,,,,,
20100322,VBC,11.65,12.34,11.53,12.34,66300.0,39.0,41.3,38.6,41.3,0.0,0.0,0.0
20100323,VBC,12.55,12.85,12.25,12.85,59000.0,42.0,43.0,41.0,43.0,0.0,0.0,0.0
20100324,VBC,13.54,13.54,13.45,13.53,40000.0,45.3,45.3,45.0,45.3,0.0,0.0,0.0
20100325,VBC,13.74,13.74,12.6,12.61,28200.0,46.0,46.0,42.2,42.2,0.0,0.0,0.0
20100326,VBC,13.36,13.36,12.1,12.85,8100.0,44.7,44.7,40.5,43.0,0.0,0.0,0.0
20100327,VBC,12.805,12.805,11.95,12.325,,,,,,,,
20100328,VBC,12.5275,12.5275,11.875,12.0625,,,,,,,,
20100329,VBC,12.25,12.25,11.8,11.8,15800.0,41.0,41.0,39.5,39.5,0.0,0.0,0.0
20100330,VBC,12.25,12.25,11.08,11.08,19200.0,41.0,41.0,37.1,37.1,0.0,0.0,0.0
20100331,VBC,11.95,11.95,11.17,11.17,700.0,40.0,40.0,37.4,37.4,0.0,0.0,0.0
20100332,VBC,11.995,12.04,11.275,11.635,,,,,,,,
20100333,VBC,12.0175,12.085,11.3275,11.8675,,,,,,,,
20100334,VBC,12.02875,12.1075,11.35375,11.98375,,,,,,,,
20100335,VBC,12.034375,12.11875,11.366875,12.041875,,,,,,,,
