<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20100510,VCR,30.22,30.22,27.2,28.71,765000.0,40.0,40.0,36.0,38.0,0.0,0.0,0.0
20100511,VCR,30.22,30.3,29.84,30.3,246200.0,40.0,40.1,39.5,40.1,0.0,0.0,0.0
20100512,VCR,32.04,32.04,28.11,28.33,367500.0,42.4,42.4,37.2,37.5,0.0,0.0,0.0
20100513,VCR,28.41,29.09,26.44,26.82,169000.0,37.6,38.5,35.0,35.5,53000.0,0.0,0.0
20100514,VCR,25.69,27.5,25.54,25.76,181500.0,34.0,36.4,33.8,34.1,20000.0,0.0,0.0
20100515,VCR,25.99,26.93,25.01,25.12,,,,,,,,
20100516,VCR,26.14,26.645,24.745,24.8,,,,,,,,
20100517,VCR,26.29,26.36,24.48,24.48,172600.0,34.8,34.9,32.4,32.4,0.0,0.0,0.0
20100518,VCR,23.5,23.5,23.35,23.35,52800.0,31.1,31.1,30.9,30.9,0.0,0.0,0.0
20100519,VCR,21.76,22.67,21.76,21.76,382900.0,28.8,30.0,28.8,28.8,0.0,0.0,0.0
20100520,VCR,21.91,23.04,20.4,22.67,253100.0,29.0,30.5,27.0,30.0,0.0,0.0,0.0
20100521,VCR,21.31,21.91,20.4,21.0,107100.0,28.2,29.0,27.0,27.8,0.0,0.0,0.0
20100522,VCR,21.23,22.095,20.775,21.645,,,,,,,,
20100523,VCR,21.19,22.1875,20.9625,21.9675,,,,,,,,
20100524,VCR,21.15,22.28,21.15,22.29,236500.0,28.0,29.5,28.0,29.5,0.0,0.0,0.0
20100525,VCR,22.37,22.67,21.91,21.91,186600.0,29.6,30.0,29.0,29.0,10000.0,0.0,0.0
20100526,VCR,22.29,22.51,21.61,22.29,162900.0,29.5,29.8,28.6,29.5,20000.0,0.0,0.0
20100527,VCR,21.53,22.37,21.53,22.14,113600.0,28.5,29.6,28.5,29.3,5000.0,0.0,0.0
20100528,VCR,22.59,23.65,22.44,23.65,409300.0,29.9,31.3,29.7,31.3,0.0,0.0,0.0
20100529,VCR,23.08,24.37,23.005,24.29,,,,,,,,
20100530,VCR,23.325,24.73,23.2875,24.61,,,,,,,,
20100531,VCR,23.57,25.09,23.57,24.93,565600.0,31.2,33.2,31.2,33.0,0.0,0.0,0.0
20100532,VCR,24.59,25.35,23.645,24.555,,,,,,,,
20100533,VCR,25.1,25.48,23.6825,24.3675,,,,,,,,
20100534,VCR,25.355,25.545,23.70125,24.27375,,,,,,,,
20100535,VCR,25.4825,25.5775,23.710625,24.226875,,,,,,,,
20100536,VCR,25.54625,25.59375,23.7153125,24.2034375,,,,,,,,
20100537,VCR,25.578125,25.601875,23.71765625,24.19171875,,,,,,,,
20100538,VCR,25.5940625,25.6059375,23.718828125,24.185859375,,,,,,,,
20100539,VCR,25.60203125,25.60796875,23.7194140625,24.1829296875,,,,,,,,
20100540,VCR,25.606015625,25.608984375,23.7197070312,24.1814648437,,,,,,,,
20100541,VCR,25.6080078125,25.6094921875,23.7198535156,24.1807324219,,,,,,,,
20100542,VCR,25.6090039062,25.6097460937,23.7199267578,24.1803662109,,,,,,,,
20100543,VCR,25.6095019531,25.6098730469,23.7199633789,24.1801831055,,,,,,,,
20100544,VCR,25.6097509766,25.6099365234,23.7199816895,24.1800915527,,,,,,,,
20100545,VCR,25.6098754883,25.6099682617,23.7199908447,24.1800457764,,,,,,,,
20100546,VCR,25.6099377441,25.6099841309,23.7199954224,24.1800228882,,,,,,,,
20100547,VCR,25.6099688721,25.6099920654,23.7199977112,24.1800114441,,,,,,,,
20100548,VCR,25.609984436,25.6099960327,23.7199988556,24.180005722,,,,,,,,
20100549,VCR,25.609992218,25.6099980164,23.7199994278,24.180002861,,,,,,,,
20100550,VCR,25.609996109,25.6099990082,23.7199997139,24.1800014305,,,,,,,,
20100551,VCR,25.6099980545,25.6099995041,23.7199998569,24.1800007153,,,,,,,,
20100552,VCR,25.6099990273,25.609999752,23.7199999285,24.1800003576,,,,,,,,
20100553,VCR,25.6099995136,25.609999876,23.7199999642,24.1800001788,,,,,,,,
20100554,VCR,25.6099997568,25.609999938,23.7199999821,24.1800000894,,,,,,,,
20100555,VCR,25.6099998784,25.609999969,23.7199999911,24.1800000447,,,,,,,,
20100556,VCR,25.6099999392,25.6099999845,23.7199999955,24.1800000224,,,,,,,,
20100557,VCR,25.6099999696,25.6099999923,23.7199999978,24.1800000112,,,,,,,,
20100558,VCR,25.6099999848,25.6099999961,23.7199999989,24.1800000056,,,,,,,,
